Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2023,23,,,,0,8.5,4,210,1,NE
02-01-2023,22.4,,26.1,90,0,8,4,200,2,C 
03-01-2023,22.6,31.2,26.4,89,0,6,4,180,1,C 
04-01-2023,23,,,,0,6,4,240,1,NE
05-01-2023,22.7,31.8,27.1,90,0,8.6,4,250,2,W 
06-01-2023,23.7,32.2,27.8,89,0.5,5.5,4,230,2,E 
07-01-2023,23,29.8,25.8,92,89.9,6.5,3,280,1,C 
08-01-2023,22.1,31.4,,,3.2,0.8,3,250,1,C 
09-01-2023,22.6,31.1,26.7,90,2.5,8,4,240,2,SW
10-01-2023,22.8,31.4,26.9,90,0,8,4,230,2,NE
11-01-2023,23.4,30.6,26.6,85,8888,9,11,60,2,NE
12-01-2023,22.4,30.8,25.9,90,0,7.5,3,220,1,NE
13-01-2023,21.9,,,,0,4.9,3,220,1,NE
14-01-2023,22.6,,,,0,7,3,230,1,NE
15-01-2023,22.4,30.8,25.7,92,9,8,4,250,2,NE
16-01-2023,22.5,30.6,25.9,90,56.5,6.5,4,300,2,NE
17-01-2023,22.4,30.5,26,90,0,3.5,4,130,2,NE
18-01-2023,19.8,31.6,24.8,88,0,0.9,3,210,1,NE
19-01-2023,20.4,31.2,,,,5,3,210,1,SW
20-01-2023,21.2,31.6,26.8,89,0,8,4,220,1,NE
21-01-2023,22.9,28.6,25.5,93,2,7.5,3,20,1,NE
22-01-2023,22.7,31.6,25.4,91,1.5,0,5,230,2,NE
23-01-2023,23,26.2,24.6,96,19.5,3.5,7,250,2,E 
24-01-2023,22,30.8,25.2,92,84.1,,5,160,2,E 
25-01-2023,22.4,31.2,26.8,84,0,2.3,4,190,2,NE
26-01-2023,23,31.6,26.3,88,0,5.5,5,200,2,NE
27-01-2023,23,30.5,25.9,90,0,5.5,5,160,2,E 
28-01-2023,23,31.6,26.8,89,8888,0.7,5,170,1,C 
29-01-2023,22.8,31.4,,,0,3,4,200,1,C 
30-01-2023,23.2,31.6,27.1,90,8888,3,4,220,2,NE
31-01-2023,23.6,32.4,27.3,90,0,9,3,250,2,NE
01-02-2023,21.4,32.2,26.3,88,8.3,4.4,3,230,1,NE
02-02-2023,21.4,31.8,27.3,87,0,6.4,4,260,2,NE
03-02-2023,22.3,32,26.9,86,0,7.3,4,250,2,NE
04-02-2023,22.8,31.8,27,87,4,7.4,4,150,2,E 
05-02-2023,22.4,31.2,25.2,93,0.2,6.5,6,220,2,E 
06-02-2023,22.6,31,26.5,89,4.8,2.5,4,220,2,NE
07-02-2023,,,,,,,,,,
08-02-2023,23,32,27,89,0,0,4,220,2,NE
09-02-2023,22.7,31.6,26.6,91,2.5,8.1,6,160,2,S 
10-02-2023,23.4,28.6,24.4,97,6.5,4.8,4,140,2,NE
11-02-2023,21.7,30.8,25.7,89,28.4,0,4,220,2,NE
12-02-2023,22,31.6,26.6,90,8888,4.5,6,160,2,S 
13-02-2023,22.6,31,25.3,94,0,9,11,330,2,E 
14-02-2023,23.2,30.8,26.5,92,1.5,4.5,3,230,2,SW
15-02-2023,22.8,31.4,26.7,88,11.5,4,4,220,2,NE
16-02-2023,22.8,31,26.4,90,0,8.6,3,170,2,NE
17-02-2023,23,30.6,26.5,90,31,2.2,3,200,1,NE
18-02-2023,22.8,31.6,27.2,90,0,2,4,260,2,NE
19-02-2023,23.2,31.8,27,89,0,8.6,5,250,2,NE
20-02-2023,23,,26.9,88,0,9,5,200,2,E 
21-02-2023,23.2,31.2,27.1,89,0,8,4,220,2,NE
22-02-2023,23,31.6,26.9,90,0,10.5,5,200,2,NE
23-02-2023,23.2,32,27.7,89,0,10.1,4,240,2,NE
24-02-2023,24,31.8,27.4,90,1,9.2,4,230,2,NE
25-02-2023,24,32,27.7,88,0.5,8.5,4,200,2,NE
26-02-2023,23.4,32.1,28.1,87,0,9,5,220,2,NE
27-02-2023,23,32.5,27.4,85,0,8.5,4,230,2,SW
28-02-2023,23,30.2,26,92,15,7.5,3,230,1,NE
01-03-2023,22.8,30.1,26.1,92,0.8,5,3,260,1,NE
02-03-2023,23.2,31.6,27,90,0,0,4,240,2,SW
03-03-2023,23.5,27,24.5,96,26.3,9.3,3,230,1,NE
04-03-2023,21.9,30.8,26,88,1,0,3,240,1,SW
05-03-2023,22.4,31.4,26.6,88,0,9.3,4,230,2,NE
06-03-2023,22.2,32,27,86,0,8,4,220,2,NE
07-03-2023,22.8,31.4,27.5,87,0,9.5,4,220,2,SW
08-03-2023,24,31.2,27.3,90,17,6.9,4,250,2,NE
09-03-2023,23.8,31.8,27.2,89,0,7.9,5,230,1,NE
10-03-2023,23.4,31.8,27.2,90,1.4,9,3,270,1,C 
11-03-2023,24,29.7,26,92,8888,5.8,3,220,1,NE
12-03-2023,24,31.5,27.7,88,7,0,4,250,2,NE
13-03-2023,23.8,32,27.4,89,0.1,6.5,4,240,2,SW
14-03-2023,23.4,30.2,26.9,90,26.6,9,3,200,1,NE
15-03-2023,23.4,31.8,27.1,87,0,0.7,3,250,2,NE
16-03-2023,23.7,32.1,27.8,86,0,4,4,250,2,NE
17-03-2023,24,32.7,28,87,0,10.1,4,260,2,NE
18-03-2023,23.9,33.2,28.3,85,0,9.5,5,260,2,NE
19-03-2023,24.5,33.2,28.3,87,0,9.7,4,130,2,NE
20-03-2023,23.2,32.8,27.2,88,0.6,4.2,4,270,2,NE
21-03-2023,23.5,31.2,27.3,89,3.9,6.8,4,180,2,NE
22-03-2023,24.6,32.6,27.8,89,8888,1,4,240,2,SW
23-03-2023,23.6,30.8,26.7,92,12.2,8.8,3,250,1,NE
24-03-2023,23,30.6,26.2,91,8,3,4,280,2,W 
25-03-2023,23.5,31.2,27.2,90,28.3,5.5,4,230,1,NE
26-03-2023,23.9,32,27.6,89,5.4,6.8,4,250,2,E 
27-03-2023,23.5,31.8,27,90,2.9,7.8,4,210,2,NE
28-03-2023,23.6,31.1,27.3,88,8888,8,5,210,2,S 
29-03-2023,23.8,32,27.6,88,1.6,6.2,4,240,2,NE
30-03-2023,24.2,31.4,27.1,89,8888,8,4,220,2,NE
31-03-2023,23.4,32.2,26.9,90,17.4,1.5,4,240,2,NE
01-04-2023,23,32.2,27.2,88,5.5,8.6,4,250,2,NE
02-04-2023,23,30.6,26,93,9.5,9,3,240,1,E 
03-04-2023,23,30.6,26.4,90,126,2,3,260,1,NE
04-04-2023,23.4,31.9,27.2,89,0,0.8,4,230,2,SW
05-04-2023,23,29.6,26.2,92,11.2,8.5,3,200,1,NE
06-04-2023,23,31.2,26.4,88,1,0,4,200,2,NE
07-04-2023,22.6,32,27,90,2.2,3.8,4,240,2,NE
08-04-2023,23,32,27.1,89,2.5,7.8,3,250,1,NE
09-04-2023,22.8,32,27,89,0.1,7,3,210,2,NE
10-04-2023,23.6,32,27.6,87,0,9.3,4,200,2,E 
11-04-2023,24,32.9,28.2,87,0.1,10.5,4,230,2,SW
12-04-2023,24,31,28.2,88,11.5,8,4,290,2,NE
13-04-2023,25,32.6,28.6,86,0,7.3,4,250,2,NE
14-04-2023,24,33.8,28.2,87,0.3,10,4,250,2,NE
15-04-2023,24,32.6,27.6,88,8888,8.5,3,240,2,NE
16-04-2023,23.6,33,27.8,88,0,7.2,6,50,2,NE
17-04-2023,22,32,27.3,88,36.3,8.5,3,210,2,SW
18-04-2023,,,,,,,,,,
19-04-2023,24.7,32.8,28.4,86,3.8,8.3,4,240,2,NE
20-04-2023,23.7,32.6,27.8,87,33.5,8.5,4,240,2,NE
21-04-2023,23,32.8,27.6,87,8888,9.5,4,130,2,NE
