"Tanggal","Tn","Tx","Tavg","RH_avg","RR","ss","ff_x","ddd_x","ff_avg","ddd_car"
"01-01-2023","25","33.8","28.7","80","0.2","6","6","240","3","W "
"02-01-2023","25","33.8","27.5","77","5.4","5.2","8","210","4","SW"
"03-01-2023","25","32.6","28.6","75","0.8","3.5","7","230","5","SW"
"04-01-2023","26.2","32.6","29.3","72","0","3.9","7","230","5","SW"
"05-01-2023","22.6","33","28.4","80","2.5","7.5","7","230","5","SW"
"06-01-2023","24","31.6","27.2","88","22.5","8","5","260","3","W "
"07-01-2023","25","31.6","28.1","82","5.4","5.2","5","230","3","SW"
"08-01-2023","25.8","32.6","28.4","78","6.9","8.6","5","210","2","SW"
"09-01-2023","25.2","32.8","28.1","80","","9","4","230","2","SW"
"10-01-2023","24.8","32.2","27.6","77","1.8","5.3","5","220","3","SW"
"11-01-2023","24.8","32","28.1","76","0","9.6","5","200","3","SW"
"12-01-2023","26","32.2","28.4","78","0.7","8","7","210","3","SW"
"13-01-2023","25.2","32.4","28","77","0.2","8.5","5","210","3","SW"
"14-01-2023","25.2","32.8","28.5","76","0","9","5","210","3","SW"
"15-01-2023","24.6","30.2","27","86","9.3","9","5","220","2","SW"
"16-01-2023","25.2","32.6","28.2","79","4.2","0.6","4","230","2","SW"
"17-01-2023","25.2","32","28.1","83","14","3.8","4","210","2","SW"
"18-01-2023","24.8","31.6","27.7","83","12.2","5.2","4","230","2","W "
"19-01-2023","","32.8","27.9","78","","6.4","6","220","2","SW"
"20-01-2023","25","31.4","27.5","84","8.6","7","5","230","2","SW"
"21-01-2023","25","32.6","27.7","78","2.4","4.5","5","270","2","SW"
"22-01-2023","25.2","32.2","27.7","84","14","8.6","5","200","3","SW"
"23-01-2023","24.8","32.8","28","74","","7","4","200","2","W "
"24-01-2023","24.8","33.8","28.9","72","","9.4","4","220","2","SW"
"25-01-2023","25.6","32.4","27.8","80","","9","4","210","2","SW"
"26-01-2023","25.2","28","26.1","87","5.2","1.5","4","230","2","W "
"27-01-2023","24.8","29.8","26.3","90","18","0","5","220","2","W "
"28-01-2023","24.6","30","25.9","90","47.8","2.1","5","230","2","W "
"29-01-2023","24","32.8","27.9","82","58.8","1","4","200","2","S "
"30-01-2023","","31.8","27","87","46.1","6.4","5","200","2","S "
"31-01-2023","24.2","30","27.5","86","0.8","4.3","6","200","4","SW"
"01-02-2023","24.2","32.8","28.6","72","1.3","0.3","6","200","3","SW"
"01-02-2023","24.2","32.8","28.6","72","1.3","0.3","6","200","3","SW"
"02-02-2023","24.8","31.6","27.8","79","6.9","7.5","4","90","2","W "
"03-02-2023","25","30.8","27.5","85","1.2","0.3","5","230","2","SW"
"04-02-2023","25.8","31","26.5","88","1.3","1.1","7","230","3","SW"
"05-02-2023","24","28","25","87","27.7","0","6","240","4","W "
"06-02-2023","23.4","29","25.5","90","46.9","0","5","210","3","SW"
"07-02-2023","23.4","31.2","27.1","84","16.1","0.2","6","220","3","W "
"08-02-2023","","33","28.1","79","1.3","2.1","5","230","2","SW"
"09-02-2023","25","33.4","28.9","76","0","6.1","4","210","2","E "
"10-02-2023","24.6","32","27.6","84","38","2.3","3","240","1","SW"
"11-02-2023","24.6","32.2","26.8","88","3.8","4","4","310","2","NW"
"12-02-2023","24.6","33","28","80","2.2","4.7","5","250","3","SW"
"13-02-2023","24.2","31","27.3","85","63","7","6","230","3","W "
"14-02-2023","24.8","30.2","27.2","84","2.7","5.7","6","220","3","W "
"15-02-2023","23.8","29.8","26.6","88","48.8","1.3","4","260","3","W "
"16-02-2023","24.2","32","27.8","79","2.1","2.4","3","200","2","SW"
"17-02-2023","25.2","32.4","28.9","76","0.2","7.4","5","210","3","SW"
"18-02-2023","24","31.2","27","84","13.9","4.8","4","230","2","SW"
"19-02-2023","24.2","32","28","81","8.9","4.8","6","230","3","SW"
"20-02-2023","25.8","32.4","28.4","79","0.9","7.6","5","260","3","W "
"21-02-2023","24.6","33.2","28.9","76","0","7.8","5","240","3","W "
"22-02-2023","24.2","33.2","28.6","77","0","10","5","220","3","W "
"23-02-2023","26","33.2","28.7","78","0","10","6","220","3","SW"
"24-02-2023","22","33","27.3","86","11.9","6.8","6","230","2","W "
"25-02-2023","25.6","32.2","27.9","85","7.9","3.6","7","230","4","W "
"26-02-2023","23.6","30.4","26.6","83","43.6","3.7","7","220","3","W "
"27-02-2023","23.8","33.2","26.7","88","28.9","4.2","4","90","2","SW"
"28-02-2023","23.2","31.8","27.1","85","44","6.2","4","230","2","W "
"01-03-2023","23.8","32","28.1","80","4.9","4.1","6","230","3","W "
"01-03-2023","23.8","32","28.1","80","4.9","4.1","6","230","3","W "
"02-03-2023","25.2","33.6","28.2","76","8888","3.2","4","220","2","NW"
"03-03-2023","23.2","32.4","27.6","78","6","7","5","264","2","W "
"04-03-2023","23.6","32.6","28.2","75","0","7.8","5","250","3","W "
"05-03-2023","25.6","32","28.3","76","0.6","9.7","6","230","4","SW"
"06-03-2023","24.1","31","26.5","88","14.2","7","5","260","2","W "
"07-03-2023","24.8","32","27.7","82","15.1","2.9","6","220","3","SW"
"08-03-2023","25.2","32.6","28.6","76","0.2","8","4","220","2","SW"
"09-03-2023","24.2","33","28.1","73","0","9.3","4","210","2","NW"
"10-03-2023","24.2","34.2","29","76","0.8","9.1","4","100","2","SE"
"11-03-2023","24.2","33.8","28.8","73","","9.7","5","220","2","SW"
"12-03-2023","24.8","33.4","28.3","71","0","9.6","5","230","2","SW"
"13-03-2023","23","33.2","27.6","76","0","9.7","3","100","2","E "
"14-03-2023","25.2","33.6","28.4","76","","5.1","4","120","2","E "
"15-03-2023","22.4","34","28.4","72","","8.5","5","90","2","E "
"16-03-2023","25","34.8","29.1","75","","9","5","90","2","E "
