Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2023,23.5,30.8,26.9,81,0.8,4.2,7,310,3,NW
02-01-2023,23.8,31.8,27.3,82,0,2.4,6,310,3,NW
03-01-2023,23.9,27.6,24.9,93,2,5.5,4,300,2,W 
04-01-2023,22.6,27.2,24,94,7,0,4,290,2,W 
05-01-2023,22.1,32.8,27.1,82,4,0,6,310,2,NW
06-01-2023,23.6,32.9,26.3,94,8888,5.7,3,90,1,W 
07-01-2023,24.5,32.1,26.9,90,9.3,6.3,4,300,1,W 
08-01-2023,24,32.4,26.3,91,0.6,2,4,290,2,W 
09-01-2023,22.8,31.8,24.5,94,18.5,1.4,4,310,1,W 
10-01-2023,22.8,32.8,27,89,15.2,0,4,70,2,NE
11-01-2023,22,31.4,25.8,91,53,7.1,4,140,2,N 
12-01-2023,23,31.9,27.5,84,8888,4.7,5,80,2,E 
13-01-2023,24.4,31.4,27.1,90,0,9.6,4,40,2,W 
14-01-2023,23.8,31.8,26.9,90,5.2,5.3,6,360,2,SW
15-01-2023,23.8,32,25.9,92,8888,4.9,5,290,2,W 
16-01-2023,24,29.8,25.7,96,0.7,7.1,3,320,2,NW
17-01-2023,24.2,30,26.6,88,12,2.1,5,10,2,W 
18-01-2023,23.6,29.8,24.7,96,3.1,1.6,3,320,2,W 
19-01-2023,23.6,30,24.8,96,20.8,0.2,4,290,1,W 
20-01-2023,23.1,32.2,26.3,88,6.3,0,4,300,2,W 
21-01-2023,23.4,31.1,24.5,99,1,2.5,5,300,2,SW
22-01-2023,23.8,32.2,26,93,8.2,3.9,4,40,2,SW
23-01-2023,23.8,30,25.8,92,2,3.6,4,270,2,W 
24-01-2023,24,30.6,26.2,91,0.6,0,5,300,3,W 
25-01-2023,23.4,27.4,25.1,90,7.8,1.6,4,270,2,W 
26-01-2023,23.6,29.1,26,90,8888,0,5,320,2,W 
27-01-2023,24,30,26.6,88,0.3,0.2,6,320,3,NW
28-01-2023,24.4,31.4,27.5,84,0.1,2.3,8,310,3,NW
29-01-2023,23.8,32.4,26.5,86,8888,6.7,7,320,3,W 
30-01-2023,24.1,26.2,24.4,99,5.9,2.3,6,310,2,W 
31-01-2023,22.4,26.9,24.2,96,48.7,0,4,300,2,NW
01-02-2023,22.5,31,26.6,86,2,0,5,310,2,NW
02-02-2023,24,30.5,26.9,88,0,2.7,5,310,2,NW
03-02-2023,23.8,31.2,26.5,89,2,1.2,5,290,2,W 
04-02-2023,23.6,30.9,26.8,89,0.3,0,5,310,2,NW
05-02-2023,24.1,31.4,26.8,90,0,1.7,4,310,2,W 
06-02-2023,23.8,32.6,27.4,86,19.1,2.5,5,320,2,NW
07-02-2023,24.6,31,27.4,85,0,5,5,320,2,NW
08-02-2023,24.4,31.3,26.9,86,0,2.8,5,40,2,NW
09-02-2023,24.4,31.8,28,84,0,6.2,5,310,2,NW
10-02-2023,24.5,33.1,27.6,86,8888,5.3,5,300,3,NW
11-02-2023,23.8,32.6,27.3,88,8888,8.9,5,350,3,N 
12-02-2023,23.3,30.4,26,91,2.1,4.7,3,80,2,NW
13-02-2023,23.7,32,27.2,90,0.2,1.8,6,330,2,W 
14-02-2023,24.4,31.6,26.1,95,3.9,2.4,6,30,2,NW
15-02-2023,22.1,28.6,25.3,89,22.2,3,3,320,2,NW
16-02-2023,23.2,30.5,26.5,84,1.9,0,6,320,3,NW
17-02-2023,23.8,31.5,26.6,84,0.3,8.3,5,360,2,NW
18-02-2023,23.8,31.7,26.9,86,0,9.1,5,320,3,N 
19-02-2023,24.2,32,27.6,81,8888,8.6,6,340,3,NW
20-02-2023,24,29.1,26.1,91,0,9.1,4,20,2,W 
21-02-2023,24,30.2,25.7,93,14.4,0,5,350,2,NW
22-02-2023,23.7,30.5,26.9,86,16.4,2.6,5,340,3,N 
23-02-2023,24.5,31.1,26.7,88,0.5,3.5,7,350,3,NW
24-02-2023,24,30.4,27.1,84,3.1,4.1,5,320,2,N 
25-02-2023,24,32,26.8,86,0,3.6,5,350,3,NW
26-02-2023,24.2,30.2,26.5,86,0.4,5.3,6,340,3,NW
27-02-2023,24.4,28.6,25.8,92,0.2,2.2,5,350,3,NW
28-02-2023,23.2,26,24.1,98,75.9,0.6,4,300,2,W 
01-03-2023,23.4,28.6,25.5,89,17.3,0,5,290,2,NW
02-03-2023,23.5,29.8,25.6,93,3.5,0,3,300,2,W 
03-03-2023,23,31,25.1,96,3.7,1.9,4,250,2,W 
04-03-2023,23.2,27.8,25.2,95,29.4,3.4,6,310,2,W 
05-03-2023,23.4,31.4,25.9,91,12.4,0,4,310,2,NW
06-03-2023,23.4,30.2,26.1,88,8.6,3.1,5,330,3,NW
07-03-2023,23.8,29.8,24.9,97,0.4,1.4,6,350,2,NW
08-03-2023,23.7,30.2,26.4,91,29.2,2.6,4,340,2,N 
09-03-2023,23.8,30.4,26.2,93,0.6,2,5,40,2,W 
10-03-2023,23.7,31,26.8,90,5.7,3.8,5,30,2,W 
11-03-2023,24.4,31,26.5,90,8888,7.4,5,60,2,NW
12-03-2023,24.4,29,25.1,96,0,4.9,3,140,2,W 
13-03-2023,23.6,29,25.7,92,20.4,1.1,6,350,2,N 
14-03-2023,24.1,30.8,27.2,80,2.2,1.2,5,350,3,N 
15-03-2023,23.2,31.3,26.3,88,8888,5,5,40,2,N 
16-03-2023,23.7,31.5,27,86,0,5.2,5,30,2,N 
