"Tanggal","Tn","Tx","Tavg","RH_avg","RR","ss","ff_x","ddd_x","ff_avg","ddd_car"
"01-01-2023","23","28.7","26","87","6.8","0","6","250","2","W "
"02-01-2023","24.8","31.2","27.7","78","2.2","0.3","4","260","2","W "
"03-01-2023","25.1","30","26.7","81","0.3","0.4","3","250","1","SW"
"04-01-2023","24.4","32.4","26.4","86","3.6","0.2","3","260","1","C "
"05-01-2023","24","33.6","27.4","75","8.2","5","4","250","1","C "
"06-01-2023","24.2","32.6","27.6","77","1.7","7.2","6","250","2","W "
"07-01-2023","24.9","32.6","28.2","74","8888","7.1","7","260","2","SW"
"08-01-2023","24.2","29.4","26.1","88","6.9","10.3","3","290","2","W "
"09-01-2023","24.8","33.9","29.1","70","1","0.3","4","270","2","W "
"10-01-2023","25.4","33.6","28.6","74","8888","8.5","5","270","2","W "
"11-01-2023","23.8","33.6","27.7","76","8888","6.1","5","250","1","C "
"12-01-2023","22.8","34.6","28.4","74","0","6.3","3","300","1","C "
"13-01-2023","24.6","34.2","27.7","79","0","5.3","5","320","1","C "
"14-01-2023","24.2","33.5","28.3","74","1","4.9","4","260","1","C "
"15-01-2023","24.4","33.4","28.1","73","","7.4","6","230","2","W "
"16-01-2023","24.8","32.2","27.5","77","","9.7","3","240","1","W "
"17-01-2023","25","29.8","26.7","82","0.8","3.8","3","300","1","C "
"18-01-2023","24.8","31.7","26.7","85","4.1","0.1","3","360","1","C "
"19-01-2023","24.4","32.1","27.1","84","4.2","0.4","3","150","1","C "
"20-01-2023","24.3","32.4","27.7","78","1","1.2","3","260","1","W "
"21-01-2023","24.1","33.1","27.2","81","1","3.8","5","280","1","C "
"22-01-2023","24.6","32.6","27.7","78","4.5","5.6","10","280","2","C "
"23-01-2023","24.6","30.4","26.6","86","7.5","7.5","4","250","1","C "
"24-01-2023","24.6","31.2","27.4","81","4.4","2.7","4","280","2","W "
"25-01-2023","24.4","27.6","25.7","84","16","5.2","4","200","1","C "
"26-01-2023","22.9","31.9","27.5","78","1","0","3","40","1","C "
"27-01-2023","24.6","30","26.8","87","5","3.4","4","300","1","C "
"28-01-2023","23.6","28.1","25.6","92","55.8","0","4","270","0","C "
"29-01-2023","23.5","31.2","27.4","84","11.2","0","6","290","1","C "
"30-01-2023","24.4","33.3","28.1","76","8888","0.5","4","300","1","C "
"31-01-2023","25","29.6","26.5","88","0.5","4.6","3","330","1","C "
"01-02-2023","24.8","30.8","27.3","85","8.6","0.1","3","280","0","C "
"01-02-2023","24.6","30","27","86","1.6","0.5","5","280","2","W "
"02-02-2023","24.2","29.9","27.1","88","18.2","1.5","5","310","2","NW"
"03-02-2023","22.2","30.5","25.9","86","21.2","1.2","4","270","2","SW"
"04-02-2023","23.8","31.2","27.3","83","0.2","0.7","4","310","2","NW"
"05-02-2023","22.6","33.5","28","76","","2.6","8","250","3","SW"
"06-02-2023","25.6","32.7","28.5","70","0.6","8.3","5","260","3","W "
"07-02-2023","24.5","30.4","27.2","83","8888","3.8","4","260","2","N "
"08-02-2023","22.6","31.8","27","80","10.4","1.7","4","240","2","SW"
"09-02-2023","23.3","30.6","25.9","83","8888","2.6","9","280","3","SW"
"10-02-2023","22.4","31.5","27","82","5","2.3","8","280","3","W "
"11-02-2023","24","29.4","27.5","84","7","8.5","7","310","3","N "
"12-02-2023","23","28.6","24.6","92","21.4","1.4","6","260","2","SW"
"13-02-2023","22.3","30.2","26.9","82","2.8","2","6","230","4","SW"
"14-02-2023","23","30.4","26.2","82","0.6","2.7","6","230","4","SW"
"15-02-2023","23.9","30.5","27.3","81","0.1","1.3","6","280","3","SW"
"16-02-2023","22.8","31.5","25.7","86","24.6","1.4","5","260","3","W "
"17-02-2023","24","30.2","26.4","82","34","2.6","4","320","2","W "
"18-02-2023","","30.8","27.4","82","0.8","1.7","6","310","3","NW"
"19-02-2023","24.3","31.4","27.5","83","0.8","6.9","5","320","3","NW"
"20-02-2023","23.1","30.6","27.5","80","8888","7.4","5","300","3","W "
"21-02-2023","23.4","30","26.4","85","2","5.7","4","290","2","W "
"22-02-2023","23.5","30.2","26.8","84","14.5","1.3","5","320","2","W "
"23-02-2023","","30.2","26.2","89","28.2","4.4","5","320","2","NW"
"24-02-2023","22.4","28.4","25.7","91","50.2","3.5","3","250","2","W "
"25-02-2023","24","30.8","26.4","88","24.2","0","4","300","2","NW"
"26-02-2023","23.8","29.5","26.2","87","19.6","0.9","5","310","2","NW"
"27-02-2023","23.5","30","26.7","85","47.2","0.5","7","300","3","W "
"28-02-2023","23.8","30.8","26.8","83","23","0.7","6","300","3","W "
"01-03-2023","23.6","29.2","25.8","90","1.8","6.9","4","350","2","SW"
"01-03-2023","24.6","32","26.7","85","4","5.4","6","290","2","SW"
"02-03-2023","23","26.9","24.2","94","47.9","0.5","2","280","1","SW"
"03-03-2023","24","32.8","27.5","81","11","0.1","4","280","2","SW"
"04-03-2023","24.4","31.5","26.9","78","","7.9","7","290","2","C "
"05-03-2023","24.5","32.5","27.8","78","0.7","3.2","9","270","2","C "
"06-03-2023","25","33.7","28.5","74","0.5","9.5","6","270","2","C "
"07-03-2023","24","33.8","28.6","76","0","9.5","6","310","1","C "
"08-03-2023","24.1","32.1","26.7","86","11","9","3","150","1","C "
"09-03-2023","22.4","31.8","26.3","88","43","4.3","3","10","1","C "
"10-03-2023","23.7","33.2","27.5","84","1","5.9","4","280","1","C "
"11-03-2023","24.2","33.1","27","89","63","6.4","3","320","1","C "
"12-03-2023","22.7","32.9","27.9","81","10.8","7.3","4","20","1","C "
"13-03-2023","24.3","33.4","28.1","81","0","5.9","6","20","1","C "
"14-03-2023","24.8","31.6","27.7","83","11.4","6.3","5","310","1","C "
"15-03-2023","23.6","29.2","25.7","90","68.5","1.5","3","15","1","C "
"16-03-2023","22.7","32.2","26.7","84","0.8","0.7","5","30","1","C "
"17-03-2023","23.4","32.8","27.7","81","0","10.4","5","11","1","C "
"18-03-2023","22.4","33.4","27.9","81","0","9.6","5","350","2","C "
"19-03-2023","24.3","33.2","28","82","0","10.4","5","350","1","C "
"20-03-2023","24.1","34","27.7","82","0","5.7","4","20","1","C "
"21-03-2023","23.8","33.8","27.6","79","0","7","3","30","1","C "
"22-03-2023","24.1","33.2","28.2","81","","8.1","6","10","1","C "
"23-03-2023","24.9","33.6","28.4","81","1.8","7.2","7","10","1","C "
"24-03-2023","24.4","33.6","28.4","80","0","8.2","4","30","1","C "
"25-03-2023","25","33","28","79","0","6.6","5","250","2","W "
"26-03-2023","25.4","34.2","28.3","78","","4.7","4","260","2","SW"
"27-03-2023","23.2","34.3","28.8","77","0","5","3","250","1","C "
"28-03-2023","25.4","30.1","27.3","85","1.1","5.5","3","340","1","C "
"29-03-2023","24.6","32.8","27.5","81","8888","0.7","7","210","1","C "
"30-03-2023","24","33.8","28","76","8888","4.5","6","250","2","C "
"31-03-2023","24.9","32.8","28.3","74","8888","5.5","9","250","2","W "
"01-04-2023","23.9","32.7","25.5","87","24","4.3","7","230","2","C "
"01-04-2023","23.9","32.7","25.5","87","24","4.3","7","230","2","C "
"02-04-2023","23.2","32.5","27.4","83","17.7","3","6","260","2","W "
"03-04-2023","24","32.8","26.9","79","8888","7.6","4","250","2","W "
"04-04-2023","24","33.2","27.1","82","","6","5","280","2","W "
"05-04-2023","23","34.2","27.7","76","0.3","4.2","7","250","2","W "
"06-04-2023","24.4","32","27.6","74","0","10.1","7","270","1","C "
"07-04-2023","23.9","35","28.6","70","0","5.5","5","270","1","C "
"08-04-2023","23.4","34.4","28.2","72","0","10","6","270","2","C "
"09-04-2023","24.8","33.4","28","77","0","9.7","3","240","2","W "
"10-04-2023","24","28.6","25.8","90","10","7.5","4","260","2","SW"
"11-04-2023","24.1","32.4","27.6","82","10.3","0.1","8","300","3","W "
"12-04-2023","25.1","31.7","28.3","78","0.3","5.6","7","250","3","W "
"13-04-2023","25.7","33","28.3","76","0","5","5","260","2","W "
"14-04-2023","24.8","34.4","28.2","76","0","5.7","5","250","1","C "
"15-04-2023","24.7","34.2","28.9","73","8888","8.2","5","310","2","W "
"16-04-2023","25.6","33.4","28.3","78","0","9.3","4","350","2","W "
"17-04-2023","24.8","34.4","28.5","76","0","7.3","10","260","2","W "
"18-04-2023","25","33.5","27.8","85","0","10.5","3","350","1","C "
"19-04-2023","24","33.8","27.7","84","4.8","2.5","3","100","1","C "
"20-04-2023","24.4","33.2","28.1","84","61.7","6.7","4","30","1","C "
"21-04-2023","24.4","33.6","28.5","80","8888","4.8","4","350","1","C "
"22-04-2023","25.2","33.9","28.7","81","0","9.2","5","10","2","C "
"23-04-2023","25.4","34.2","28.6","80","0","8.9","4","20","1","C "
"24-04-2023","25","34.3","28.5","81","0","5.2","6","360","1","C "
"25-04-2023","24.2","33.2","28.1","80","1","8.5","4","30","1","C "
"26-04-2023","24.5","34.4","28.8","78","0","3.9","3","10","1","C "
"27-04-2023","25","34","28.7","80","0","8.8","4","40","1","C "
"28-04-2023","24.6","34.2","28.8","78","0","7.4","4","20","1","C "
"29-04-2023","24","32.8","27.8","80","0","8.8","3","240","1","C "
"30-04-2023","24.8","33.2","28.5","79","0","1.4","4","10","1","C "
"01-05-2023","24.1","33.6","28.6","80","0","3.3","3","360","1","C "
"01-05-2023","24.1","33.6","28.6","80","0","3.3","3","360","1","C "
"02-05-2023","23.5","34","28.6","78","0","7.3","3","340","1","C "
"03-05-2023","25.2","33.5","28.9","81","0","5.8","2","300","1","C "
"04-05-2023","23.8","34","27.8","83","48.3","5","3","10","1","C "
"05-05-2023","24.8","33.8","28.2","85","0","6.2","3","220","1","C "
"06-05-2023","24.5","33.4","28.3","81","12.5","4.5","3","330","1","C "
"07-05-2023","25.2","33.3","28.5","84","0","5.8","4","220","2","W "
"08-05-2023","25.4","32.4","28.2","80","0.1","2.6","5","240","2","C "
"09-05-2023","25.4","34.6","29.2","78","8888","3","3","50","1","C "
"10-05-2023","26","34.2","29.3","82","0","6.1","4","40","2","C "
"11-05-2023","26.4","33.6","29.2","79","0","7.4","6","80","2","E "
"12-05-2023","25.9","34.4","29.8","75","0","6.6","7","70","2","NE"
"13-05-2023","25.8","35.3","29.5","79","0","10","5","30","1","C "
"14-05-2023","25.6","34.6","28.9","73","0","7.4","4","20","1","C "
"15-05-2023","24","34.8","28.6","74","0","8.5","3","330","1","C "
"16-05-2023","23.8","33.8","28.3","77","0","8.9","3","30","1","C "
"17-05-2023","24.4","34.2","28.7","76","0","6.2","4","60","1","C "
"18-05-2023","25","32.7","28.6","75","0","9","3","70","1","C "
"19-05-2023","25","33.5","28.4","78","0","0.6","3","350","1","C "
"20-05-2023","25.4","33.5","28.4","81","0","3.5","4","350","1","C "
"21-05-2023","25","32.4","28.5","83","0","3.4","4","360","1","C "
"22-05-2023","24.1","34","28.3","78","0","2.9","5","20","1","C "
"23-05-2023","24","33.4","27.9","78","0","7.3","4","50","1","C "
"24-05-2023","24","33.4","27.8","82","0","7.4","3","20","1","C "
"25-05-2023","24.2","33.7","28.4","79","0","3.1","3","290","0","C "
"26-05-2023","24.4","33.1","28.7","77","0","4.2","3","20","1","C "
"27-05-2023","24.8","33.1","28.5","80","0.9","3.5","3","10","1","C "
"28-05-2023","25.2","33.1","28.4","78","0","3.3","3","50","1","C "
"29-05-2023","25.2","32.8","27.9","83","0","4.8","3","340","1","C "
"30-05-2023","24.8","33","27.6","85","8888","3.2","3","320","0","C "
"31-05-2023","24.3","33.6","28.5","77","7.3","2.8","4","170","1","C "
"01-06-2023","24.2","34.3","28.4","77","0","5.6","4","350","1","C "
"01-06-2023","24.2","34.3","28.4","77","0","5.6","4","350","1","C "
"02-06-2023","24.4","33.5","28.3","79","0","6.8","5","20","1","C "
"03-06-2023","24.9","33.6","29.1","77","0","8.1","4","10","1","C "
"04-06-2023","25.2","33.3","28.2","84","0","4.7","4","290","1","C "
"05-06-2023","24","33.6","27.8","80","0","3.8","3","150","1","C "
"06-06-2023","24.2","32.6","26.8","84","4.1","5.1","3","140","1","C "
"07-06-2023","24.2","31.8","27.9","81","8888","3.2","4","140","1","C "
"08-06-2023","25","33.2","27.7","82","0.8","3","4","50","1","C "
"09-06-2023","23.8","33.8","28.1","79","8888","1.7","4","50","1","C "
"10-06-2023","24.4","33.8","28.1","80","0","9.7","3","300","1","C "
