"Tanggal","Tn","Tx","Tavg","RH_avg","RR","ss","ff_x","ddd_x","ff_avg","ddd_car"
"01-01-2023","19.8","29.8","23.7","88","1","6.4","2","182","1","SW"
"02-01-2023","18.8","30.2","24.1","86","12.2","3.6","1","272","1","NW"
"03-01-2023","20","29.6","22.9","91","16","2.2","1","136","1","SE"
"04-01-2023","20","27.9","23.9","90","22","0","1","200","0","S "
"05-01-2023","20.4","29","23.7","91","","3.8","4","291","1","NW"
"06-01-2023","20.2","29","23.3","91","10","3.4","2","300","1","NW"
"07-01-2023","20.6","27.5","23","96","10.6","1.5","4","300","1","NW"
"08-01-2023","21.6","27.4","22.8","97","14.8","2.1","2","200","1","C "
"09-01-2023","20.4","29.8","23.7","87","7.3","1.5","2","230","1","C "
"10-01-2023","19.4","29.8","23.8","90","","3.8","2","190","1","C "
"11-01-2023","19.8","27.8","24","90","14.8","5.5","2","311","1","C "
"12-01-2023","20.1","29.4","23.6","87","3","1.5","2","181","0","C "
"13-01-2023","20","29.8","23.2","91","0.1","4.1","2","355","1","NW"
"14-01-2023","19.8","29.6","23.4","89","2","2.8","3","306","1","NW"
"15-01-2023","21","29","23.1","90","","5.7","4","220","1","N "
"16-01-2023","20.9","29.8","24","89","11","3.4","2","200","1","NW"
"17-01-2023","20.8","28","22.9","92","4.6","3.5","1","176","1","W "
"18-01-2023","20.6","28","22.9","94","62.6","3.5","2","170","1","C "
"19-01-2023","20.8","28.2","23.2","94","33","3","1","200","0","C "
"20-01-2023","19.2","28.2","23.2","92","13.1","3.3","0","352","0","C "
"21-01-2023","19.8","28.4","23.1","91","9.4","0.4","3","277","1","E "
"22-01-2023","20","28","22.7","93","10","3.2","4","187","1","SW"
"23-01-2023","20.8","27.8","23.2","92","62","2.8","2","290","0","C "
"24-01-2023","20","28.2","23.1","90","7.6","2","3","299","1","W "
"25-01-2023","19.2","28.8","23.2","83","30","2","2","290","1","S "
"26-01-2023","19.2","28","23.7","90","0","1.7","2","337","0","NW"
"27-01-2023","21","29","23.8","92","6.8","1.5","2","285","1","W "
"28-01-2023","20.6","28.6","23.4","90","8","4.3","3","310","1","NW"
"29-01-2023","20.8","31.4","23.2","96","2.6","2.9","2","189","1","SW"
"30-01-2023","19.8","31","23.3","96","8","2.5","2","120","1","C "
"31-01-2023","20.8","28.2","23.6","93","10","","2","170","0","C "
"01-02-2023","","29.8","25.2","91","7.4","0.7","3","340","1","SE"
"01-02-2023","","29.8","25.2","91","7.4","0.7","3","340","1","SE"
"02-02-2023","20.6","29.7","26.9","85","","4","2","310","0","C "
"03-02-2023","21","29.2","24.4","86","1","3","2","209","1","SW"
"04-02-2023","20.8","29.8","24.7","84","","2.5","3","","1","SW"
"05-02-2023","21","29.8","24.4","82","0.2","4","2","320","1","C "
"06-02-2023","20.8","31.2","24.8","78","","3","3","306","1","NW"
"07-02-2023","20.6","29.8","24.1","88","9.8","5","2","355","1","NW"
"08-02-2023","20.2","30.8","24.5","82","1.9","2","3","280","1","W "
"09-02-2023","19.2","30.4","23.7","82","","6","4","176","1","W "
"10-02-2023","20.8","30.8","24.9","82","","6","2","350","1","W "
"11-02-2023","19","26.4","23.5","89","0.3","7","1","182","1","SW"
"12-02-2023","20.4","26.2","22.8","89","8.4","0","2","307","1","C "
"13-02-2023","20.6","26.6","23.2","91","12.8","0.2","3","284","1","NW"
"14-02-2023","18.6","30.2","24.2","88","","1.3","3","280","1","C "
"15-02-2023","20.6","30","24.3","86","","5","2","247","1","NW"
"16-02-2023","20","30","24.6","87","","3","1","310","1","NW"
"17-02-2023","20.8","30.6","24.5","87","0.3","4","2","203","1","SW"
"18-02-2023","19.2","30.6","24.8","88","","5","2","72","1","C "
"19-02-2023","19","30","24.7","89","0","4","2","213","1","SW"
"20-02-2023","20.8","29.4","23.9","90","66.8","4.5","2","95","1","C "
"21-02-2023","20.4","26.8","22.7","94","16.4","3","2","330","1","NW"
"22-02-2023","21.4","27.6","23.9","89","15.6","2","2","294","1","C "
"23-02-2023","21.4","25.6","22.7","95","10.4","1","1","232","0","C "
"24-02-2023","21.6","27.2","23.3","92","56.1","0","1","230","0","C "
"25-02-2023","21.3","28","23.6","95","49.8","2","2","320","1","C "
"26-02-2023","21.6","29.2","24.4","91","18.6","2.5","3","14","1","S "
"27-02-2023","21.4","27.2","23.5","91","7","4","3","180","1","C "
"28-02-2023","21.2","28.8","24","88","30.8","1","2","290","1","C "
"01-03-2023","19","29.5","24.2","86","0.2","3","2","216","1","NW"
"01-03-2023","19","29.5","24.2","86","0.2","3","2","216","1","NW"
"02-03-2023","21","29.6","23","91","1.5","5.5","1","292","0","C "
"03-03-2023","20.8","30","24.4","84","65","1.2","3","150","1","NW"
"04-03-2023","20","29.6","24","84","12.6","5.1","5","247","2","N "
"05-03-2023","20.1","30.2","24.6","87","18","6","2","212","1","NW"
"06-03-2023","18.8","27.6","23.5","91","16.2","6.2","1","210","0","C "
"07-03-2023","20","28.6","23.7","90","44.6","2.3","1","187","0","S "
"08-03-2023","21","29.4","24.5","88","22.8","2.7","2","180","1","S "
"09-03-2023","22.1","30.6","25.4","87","0.2","5.6","3","186","1","S "
"10-03-2023","20.2","29","23.8","93","","4.8","2","190","1","S "
"11-03-2023","19.6","29.2","24.4","90","9.6","1.1","3","165","1","SE"
"12-03-2023","20","29","24.2","90","9.5","2.2","2","100","0","C "
"13-03-2023","21.2","29.4","24.8","89","0","3.1","3","100","1","C "
"14-03-2023","21.8","29.2","24","86","0","","5","188","1","S "
"15-03-2023","20","30.2","23.8","88","","5.2","1","170","0","NW"
"16-03-2023","19.8","28.8","24.5","84","0","5.2","3","133","2","S "
"17-03-2023","21.3","30.2","24.9","90","0","5.1","4","141","1","SW"
"18-03-2023","21.8","29.8","25.4","90","1.8","6.3","3","230","1","SW"
"19-03-2023","22","26","23.5","96","11","6.2","2","202","1","SW"
"20-03-2023","20.6","31.2","24.2","90","8.4","0.5","2","200","0","C "
"21-03-2023","20.6","31.4","25.1","90","19.1","4.7","2","206","1","C "
"22-03-2023","21.4","30.8","25","92","0.3","7.8","3","170","1","S "
"23-03-2023","21.8","29","23.5","95","34.4","6.4","2","330","0","C "
