"Tanggal","Tn","Tx","Tavg","RH_avg","RR","ss","ff_x","ddd_x","ff_avg","ddd_car"
"01-01-2023","23.7","30.9","26.9","82","27.2","8.3","8","290","5","W "
"02-01-2023","24.2","29.2","27.2","82","0.6","9.9","11","270","6","W "
"03-01-2023","25.3","29.2","27.2","83","3.2","7","8","300","5","NW"
"04-01-2023","24.4","30.2","27.6","80","9.4","","10","350","5","N "
"05-01-2023","22.4","29.6","27","86","18.2","9.9","7","280","5","N "
"06-01-2023","24.4","29.5","27.8","78","6.4","9.7","9","260","4","N "
"07-01-2023","23.9","29.9","27.3","85","5.4","10.3","6","290","3","N "
"08-01-2023","24","30.4","27.1","85","21.2","10.3","4","260","2","N "
"09-01-2023","23.9","30.1","27.7","78","0","11.1","3","210","2","N "
"10-01-2023","24.8","30.7","26.8","88","2.2","10.2","7","290","3","W "
"11-01-2023","24.4","29.3","26.7","85","0.8","9.9","7","350","2","N "
"12-01-2023","23.7","30.6","26.6","83","8888","10.1","3","230","2","SW"
"13-01-2023","24.1","31.3","27.8","84","0.2","10.3","3","220","2","SW"
"14-01-2023","23.9","30.4","28.1","78","0.2","10.7","8","280","4","W "
"15-01-2023","25.3","","","","8","9.9","3","340","2","N "
"16-01-2023","24.3","29.3","26.7","86","7.2","4.1","6","270","3","W "
"17-01-2023","","30.3","26.5","88","11.8","7.8","7","180","4","N "
"18-01-2023","24.4","29.5","27.3","83","8888","9.4","6","280","3","W "
"19-01-2023","24","30.6","27.3","82","8888","9.6","5","270","2","SW"
"20-01-2023","24.3","31.5","26.7","87","","9","5","240","2","NW"
"21-01-2023","23.5","29.8","26.6","87","2.8","8.8","7","260","3","N "
"22-01-2023","24.6","29.6","26.5","85","7.4","9.2","7","290","3","N "
"23-01-2023","23.6","","","","14.8","8.6","5","330","4","N "
"24-01-2023","","","","","","","","","",""
"25-01-2023","24.4","29","26.5","90","0.6","9.9","10","290","5","N "
"26-01-2023","24.5","30.7","27.3","81","30","8.2","10","260","4","N "
"27-01-2023","23.5","30.4","26.7","83","10.2","9.2","4","280","2","NE"
"28-01-2023","24.4","29.7","26.3","89","0","9","5","260","2","E "
"29-01-2023","23.7","31.7","26.9","82","0.2","7.8","4","280","2","N "
"30-01-2023","24.5","29.1","27","89","8888","9.6","5","280","2","NW"
"31-01-2023","24.2","30.6","27","86","11.4","9.4","10","270","4","W "
"01-02-2023","23.1","29.1","26","91","37.2","9.2","10","280","4","N "
"01-02-2023","23.1","29.1","26","91","37.2","9.2","10","280","4","N "
"02-02-2023","23.6","30.1","26","84","1.4","9.5","11","320","3","E "
