"Tanggal","Tn","Tx","Tavg","RH_avg","RR","ss","ff_x","ddd_x","ff_avg","ddd_car"
"01-01-2023","23.8","29.8","25.9","93","38","1.3","6","280","2","C "
"02-01-2023","23.4","30","27.2","88","134.4","0.1","5","290","3","W "
"03-01-2023","25","29","26.7","83","0.7","1.1","7","260","2","W "
"04-01-2023","24.6","30.6","27","88","3.2","0.1","5","270","2","W "
"05-01-2023","23.6","31.6","27.5","84","31.3","3.5","4","310","3","W "
"06-01-2023","24.8","33.7","29.2","76","1.5","2.9","6","260","4","W "
"07-01-2023","27.2","33.4","29.2","77","1.5","6.4","7","270","3","W "
"08-01-2023","26.4","31.2","27.5","82","0","9.2","7","250","4","W "
"09-01-2023","26.4","32","28.9","80","3.8","5.3","6","270","3","W "
"10-01-2023","26.8","33.2","29.6","74","0","8.4","6","270","3","W "
"11-01-2023","26.4","31","28.3","77","","4.8","4","270","1","C "
"12-01-2023","26.4","32","28.9","74","0","0","3","50","1","C "
"13-01-2023","27","32.2","29.4","76","0","8.9","5","30","1","C "
"14-01-2023","27.2","32.2","29.3","76","","6.4","4","350","2","C "
"15-01-2023","26.6","33","29.3","74","0","8.8","8","270","4","W "
"16-01-2023","26.8","31.6","29","75","0","7.1","6","300","3","W "
"17-01-2023","27","29.1","27.5","82","","4.4","5","310","3","NW"
"18-01-2023","26.2","30.2","27.8","83","8888","0.1","5","310","2","NW"
"19-01-2023","25.6","","27.5","85","4.5","1.8","6","320","3","NW"
"20-01-2023","24.6","32.2","28.4","79","0.2","2.6","6","300","2","C "
"21-01-2023","26.4","31.4","28.2","79","0.9","7.9","5","330","3","W "
"22-01-2023","26","32.2","28.9","80","0","8.5","6","270","4","W "
"23-01-2023","26.2","31.7","28.3","78","0","5.8","9","290","5","W "
"24-01-2023","26.4","32.6","28.8","77","8888","4.6","7","270","5","W "
"25-01-2023","25.4","29.7","27","82","0.8","7.5","7","270","4","W "
"26-01-2023","25.7","30.8","28.3","81","8888","0","8","320","3","W "
"27-01-2023","25.8","29.2","27.5","85","4.8","4","5","260","2","W "
"28-01-2023","24.6","28.2","25.8","92","30.5","","7","310","2","W "
"29-01-2023","24.8","29.3","27.3","86","12.1","0","6","310","3","NW"
"30-01-2023","26.2","30.8","28.2","80","8888","0.8","5","310","2","NW"
"31-01-2023","26.7","29.8","28.1","81","0","4.4","6","290","3","NW"
"01-02-2023","26.4","29.8","27.5","88","0.4","0.2","4","340","1","C "
"01-02-2023","26.4","29.8","27.5","88","0.4","0.2","4","340","1","C "
"02-02-2023","24.4","30.6","28","86","82.5","1.4","15","270","2","C "
"03-02-2023","23","29.8","26.5","86","16.1","0.6","4","310","1","C "
"04-02-2023","24","30.8","28.2","82","0.2","0","5","320","3","NW"
"05-02-2023","26.6","33.4","29","75","0","3.5","6","260","4","W "
"06-02-2023","27","32.4","29.3","72","8888","7.9","8","270","4","W "
"07-02-2023","26.8","30.2","28.1","80","0","5.6","4","270","2","NW"
"08-02-2023","24.6","31","27.5","87","30.8","0.9","5","280","2","W "
"09-02-2023","25.4","30.4","27","79","0.3","2.1","9","240","4","W "
"10-02-2023","24","31.8","28.3","79","10","3","6","280","2","W "
"11-02-2023","26","30","27.9","85","4.9","7.5","5","270","3","W "
"12-02-2023","24","28.2","25.2","92","34","2.2","6","250","3","W "
"13-02-2023","24","31","28.2","79","2","0","7","270","3","W "
"14-02-2023","25","31.4","27.3","81","0.1","1.2","7","270","4","W "
"15-02-2023","","32","28.7","76","0","2.4","8","270","4","W "
"16-02-2023","26.4","30.4","27.3","84","1","3.6","6","300","3","W "
"17-02-2023","25","29.8","26.9","83","16.3","2.7","5","310","2","C "
"18-02-2023","25.7","30.6","27.7","85","0.4","2.1","4","300","2","C "
"19-02-2023","26","31","27.9","86","2.5","7.3","7","310","3","W "
"20-02-2023","26.4","30.8","27.9","82","0.2","7.8","7","320","4","W "
"21-02-2023","26","30.6","27.7","82","2.3","6.6","6","260","3","W "
"22-02-2023","25.2","30.6","27.8","82","13","5.8","7","330","2","W "
"23-02-2023","24.4","30.2","27.3","85","85.1","5","10","310","3","NW"
"24-02-2023","24.8","28.5","26","93","60.5","3.1","5","300","2","C "
"25-02-2023","24.2","29.8","27.5","86","54.7","0","7","340","4","NW"
"26-02-2023","24.6","29.4","27.1","88","17.3","0.7","13","310","4","NW"
"27-02-2023","25.2","29.4","27.8","85","46.5","0.4","7","310","4","NW"
"28-02-2023","24.6","30.2","26.9","88","15","1.1","8","300","3","W "
"01-03-2023","25","29.4","26.7","89","11","5.3","5","300","2","W "
"01-03-2023","24.6","29.8","26.7","88","12.7","1","8","315","1","C "
"02-03-2023","23.4","27","25.1","92","79.5","0.5","4","210","0","C "
"03-03-2023","23.8","31.8","27","84","3.8","0","9","315","1","C "
"04-03-2023","24.2","29.6","26.8","81","42.5","2.2","4","300","1","C "
"05-03-2023","25","29.6","26.6","87","2.2","2","3","310","0","C "
"06-03-2023","24","33","28.3","71","2.3","2.4","7","310","2","C "
"07-03-2023","25.2","31.2","27.7","76","8888","5.2","4","315","1","C "
"08-03-2023","25.6","29.2","26.5","88","4","8","2","250","1","C "
"09-03-2023","24.8","31.6","27.1","83","9.5","0.5","7","320","1","C "
"10-03-2023","24","32.4","27.8","81","10","6.1","5","320","1","C "
"11-03-2023","25.8","33.6","28.5","77","8888","8.4","4","280","1","C "
"12-03-2023","26.6","30.8","28.4","80","0","8","4","300","1","C "
"13-03-2023","25.6","32.2","28.4","72","","2.6","8","315","2","C "
"14-03-2023","24.2","31.8","27.2","82","","7.6","7","320","1","C "
