"Tanggal","Tn","Tx","Tavg","RH_avg","RR","ss","ff_x","ddd_x","ff_avg","ddd_car"
"01-01-2023","23.8","32","27.5","88","0","1.2","5","10","2","N "
"02-01-2023","23.8","32.7","27.4","86","0","3.5","9","20","2","N "
"03-01-2023","23.6","34.4","28","83","0","7.2","5","350","1","N "
"04-01-2023","23.8","34","27.7","84","0","6.2","4","270","1","C "
"05-01-2023","24.6","34.7","28.4","82","0","9.1","5","360","2","N "
"06-01-2023","23","29.2","27.1","90","0","4.5","3","90","1","C "
"07-01-2023","24","30.6","26.7","88","2.8","0.7","4","350","2","N "
"08-01-2023","24.9","31.9","27.4","85","8888","1","9","350","2","N "
"09-01-2023","24.1","31.7","26.8","88","0","6.2","3","350","1","N "
"10-01-2023","23.4","33.7","26","88","0.8","0.4","7","310","2","SE"
"11-01-2023","22.6","31.6","26.5","88","14.6","2","8","10","1","C "
"12-01-2023","23.4","29.3","24.7","94","0","4.1","3","320","1","C "
"13-01-2023","22.7","34","26.3","88","7","1.1","4","20","1","N "
"14-01-2023","24","33.8","27.5","86","1.5","6.8","4","10","1","W "
"15-01-2023","23.5","34","27.6","83","1.3","8","3","10","1","N "
"16-01-2023","23.5","33.6","27.7","83","0.1","3","6","20","1","C "
"17-01-2023","23.2","32.5","26.2","89","0","7.3","4","360","1","C "
"18-01-2023","23.3","33.5","26.9","90","4.7","7.8","5","220","1","NW"
"19-01-2023","24.4","32.2","27.2","86","2.4","4","4","340","2","N "
"20-01-2023","22.6","31.4","25.8","89","0","7.3","6","10","2","S "
"21-01-2023","23.7","30.4","26.6","84","3.4","1","4","260","1","C "
"22-01-2023","23.7","31.9","26.6","90","0","0","4","20","2","N "
"23-01-2023","24.2","31.7","26.9","87","0.9","7.9","4","330","1","N "
"24-01-2023","22.9","32.9","26.6","88","8888","3.7","5","20","1","N "
"25-01-2023","24.6","32","27.5","87","4","6.7","7","360","3","N "
"26-01-2023","23.9","30","26.7","86","4.1","4","3","360","1","C "
"27-01-2023","24","30.5","26.1","91","11.5","0","3","350","1","W "
"28-01-2023","24.4","32.5","26.1","92","0.4","0.6","4","10","1","C "
"29-01-2023","23.4","32.4","26.1","92","67.3","2.9","8","350","2","N "
"30-01-2023","24.2","32.7","27.1","86","1.1","3","6","10","2","N "
"31-01-2023","24.2","31.9","27.3","88","0","3.5","4","20","1","C "
"01-02-2023","23.4","27.3","24.6","98","15.4","0.5","3","10","2","N "
"01-02-2023","23.4","27.3","24.6","98","15.4","0.5","3","10","2","N "
"02-02-2023","23.9","29.9","25.7","92","22.8","0","4","20","2","N "
"03-02-2023","23.4","30.2","26","86","5","0","7","30","2","N "
"04-02-2023","22.5","33","26.3","79","1.2","","6","330","2","N "
"05-02-2023","23.8","32","27.1","79","0","7.2","4","330","2","NW"
"06-02-2023","24","33","26.8","83","0","4.6","5","20","2","N "
"07-02-2023","23.9","32.4","26.2","87","0","1.6","5","340","1","C "
"08-02-2023","23.4","27.4","25.2","90","20.1","2.5","5","20","2","N "
"09-02-2023","22.5","32.8","27.3","76","0.1","0.4","5","340","2","N "
"10-02-2023","23.2","32.2","26.8","79","0","8.9","4","30","2","N "
"11-02-2023","23.2","32.6","28.7","78","0","4.5","7","360","2","N "
"12-02-2023","24.4","32.6","27.4","80","0","6.9","6","330","2","N "
"13-02-2023","23.8","33.3","26.7","81","0","9.4","5","360","2","N "
"14-02-2023","22.6","32.4","26","86","13","5.8","4","360","2","N "
"15-02-2023","24.2","31.5","27.2","80","0.6","2.4","5","10","2","N "
"16-02-2023","22.7","32.5","26.4","82","0.1","1.5","7","350","2","N "
"17-02-2023","22.7","32.5","27.2","84","12.8","6.6","5","10","2","N "
"18-02-2023","23.6","32.4","26.6","86","7.1","7","5","360","2","N "
"19-02-2023","23.6","32.8","27.4","83","18.9","5.3","4","10","2","C "
"20-02-2023","24.4","32.4","26.3","88","1.9","7.3","4","20","1","N "
"21-02-2023","23.2","32.7","26.4","88","7.5","1.5","5","340","1","C "
"22-02-2023","24.2","31.9","26.3","89","8.4","5.1","6","20","2","N "
"23-02-2023","23.9","32.3","27.3","84","35.6","6.9","7","350","3","N "
"24-02-2023","24.3","31.6","27.6","82","8888","5","3","20","1","N "
"25-02-2023","23.4","32.8","27.6","81","0","3.4","5","270","2","N "
"26-02-2023","23.9","31.4","26.7","87","2.1","2","8","20","2","N "
"27-02-2023","24.2","31.1","27.1","84","11.1","1.9","6","10","2","N "
"28-02-2023","24.4","32.6","27.7","82","4","3.2","5","360","2","N "
"01-03-2023","21.8","33.2","26.8","80","0","7.7","4","360","1","C "
"01-03-2023","21.8","33.2","26.8","80","0","7.7","4","360","1","C "
"02-03-2023","21.9","32.4","25.7","83","0","8","6","20","2","N "
"03-03-2023","22","31","25.4","88","0.4","7","6","20","2","N "
"04-03-2023","23.5","33.3","27.4","79","2.3","3.1","11","290","2","N "
"05-03-2023","23.4","31.1","26.2","87","3.4","7.2","5","360","2","N "
"06-03-2023","23.3","32.4","27.3","80","0.3","0.8","4","350","2","C "
"07-03-2023","24.6","32.9","27.5","83","8888","6.1","5","30","2","N "
"08-03-2023","24.1","33.2","28.1","80","0.5","7.5","7","10","2","C "
"09-03-2023","24.5","33.4","28.2","82","0","11.1","5","350","2","N "
"10-03-2023","23.4","34.1","28","78","0.1","7.1","7","350","2","E "
"11-03-2023","23.7","33.8","28.4","76","0","9.6","5","10","1","C "
"12-03-2023","23.6","32.8","27.4","84","0","5.9","4","350","2","E "
"13-03-2023","23.6","31.8","25.9","90","2","3.3","3","150","1","C "
"14-03-2023","23.5","32.6","27.3","80","1.6","2.5","7","360","2","N "
"15-03-2023","23","34","27.3","83","0","6.8","6","10","2","S "
"16-03-2023","23.4","33.2","27.8","82","6.8","5.6","5","20","1","C "
"17-03-2023","24","34.4","27.1","86","0","6.1","4","260","1","C "
"18-03-2023","23.3","34.1","26.5","85","5.8","5.5","7","270","1","C "
"19-03-2023","23.5","33.2","27.2","84","16.8","6.1","4","360","1","E "
"20-03-2023","23.6","32.5","27.3","85","0","6.7","4","330","2","E "
"21-03-2023","24.9","33.2","27.1","87","0","5.9","3","350","1","C "
"22-03-2023","23","30.8","25.1","93","5","3","3","360","1","C "
"23-03-2023","22.9","34.3","27.6","80","2.6","2.3","6","30","1","C "
"24-03-2023","23","33.5","27.9","88","1.8","8.9","5","20","1","E "
"25-03-2023","24.3","33.8","27.4","86","3.4","5.6","3","110","1","C "
"26-03-2023","23.8","32.5","24.9","94","17.4","3","5","350","2","SE"
"27-03-2023","23.7","32","26.9","86","88","2.3","4","350","1","C "
"28-03-2023","24.1","32.7","27","84","0","2.5","7","360","2","C "
"29-03-2023","23.8","30.7","26.9","84","2.1","5.6","6","30","2","W "
"30-03-2023","24.3","32.9","26.2","88","0","1.7","4","10","1","W "
"31-03-2023","24.3","32.6","26.4","87","2.2","2.5","4","320","1","C "
"01-04-2023","23.8","33.1","27.2","83","0.5","3.2","4","260","1","C "
"01-04-2023","23.8","33.1","27.2","83","0.5","3.2","4","260","1","C "
"02-04-2023","24.4","30.2","25.4","90","7.4","6.5","4","10","1","C "
"03-04-2023","23.3","32.5","27.4","81","8.9","0.3","5","360","2","N "
"04-04-2023","23.8","31.5","25.9","87","8888","4.3","5","360","2","N "
"05-04-2023","22.5","31","26.9","82","13.4","0.7","3","230","1","C "
"06-04-2023","24.2","32.3","25.4","91","0","1","5","260","1","C "
"07-04-2023","23.4","32.2","26.6","89","3.5","2.3","4","360","1","C "
"08-04-2023","23.8","33.3","26.6","88","23","4.8","10","10","2","C "
"09-04-2023","22.2","33","27.4","81","3.6","6.2","6","360","2","N "
"10-04-2023","24.2","34.2","27.9","82","8888","10","4","20","1","C "
"11-04-2023","23.6","33.6","27.9","82","1","5.1","4","340","2","N "
"12-04-2023","25","34.3","28.6","82","0","9","9","20","2","C "
"13-04-2023","23.8","34.6","28.2","82","0","8.8","4","10","1","N "
"14-04-2023","24.7","32.4","26.2","86","3.3","6.6","6","300","1","NW"
"15-04-2023","22.9","35","27.8","79","21","1","3","360","1","C "
