"Tanggal","Tn","Tx","Tavg","RH_avg","RR","ss","ff_x","ddd_x","ff_avg","ddd_car"
"01-01-2023","16.6","29.6","21.8","77","","8","4","130","2","C "
"02-01-2023","16.7","26.7","21","87","0","8.2","3","120","1","SE"
"03-01-2023","18.8","27.5","22.3","82","12.6","3","4","210","2","C "
"04-01-2023","18.4","27.8","21.8","80","0.6","1","4","140","1","C "
"05-01-2023","18.5","29.7","22.9","81","8888","1.5","4","200","1","C "
"06-01-2023","18.6","26.3","21.6","81","8888","3.7","5","360","2","N "
"07-01-2023","19","26.4","20.7","89","8888","1","4","10","2","N "
"08-01-2023","19.6","27","21.9","86","6.9","0.5","6","350","2","NW"
"09-01-2023","17.8","28.5","22.3","78","8888","2.3","7","290","2","C "
"10-01-2023","17.9","28.7","22.3","77","0","6.9","4","270","2","NW"
"11-01-2023","18","29.2","21.6","82","","9","3","290","1","C "
"12-01-2023","18","29.6","22.9","78","8888","0","5","210","1","C "
"13-01-2023","19","30","22.2","83","8888","6","5","90","1","C "
"14-01-2023","17.8","29.8","21.8","82","18.5","4","4","260","2","NW"
"15-01-2023","18","27.4","22","81","0","5.3","4","200","1","C "
"16-01-2023","18.5","29.2","21.9","84","8888","0.5","5","360","1","C "
"17-01-2023","18.8","27.6","21.7","85","5.8","5","4","70","1","C "
"18-01-2023","19.1","27.2","21.9","84","1.6","3.5","3","150","1","C "
"19-01-2023","19.2","23.4","21.1","90","4.2","3.5","4","130","1","C "
"20-01-2023","18.7","28.3","21.4","87","0.4","0","5","110","2","C "
"21-01-2023","18.6","27","22","86","10","5","3","10","1","C "
"22-01-2023","18.5","29","21.9","86","5.7","0.8","4","130","1","C "
"23-01-2023","19","27.3","22.2","88","7","5.9","3","280","2","N "
"24-01-2023","19","27.8","21.4","86","21.7","0.3","5","290","2","NW"
"25-01-2023","18.9","25","21.3","80","8888","0.1","3","110","0","C "
"26-01-2023","18","29","22.3","76","8888","0","7","280","3","W "
"27-01-2023","18","26.7","22.3","81","3","6","8","270","3","NW"
"28-01-2023","19.6","27.8","23.1","75","8888","2.8","9","270","3","NW"
"29-01-2023","18.9","25.9","21.4","86","0.4","8.4","3","140","1","C "
"30-01-2023","19.2","28","22.4","84","1.2","0","4","110","2","C "
"31-01-2023","19.4","27.8","23.1","84","0","6.2","4","130","2","SE"
"01-02-2023","19.5","27.9","23","80","19","3.5","7","270","2","C "
"01-02-2023","19.5","27.9","23","80","19","3.5","7","270","2","C "
"02-02-2023","18.1","29.7","22.7","75","0","2.5","9","260","3","W "
"03-02-2023","18","30","22.8","73","","4.3","7","270","3","W "
"04-02-2023","18","29.4","22.7","80","0","4","4","270","2","NW"
"05-02-2023","19.7","25.7","21.9","80","0","6.1","7","350","4","NW"
"06-02-2023","18.6","29","23","66","8888","0.2","7","280","4","N "
"07-02-2023","19.4","26.5","23.1","77","8888","7.2","7","280","2","W "
"08-02-2023","17.4","29.5","22.5","68","","3.5","8","280","2","W "
"09-02-2023","17.4","29.4","22.5","76","8888","8.1","7","210","2","W "
"10-02-2023","18","28.2","22.5","72","0","4.9","10","290","4","W "
"11-02-2023","19","27.5","21.7","91","0","7.7","8","290","5","W "
"12-02-2023","19.5","27.1","23.2","69","3.3","2.5","10","300","5","NW"
"13-02-2023","19.6","27.5","22.5","76","0.9","4.5","6","290","4","NW"
"14-02-2023","18.7","29.3","22.8","74","0","1.3","7","270","4","NW"
"15-02-2023","18.4","29.1","23","74","","9","7","270","2","C "
"16-02-2023","18.1","29.2","22.5","76","0","6.7","6","240","1","C "
"17-02-2023","16.6","29.3","21.6","76","0","7.7","5","180","1","C "
"18-02-2023","16.4","30","22.7","83","8888","7.2","6","130","2","C "
"19-02-2023","19.7","29.6","23.8","82","7.8","7.1","4","140","2","SE"
"20-02-2023","18.8","29.6","21.9","82","8888","6.7","4","250","1","C "
"21-02-2023","18.6","26.6","21.9","88","8888","6.8","3","190","1","C "
"22-02-2023","19.2","27","21.7","86","5.4","4.4","4","330","1","C "
"23-02-2023","19.2","28.9","22.5","88","15","4.7","4","10","1","C "
"24-02-2023","19.9","26.1","21","93","5.7","5.2","3","130","1","C "
"25-02-2023","18.9","29.5","22.3","84","23.9","0.5","6","310","1","C "
"26-02-2023","18.8","27.8","22.2","81","6.5","7.8","6","130","1","C "
"27-02-2023","18.6","27.9","22.7","82","8888","5","4","140","1","SE"
"28-02-2023","19.9","27.5","22.2","88","7.1","2.2","3","280","1","C "
"01-03-2023","19","28.1","22.4","83","3.2","2.4","5","360","2","C "
"01-03-2023","19","28.1","22.4","83","3.2","2.4","5","360","2","C "
"02-03-2023","17.8","30.1","22.5","80","0","0.7","5","10","2","C "
"03-03-2023","17.9","28.3","22.7","83","3.4","7.5","5","290","2","W "
"04-03-2023","16.8","28.7","21.2","82","1","3","5","190","1","E "
"05-03-2023","16.8","29","22.1","81","8.7","5.7","4","130","1","C "
"06-03-2023","18.8","26.7","21.3","87","0","5.9","3","150","1","C "
"07-03-2023","19.4","28","22.5","85","23.2","2.2","4","160","1","C "
"08-03-2023","19.4","28.4","22.9","82","8888","3.9","5","130","1","C "
"09-03-2023","19.4","27.8","22.2","85","8888","5","6","160","2","C "
"10-03-2023","19","27.7","22.2","86","8888","3.3","4","340","2","SE"
"11-03-2023","19.4","27.3","22.2","88","8.8","2.5","6","120","1","C "
"12-03-2023","19","27.4","22.6","84","30.6","1.1","3","290","1","C "
"13-03-2023","19.3","28","22.7","85","2.3","1.1","7","140","1","C "
"14-03-2023","19.3","25.3","21.1","88","4.8","2","7","140","2","C "
"15-03-2023","19","29.5","22.1","85","0.6","2.9","6","130","2","C "
"16-03-2023","19.4","26.8","22.3","85","4.5","6","5","130","2","SE"
"17-03-2023","20.2","27.8","22.6","86","0.2","1.1","6","100","2","E "
"18-03-2023","20.1","27.4","23.1","84","7.8","3.1","7","140","2","C "
"19-03-2023","20.5","28.7","24","81","0","6","5","140","2","C "
"20-03-2023","21.2","30.1","23.1","84","0","3.2","7","180","1","C "
"21-03-2023","19.2","30.4","21.9","86","73.6","6","5","270","2","C "
"22-03-2023","17.4","30.4","21.1","87","47.7","7","5","40","1","C "
"23-03-2023","17.2","28.8","21.1","90","79.7","5.9","5","80","1","C "
"24-03-2023","18.2","29.9","22.6","82","18","6.4","5","340","2","N "
"25-03-2023","18","29.8","23.6","74","11.3","6","4","280","1","W "
"26-03-2023","19.7","30.6","23.5","82","0","4.5","4","270","1","C "
"27-03-2023","19.9","30.4","23.7","80","1.9","5.5","6","140","2","C "
"28-03-2023","18.6","32.8","22.3","83","12.5","5.8","6","310","1","C "
"29-03-2023","18.4","30.3","23.9","82","5.4","7.1","6","130","2","N "
"30-03-2023","19.6","27.4","21.8","83","0","3.5","6","320","2","NW"
"31-03-2023","18.7","29.1","22.4","81","3.3","2.4","6","220","2","N "
"01-04-2023","19","26.6","22.1","83","0.2","7","5","180","2","NW"
"01-04-2023","19","26.6","22.1","83","0.2","7","5","180","2","NW"
"02-04-2023","18.9","28.6","23.1","76","3.2","0.7","7","240","3","SW"
"03-04-2023","19.7","28.4","23.2","81","1.3","6.4","4","290","2","C "
"04-04-2023","19.7","29.8","23.8","75","8888","2","6","270","3","W "
"05-04-2023","20.8","27.3","23","80","8888","8.1","6","340","2","NW"
"06-04-2023","20.9","30.4","24.4","72","8888","3.9","5","290","2","W "
"07-04-2023","18.2","30.6","22.8","78","0","7","18","120","2","C "
"08-04-2023","18","31.5","23.3","80","","7","6","130","2","C "
"09-04-2023","19","29.6","22.9","79","0","6.3","8","10","2","N "
"10-04-2023","18.3","28","21.6","87","1.6","5.2","3","290","1","C "
"11-04-2023","17.6","31","23.5","76","1.3","5.7","6","200","2","C "
"12-04-2023","18.6","29.7","23.8","79","0","9.4","5","230","2","C "
"13-04-2023","18.9","30.9","23.5","78","0","6.7","4","220","2","C "
"14-04-2023","17.4","30.9","23.1","78","","6.7","4","350","1","C "
"15-04-2023","17.8","28.6","22.9","82","0","7.5","6","300","2","W "
"16-04-2023","19.4","28.9","23","84","2.1","2","5","350","2","W "
"17-04-2023","19.8","31.4","23.8","81","3.3","5.5","7","200","2","C "
"18-04-2023","20.3","30.9","23.8","85","8","7.5","3","120","1","C "
"19-04-2023","19","29.8","22.9","84","17.6","6","5","240","1","C "
"20-04-2023","19.4","29.5","23","85","7.8","6.9","5","140","2","C "
"21-04-2023","20.2","28.4","23.6","84","13","7.8","4","140","1","C "
"22-04-2023","20.2","28.6","22.9","85","0","2.6","6","340","2","C "
"23-04-2023","20.3","28.1","23","84","22","6.4","4","130","2","SE"
"24-04-2023","20.5","29.9","23.4","85","1.7","3.6","7","140","2","C "
"25-04-2023","20.6","29.2","24","82","18.6","8","4","140","2","SE"
"26-04-2023","20.7","27.5","22.7","88","8.1","5","6","320","1","C "
"27-04-2023","20.8","28.7","23.7","87","8888","2","8","130","1","C "
"28-04-2023","20.6","30.1","23.3","84","8888","5.5","4","50","2","NW"
"29-04-2023","20.6","28.9","23.6","84","27","7.2","5","80","1","C "
"30-04-2023","20.9","30.2","24.3","81","8888","3.8","4","340","1","C "
"01-05-2023","21","30.3","24.2","84","2.8","6.1","4","140","1","C "
"01-05-2023","21","30.3","24.2","84","2.8","6.1","4","140","1","C "
"02-05-2023","19.8","31.2","23.6","84","","5.7","3","170","1","C "
"03-05-2023","20","31.1","25.4","79","0","4.7","4","340","2","C "
"04-05-2023","21.8","31.4","24.4","82","","6.9","7","330","1","C "
"05-05-2023","22.2","30.2","24.6","84","12","7.2","4","80","1","C "
"06-05-2023","20.5","30","23.4","85","0","5.5","6","200","1","C "
"07-05-2023","20.2","25.7","21.7","87","27","4.7","9","290","4","NW"
"08-05-2023","20.6","29.1","23.3","79","1.4","0.3","8","280","3","NW"
"09-05-2023","20","29.8","23.9","79","3","2.7","6","280","1","C "
"10-05-2023","18.7","29.2","22.3","85","0","3.7","6","130","2","C "
"11-05-2023","18.9","","23.5","85","0.6","7.5","6","130","3","SE"
"12-05-2023","20.6","31.7","23.9","85","3","7.4","6","140","2","SE"
"13-05-2023","19.9","30","24","80","0.5","5.7","6","140","2","SE"
"14-05-2023","19.6","31","22.7","82","","10.3","8","310","2","C "
"15-05-2023","","31.2","23.5","79","30","7.7","6","260","1","C "
"16-05-2023","18.8","31.2","23.7","79","0","9.4","3","130","2","C "
"17-05-2023","19.2","31","23.1","82","","10.2","7","200","1","C "
"18-05-2023","19","29.7","23.7","84","11.9","7.8","4","180","1","C "
"19-05-2023","20.6","29.2","23.4","80","1.3","3.7","6","220","1","C "
"20-05-2023","18.8","30.4","23.5","80","8888","4.2","5","10","1","C "
"21-05-2023","18.8","28.7","23.5","79","0.9","8.2","3","150","1","SE"
"22-05-2023","18.6","29.7","24.2","77","0","5.6","6","210","2","C "
"23-05-2023","19.2","30.3","23.8","77","8888","9.5","5","240","2","C "
"24-05-2023","18.6","29.9","23.9","76","","8.8","5","210","2","C "
"25-05-2023","18.4","30.8","23.5","80","","8.9","4","240","1","C "
"26-05-2023","19.1","30.2","23.7","81","8888","9.1","6","150","1","C "
"27-05-2023","19","29.7","23","81","3.3","6.3","3","280","1","C "
"28-05-2023","18.8","29.6","22.5","82","","5.9","8","340","2","C "
"29-05-2023","18.7","30.8","24.6","77","8.2","5.6","4","210","1","NW"
"30-05-2023","19.6","29.4","24","80","8888","8.3","6","130","2","N "
"31-05-2023","20.6","30.2","23.9","82","0.5","5.5","3","230","2","NW"
"01-06-2023","19.7","30.2","23.8","78","0","7","5","130","1","C "
"01-06-2023","19.7","30.2","23.8","78","0","7","5","130","1","C "
"02-06-2023","20","30.7","24.8","78","","5.2","6","130","1","C "
"03-06-2023","19.8","30.6","24.3","79","8888","9.5","5","140","2","C "
"04-06-2023","19.9","29.4","22.7","88","3.5","7.2","5","310","2","C "
"05-06-2023","19.6","30.2","23.6","79","7.3","3.5","7","240","2","NW"
"06-06-2023","19.7","28.7","23.4","82","0","7.8","4","30","2","NW"
"07-06-2023","20.2","29.2","23.2","83","0.7","3","3","100","1","C "
"08-06-2023","20.6","29.2","23.5","85","16.4","3.8","4","70","1","C "
"09-06-2023","21","29.5","23.3","84","1.2","4.8","4","330","2","C "
"10-06-2023","20.9","28.6","23.5","84","59.5","3.9","6","160","2","SE"
"11-06-2023","20.2","31.3","24.1","80","0","6","6","320","2","SE"
"12-06-2023","20.4","31.3","23.1","83","0.5","8","5","180","2","C "
"13-06-2023","19.2","29.6","23","80","1","4","7","260","2","NW"
"14-06-2023","19.4","29.4","23.6","79","4","7.3","3","140","1","C "
"15-06-2023","20","29","22.9","83","8888","4.6","5","120","2","SE"
"16-06-2023","19.4","31.1","24.2","72","5.8","7.7","5","260","2","C "
"17-06-2023","18","31.1","22.6","79","8888","8.1","9","270","3","C "
"18-06-2023","17.6","30.9","22.9","79","0","9.4","6","140","1","C "
"19-06-2023","17.8","26.1","22.2","86","1.8","9.3","2","40","1","C "
