Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2023,24.2,29.1,26.6,86,10.2,0,7,300,3,W 
02-01-2023,25,31.2,27.8,82,0.4,1.6,9,300,4,NW
03-01-2023,25.6,31,27.1,85,0,6.7,10,310,2,C 
04-01-2023,25.2,32.2,27.8,82,0.2,2,6,350,2,C 
05-01-2023,,32,27.7,80,22.3,5.9,7,300,3,C 
06-01-2023,24.6,33,27.6,85,14.6,4.5,6,340,2,C 
07-01-2023,26,34,28.3,79,0.2,4.2,6,350,2,S 
08-01-2023,25.5,31.8,28.3,79,15.5,7.6,11,250,2,C 
09-01-2023,23.6,31.4,27.1,88,45.1,6.2,5,320,1,C 
10-01-2023,25,32,28.1,84,4.6,5.4,4,290,2,SW
11-01-2023,26.2,35.2,28.9,74,3.4,7.2,6,240,2,S 
12-01-2023,25,33,28.8,76,0,8.9,5,50,2,C 
13-01-2023,25.4,32.6,27.9,80,0,9.4,6,350,2,C 
14-01-2023,25,33.2,28.2,76,1.2,6.6,6,330,2,W 
15-01-2023,,33.4,29.1,75,,8.4,6,190,2,SW
16-01-2023,25.6,32,28.2,83,1,5,8,260,2,C 
17-01-2023,24.3,30.8,26.5,87,44.1,5.7,4,330,1,C 
18-01-2023,24.2,30.8,27,86,19.1,0.1,6,330,1,C 
19-01-2023,24.4,30.2,26.8,88,22.9,0.2,6,290,2,C 
20-01-2023,25,31,27.5,83,8888,0,5,250,2,C 
21-01-2023,24,32.8,27,82,8.1,2.7,6,340,2,C 
22-01-2023,25,32.6,27.7,85,,8,7,260,2,W 
23-01-2023,25.8,32.2,28.8,78,0.3,5.6,5,340,2,C 
24-01-2023,25.6,32.8,28.1,81,0.2,5.8,5,280,2,C 
25-01-2023,25.8,30.2,26.8,86,8888,5.8,8,180,1,C 
26-01-2023,24,30.3,26.9,86,26.2,1.5,8,210,2,C 
27-01-2023,24.6,30.2,26.2,92,13.4,1.5,3,240,1,C 
28-01-2023,25,29.2,26.3,90,3.2,0,3,290,1,C 
29-01-2023,24.8,29.4,26.5,88,4.5,0,9,280,2,C 
30-01-2023,25.7,31,27.6,86,8888,0,7,310,2,C 
31-01-2023,26,32.4,27.9,85,,1.7,8,290,2,C 
01-02-2023,24.9,29.4,27.1,86,26.8,4.6,7,290,2,C 
01-02-2023,24.9,29.4,27.1,86,26.8,4.6,7,290,2,C 
02-02-2023,25.4,29.6,27.1,90,2.1,0,7,340,2,C 
03-02-2023,24.4,28.5,26.3,88,1,0,4,290,1,C 
04-02-2023,25.2,31.3,27.7,84,1.6,0,4,320,1,NW
05-02-2023,25.2,31.4,27.8,84,1.2,5.5,6,320,2,C 
06-02-2023,25.3,32,28.2,82,1.6,3.3,6,8,2,C 
07-02-2023,26,31.2,27.8,83,0,5.2,7,320,2,NW
08-02-2023,24.2,30.9,27.2,86,11.6,2.6,12,280,2,C 
09-02-2023,24.8,31.3,27.7,86,10.5,2.1,9,320,2,C 
10-02-2023,24.6,31.2,27,84,0.4,2.3,7,330,3,SE
11-02-2023,24.4,28.8,26.3,88,17.7,6.2,6,290,2,C 
12-02-2023,25,29.4,26.7,88,10.3,0,9,320,3,C 
13-02-2023,24.6,32,26.9,84,8888,0,4,170,2,C 
14-02-2023,23.8,32.6,26,88,2.3,3.5,10,180,2,C 
15-02-2023,23.2,32.3,26.8,84,20.6,5.5,4,340,1,C 
16-02-2023,24.5,31.6,26.8,88,8.5,3.7,9,320,1,C 
17-02-2023,24.6,30.4,27,86,5.6,2.6,8,290,2,C 
18-02-2023,24.8,31.6,26.5,89,17,1.7,4,310,1,C 
19-02-2023,24.1,32,26.9,87,29.1,4.2,5,300,2,C 
20-02-2023,25,31.8,27.5,84,3.1,8.5,6,340,2,W 
21-02-2023,,31.6,26.8,88,15.6,6.1,7,330,2,W 
22-02-2023,24.8,30.4,27.1,87,56,7.3,11,300,5,W 
23-02-2023,25.2,30,27.2,84,0,2.3,10,290,5,W 
24-02-2023,25.6,29.8,27.1,83,0.5,1.8,7,290,2,C 
25-02-2023,25.2,30.4,27.5,80,8888,1.2,9,290,5,W 
26-02-2023,25.4,31.2,27.1,82,0.3,1.1,8,290,4,NW
27-02-2023,24.5,28.7,26,89,11,5.4,11,300,4,NW
28-02-2023,24.5,30.4,26.8,87,2.7,0,10,300,3,C 
01-03-2023,23.8,30.6,26.2,89,3,2.6,5,290,1,C 
01-03-2023,23.8,30.6,26.2,89,3,2.6,5,290,1,C 
02-03-2023,24.6,29,26.3,89,26.1,5.5,12,310,3,C 
03-03-2023,,31.2,27.2,83,0.3,0,6,320,2,C 
04-03-2023,24.6,31.6,27.6,84,0.3,8.4,8,320,2,C 
05-03-2023,24.4,32,27.5,84,18.7,8.3,7,320,2,C 
06-03-2023,24.8,34.2,28.4,80,19,7.8,7,230,3,W 
07-03-2023,24.8,32.4,27.8,81,,7.3,6,350,2,NW
08-03-2023,24.3,31.8,27.5,85,32.4,9.3,7,330,3,NW
09-03-2023,25.2,31.8,27.9,82,0,9,5,310,2,C 
10-03-2023,25.4,32,27.8,81,0,7.4,4,130,1,C 
11-03-2023,25.6,32.5,28.2,78,,7.3,5,350,2,C 
12-03-2023,25.4,32.2,28.2,80,0,9.1,5,300,2,C 
13-03-2023,25,32.8,28.1,80,0.8,9.8,6,350,2,C 
14-03-2023,24.9,31.6,27.4,82,1.4,9.8,7,310,2,C 
15-03-2023,25,30.4,27,83,0,6.6,4,330,1,C 
16-03-2023,25.6,31.9,28,80,0,3.1,4,60,1,C 
17-03-2023,25.8,32.2,28.5,80,,8.4,6,30,1,C 
18-03-2023,25.8,32.2,28.3,80,,7.5,6,10,2,C 
19-03-2023,25.4,32.2,28.4,79,0,8.2,5,350,2,C 
20-03-2023,25.8,32.6,27.9,81,0,9,5,70,2,C 
21-03-2023,24.7,31.4,27.8,81,8888,6.2,5,50,2,C 
22-03-2023,25.6,32.6,28.8,83,8,5.4,5,350,2,C 
23-03-2023,26,32.4,28.8,79,1.3,7.8,5,350,2,C 
24-03-2023,25.8,33,28.8,79,0,9.4,7,350,2,C 
25-03-2023,26,32,27.4,86,0,10.1,5,340,1,C 
