Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2023,,24.4,22.4,88,6,0,3,260,2,W 
02-01-2023,21,27.6,23.3,85,0.6,0,2,250,2,W 
03-01-2023,21,28.2,24.8,75,8888,3.1,2,240,2,NW
04-01-2023,22,28.7,25.4,74,,2.1,3,300,2,W 
05-01-2023,21,29,24,88,,7.2,3,240,1,S 
06-01-2023,22,27.8,23.5,85,,4.1,3,50,1,SW
07-01-2023,20,28.4,24.5,84,2,0.4,2,350,1,NW
08-01-2023,20,27.6,24,91,,8,2,230,1,E 
09-01-2023,20,27.4,23.2,84,,5,2,200,1,E 
10-01-2023,19.8,,,,21.5,4.3,0,110,0,E 
11-01-2023,,28,23.9,82,0.5,5.8,2,100,1,SW
12-01-2023,20.4,28.4,24.1,78,,6.5,2,240,1,SW
13-01-2023,19.8,27.5,24.5,76,,5.8,2,100,1,SW
14-01-2023,19,28.2,24.3,78,,5.3,2,100,1,SW
15-01-2023,21,28.4,23.8,88,,7.5,5,4,1,N 
16-01-2023,21.4,27.1,23.8,88,1.5,2,2,230,1,SW
17-01-2023,21,27,22.6,89,,3.9,2,110,1,SW
18-01-2023,20,28.6,23.4,89,29,3.1,2,20,1,W 
19-01-2023,19,27.4,22.7,86,,2.6,3,130,1,SW
20-01-2023,19.7,26.6,22.7,90,36.5,4.1,2,100,1,SW
21-01-2023,20.4,27,23.5,85,1,1.2,2,350,1,W 
22-01-2023,21,28.2,24.5,83,,4.8,2,110,1,SW
23-01-2023,19.4,28.2,24,74,,5.4,2,160,1,SW
24-01-2023,21,29.2,25.2,77,,,2,290,1,NW
25-01-2023,21.4,27,22.4,92,,4,3,190,1,SW
26-01-2023,20.8,25.8,23.9,90,43,2.1,2,40,1,E 
27-01-2023,20.8,27.7,22.8,92,9.5,0.5,2,160,1,E 
28-01-2023,20.6,26.4,22.6,92,11,0.9,3,260,1,SW
29-01-2023,21,28,23.3,84,36.5,0.5,2,190,1,SW
30-01-2023,20.4,27.4,23,92,44,6,2,330,1,NW
31-01-2023,21.4,28.1,25,72,1,1.1,3,270,2,SW
01-02-2023,,28.6,23.6,88,6,1.2,2,260,1,W 
01-02-2023,,28.6,23.6,88,6,1.2,2,260,1,W 
02-02-2023,20.8,27.4,23.2,88,13,2.1,3,340,2,W 
03-02-2023,20.9,,,,60.5,0.6,2,260,2,W 
04-02-2023,21.2,27,22.7,90,,0.5,3,250,1,W 
05-02-2023,21.2,26.6,24.2,68,1.5,3,2,280,2,SW
06-02-2023,21,28,25.3,70,,0,3,260,2,SW
07-02-2023,21.4,28.1,23.6,86,,0.5,2,150,1,W 
08-02-2023,20.4,27.2,22.5,92,66,3.6,3,280,2,NW
09-02-2023,,,,,,,,,,
10-02-2023,21,27,23.2,90,4,4.4,2,280,1,W 
11-02-2023,20.8,24.5,22,92,34,6,2,280,1,W 
12-02-2023,21,26.8,23.1,88,19.5,0.4,2,260,1,SW
13-02-2023,20.4,27.2,22.2,86,15.5,1.3,2,180,1,S 
14-02-2023,20.4,27.6,24.2,82,2,1.8,3,250,1,S 
15-02-2023,20.3,27,23.1,86,10,4,2,270,1,SW
16-02-2023,20.2,27,22.9,88,2,2.8,2,100,1,SW
17-02-2023,20,29,23,91,19,3.6,3,30,1,W 
18-02-2023,20.2,27.4,22.8,92,7.5,2.1,2,260,1,W 
19-02-2023,19.4,28.1,24.4,81,27,1.8,2,110,1,SW
20-02-2023,20.2,29.2,23.7,86,,6.2,2,80,1,E 
21-02-2023,20.2,29,24.4,84,3,6.9,18,20,2,N 
22-02-2023,20.6,27.4,23.5,90,9.5,8.7,3,330,2,NW
23-02-2023,19.6,25,22.7,92,2.5,4.8,2,280,1,W 
24-02-2023,21.2,26,22.8,93,9,5.5,2,270,1,W 
25-02-2023,20.2,27.7,23.5,87,13.2,2.5,3,270,1,W 
26-02-2023,21,24,21.9,95,11.5,5.4,2,280,2,W 
27-02-2023,21,25,21.4,95,14,0,4,300,1,W 
28-02-2023,20.4,25,22.2,92,23,0.7,2,290,2,W 
01-03-2023,20.8,27.2,24.1,76,105,0,3,280,1,NW
01-03-2023,20.8,27.2,24.1,76,105,0,3,280,1,NW
02-03-2023,20.5,24,21.6,93,9.1,3.3,3,360,1,N 
03-03-2023,20.3,28.4,24.6,75,65,1.3,2,280,1,W 
04-03-2023,20.2,28.6,23.5,85,,8,2,270,1,W 
05-03-2023,20.6,27.7,23.3,88,15,6,2,230,1,SW
06-03-2023,21.2,28.5,24.2,84,1.5,1.9,2,90,1,SW
07-03-2023,19.6,29,24.3,78,,9.2,2,80,1,S 
08-03-2023,19.8,27.4,22.9,87,,8.6,2,350,1,S 
09-03-2023,20.6,27.9,24.1,82,9,3,2,100,1,SW
10-03-2023,20.6,29.1,23.9,78,0.2,6.2,2,120,1,SW
11-03-2023,20.6,30,24.6,77,1,7.8,3,220,1,SW
12-03-2023,20.6,28,24,73,,9.8,2,230,1,SW
13-03-2023,19.2,29.4,24.4,63,,6.8,2,120,1,W 
14-03-2023,20,27,21.6,87,,8.8,3,350,1,S 
15-03-2023,20,28.6,24.5,80,24,3.8,2,90,1,E 
16-03-2023,21,29.5,25.5,80,0,9.3,2,100,1,E 
17-03-2023,20,28,23.1,86,,7.9,2,200,1,SW
18-03-2023,20.6,27,23.4,88,13,2.4,2,170,1,SW
19-03-2023,,29,24.3,84,33,5.1,3,,1,SW
20-03-2023,21,27,22.9,87,8.5,6.6,3,80,1,SW
21-03-2023,20.4,28.8,24.6,84,10,2.6,2,130,1,SW
22-03-2023,21.4,28.9,23.9,92,13,7,2,110,1,SW
23-03-2023,21.5,28,24,88,13,4.7,2,130,1,SW
24-03-2023,21,29,23.2,90,28,3.7,3,170,1,SW
25-03-2023,21.6,28.8,23.3,88,17.5,3.6,2,40,1,S 
26-03-2023,20,28,23.2,86,44.5,3.3,2,100,1,SW
27-03-2023,20.5,28.2,23.6,85,33,6.3,2,200,1,SW
28-03-2023,20.2,27.8,23.1,87,7.5,4,2,270,2,SW
29-03-2023,21,28,23.2,86,10,5.3,4,230,1,SW
30-03-2023,21.2,27.2,23.2,86,3,5.2,2,350,1,S 
31-03-2023,20.8,27.8,22.8,91,8,3.3,2,280,1,SW
01-04-2023,20,26.5,21.8,88,6,3.3,2,60,1,SW
01-04-2023,20,26.5,21.8,88,6,3.3,2,60,1,SW
02-04-2023,20.2,27.8,21.8,92,22,1.8,2,140,1,SW
03-04-2023,20,27,23.1,88,72,2.6,2,130,1,SW
04-04-2023,21,27.6,23.1,90,4,2,2,120,1,SW
05-04-2023,20.6,28.2,23.9,82,1.5,3.2,2,120,1,SW
06-04-2023,21.2,27.2,23,87,,4.9,2,10,1,W 
07-04-2023,21,27,23.7,88,,2.8,2,100,1,SW
08-04-2023,20,27.8,23.4,83,,2.8,3,170,1,SW
09-04-2023,20.2,29.6,23.8,79,35.5,6.5,2,160,1,SW
10-04-2023,21,28.5,24.3,82,,7.1,2,250,1,SW
11-04-2023,20.4,28.4,24.4,86,0.5,6.3,2,110,1,E 
12-04-2023,20.4,27.6,22.9,88,,6,2,180,1,S 
13-04-2023,21,25.5,23,96,,2.9,2,230,1,SW
14-04-2023,20.4,27,24,87,,0,2,100,1,E 
15-04-2023,20.3,28.8,24.1,86,,3.2,2,150,1,SW
16-04-2023,20.4,28.8,24.2,88,,6.5,2,230,1,SW
17-04-2023,21.4,27,23.8,86,,4.6,2,240,1,SW
