Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2023,23.6,32.5,26.7,84,0,6.8,5,350,3,W 
02-01-2023,24.5,30.8,26.9,86,,8.7,4,280,2,W 
03-01-2023,25,30.2,27,84,0,4.7,3,140,1,C 
04-01-2023,23.9,29.8,25.5,90,8888,3.8,9,50,2,NE
05-01-2023,23.8,30,26.4,88,35.2,4,4,290,1,C 
06-01-2023,24.4,,,,0.3,5.2,5,250,2,C 
07-01-2023,24.3,30,26.3,89,3.5,1.2,5,240,2,SW
08-01-2023,24,29.8,26.3,92,8.8,4.2,2,240,0,C 
09-01-2023,24.2,30.7,26.3,90,16.5,0.2,7,200,2,C 
10-01-2023,23.6,30.6,26.6,86,1.4,4.5,3,250,1,C 
11-01-2023,24.6,31.4,27.5,86,0,6.7,3,10,1,N 
12-01-2023,24.2,31.4,27.6,84,,7.2,3,10,1,C 
13-01-2023,24.4,31.2,26.7,88,0,7.2,3,250,1,C 
14-01-2023,23.2,30.8,26.4,88,,4.7,4,260,2,W 
15-01-2023,23.8,30.7,26.6,86,0,8.1,3,250,1,C 
16-01-2023,23.7,9999,27.2,84,0,6.6,3,10,2,N 
17-01-2023,23.2,31.6,26.9,86,,9.6,4,240,2,N 
18-01-2023,24,31.8,27.2,84,0,10,3,360,1,N 
19-01-2023,24.2,30.8,26.8,85,8888,6.1,3,230,2,W 
20-01-2023,24.6,30.8,26.3,90,6.5,6.9,3,240,1,C 
21-01-2023,24,30.6,26.7,87,25.5,4.9,4,270,2,C 
22-01-2023,24.6,30.2,27,86,2.6,6.1,2,270,1,C 
23-01-2023,23.8,31.2,27.1,84,1,2.7,4,260,1,C 
24-01-2023,24.4,30.5,26.9,87,32.5,5,4,250,2,W 
25-01-2023,24.4,28.8,26.3,90,,3.5,3,240,1,C 
26-01-2023,24.4,29.8,26.3,88,5.8,0,3,360,1,C 
27-01-2023,24.7,29.3,26.6,90,38.5,1.9,3,50,1,N 
28-01-2023,24.4,29.8,26.2,92,30.4,1.5,3,210,1,C 
29-01-2023,24.2,28.4,25.4,90,29.6,0.7,5,350,2,W 
30-01-2023,23,31.6,26.4,90,13,0.6,3,360,1,N 
31-01-2023,24.4,29.6,25,94,48.3,3.6,3,210,1,N 
01-02-2023,23.9,30,25.9,90,11.9,0.4,2,280,0,C 
01-02-2023,23.9,30,25.9,90,11.9,0.4,2,280,0,C 
02-02-2023,23.4,31,26.4,90,5,3.1,2,10,1,C 
03-02-2023,23.5,30.1,26.4,89,9.7,1.9,5,250,2,C 
04-02-2023,23.1,30.4,26.7,88,1.7,3.2,2,10,1,C 
05-02-2023,24,30.8,26.7,88,0,6.8,3,250,1,C 
06-02-2023,25,31.2,27.5,86,8888,6.4,3,250,2,W 
07-02-2023,25.1,30.8,27.3,86,0,8.2,3,260,1,C 
08-02-2023,24.8,31.6,27.4,82,,7.8,3,280,2,W 
09-02-2023,24.1,31.4,27.2,86,0,10.1,5,270,2,W 
10-02-2023,24.5,31.4,27.8,86,0,8.8,4,200,2,NW
11-02-2023,24.8,32.3,28,85,0,8.7,4,320,2,C 
12-02-2023,24.9,29.6,25.8,91,8888,7.2,8,280,2,C 
13-02-2023,22.2,30.4,25.5,90,36,0.5,3,240,1,C 
14-02-2023,22.5,31.2,26.7,86,2.5,5.3,4,280,2,W 
15-02-2023,9999,30.5,26.6,86,0,8.6,4,270,2,C 
16-02-2023,23.5,30.8,26.5,87,0.7,3.9,4,260,2,W 
17-02-2023,24.7,31.4,27.9,85,,9.9,5,270,2,W 
18-02-2023,25,32,27.6,84,0,8.8,4,290,2,W 
19-02-2023,24.6,31.5,27.5,85,0,9.9,3,310,2,C 
20-02-2023,24.5,31.5,27.4,83,,9.1,4,260,2,W 
21-02-2023,9999,31.6,27.6,82,0,7.6,4,270,2,W 
22-02-2023,24.2,31.5,27.3,83,0,9.9,3,360,2,NE
23-02-2023,9999,32.8,27.3,82,0,9.8,4,290,2,E 
24-02-2023,24.7,30.2,26.9,88,,7.8,3,20,2,N 
25-02-2023,24.5,29.5,25.5,95,1.3,0.9,3,350,1,NE
26-02-2023,24.2,9999,26.8,84,23.4,0.6,3,40,2,N 
27-02-2023,24.1,31.1,25.7,91,,2.4,4,100,2,C 
28-02-2023,24.5,31,26.4,89,15.2,5.7,5,240,2,C 
01-03-2023,24.1,28.6,25.6,93,5.3,2.4,4,270,1,C 
01-03-2023,24.1,28.6,25.6,93,5.3,2.4,4,270,1,C 
02-03-2023,22.9,31,26.6,86,0.6,0,3,260,2,C 
03-03-2023,,30.6,27.4,86,0,6.7,9,230,3,SW
04-03-2023,24.1,30,25.5,93,6.6,3.3,2,110,1,C 
05-03-2023,24.7,27.6,25.5,94,14.2,1.1,5,20,2,C 
06-03-2023,23.7,,25.6,92,5,0,4,280,1,C 
07-03-2023,,30.3,26.3,90,4.5,4.2,4,270,2,W 
08-03-2023,21.2,32.2,27.4,86,0,6.1,5,270,1,C 
09-03-2023,24.8,30.8,27.1,88,0,8.2,3,80,2,N 
10-03-2023,23.7,33.9,26.5,88,1,4.3,5,260,2,E 
11-03-2023,24.3,30.6,26.3,90,66.4,7.6,4,10,2,C 
12-03-2023,24,30.6,25.8,90,8888,1.7,3,250,1,C 
13-03-2023,23.7,30.4,25.6,93,1.5,2,3,50,1,C 
14-03-2023,23.8,30.7,26.8,88,28.1,2.4,4,250,2,C 
15-03-2023,24.4,32.2,27.6,82,0,7.8,4,280,2,W 
16-03-2023,24.3,30.6,27.1,88,67.8,9.3,3,310,1,C 
17-03-2023,25,30.6,27.3,87,13,1.1,4,280,1,C 
18-03-2023,24.9,28.7,25.1,94,1.2,3.2,2,150,1,C 
19-03-2023,22.4,31.4,26.5,87,25.2,0,3,240,1,C 
20-03-2023,22.3,30,25.8,92,35.3,8.7,3,270,1,C 
21-03-2023,22.7,31.2,26.1,88,6,0,3,250,1,W 
22-03-2023,23.2,31.9,27.6,86,0,8.9,3,350,2,W 
23-03-2023,25.1,31.8,26.9,88,0,9.2,4,280,2,C 
24-03-2023,23.4,30.6,26.6,86,2.2,7.1,3,260,1,C 
25-03-2023,24.3,30.8,26.8,89,12,4.4,3,290,0,C 
26-03-2023,24.1,31.9,27.3,83,1.5,1.5,3,240,1,C 
27-03-2023,25.2,32.2,27.7,85,8888,6.1,4,230,2,SW
28-03-2023,23.5,32,27.2,84,3.2,6,3,240,1,C 
29-03-2023,24.5,32.6,27.4,87,,6.4,4,250,2,C 
30-03-2023,23.6,31.8,26.6,88,0,5.5,4,280,2,W 
31-03-2023,24.1,29,24.4,94,8888,5.2,9,240,1,C 
01-04-2023,23.2,30.4,26.6,84,4.5,0.2,3,220,1,C 
01-04-2023,23.2,30.4,26.6,84,4.5,0.2,3,220,1,C 
02-04-2023,24.1,31.3,27.6,85,0,0.1,4,270,1,W 
03-04-2023,24.7,,26.9,86,0,10.8,6,240,2,C 
04-04-2023,23.4,31.3,26.8,85,1.8,3.4,4,220,2,SW
05-04-2023,23.8,32.2,27.7,86,0,7.5,4,270,2,W 
06-04-2023,25.6,30.4,26.2,93,,6.1,8,250,2,C 
07-04-2023,24.2,31.6,25.3,89,1.5,2.1,17,250,3,W 
08-04-2023,22.8,31,26.2,88,0.3,3.3,3,260,1,W 
09-04-2023,24,31.9,27.2,86,0,6.5,4,260,1,C 
10-04-2023,24.4,31.4,27.8,84,0,6.4,5,270,2,W 
11-04-2023,24.8,31.8,28.5,81,,10,4,270,2,W 
12-04-2023,24.2,32.2,27.8,85,,10.1,4,290,2,W 
13-04-2023,24.4,31.5,27.6,80,0,8.6,3,270,2,W 
14-04-2023,24.2,32,27.6,85,,9.2,3,290,1,C 
15-04-2023,24.4,32.6,27.7,84,0,9.2,3,240,1,C 
16-04-2023,25.2,32.4,27.9,85,0,8.5,4,230,2,W 
17-04-2023,24.5,32.5,28,84,0,7.6,3,270,2,SW
18-04-2023,24.5,32.8,28.2,84,0,7.9,4,220,2,SW
19-04-2023,25.3,32.7,28.6,86,0,9.9,4,240,2,SW
20-04-2023,25.4,32.8,28.6,83,0,10,3,250,1,C 
21-04-2023,24.7,33.3,28.7,80,,4.6,3,260,1,C 
22-04-2023,23.2,32.4,27.3,86,12,9.4,3,270,1,C 
23-04-2023,23.5,31.4,26.2,90,30,4.4,2,260,0,C 
24-04-2023,24,30.5,26.5,87,1,1.1,2,40,1,C 
25-04-2023,25.7,32.6,28.5,82,8888,1.7,3,250,2,C 
26-04-2023,24.7,31.4,27.8,88,9.9,9.7,3,200,2,W 
27-04-2023,24.3,32.4,28,84,3,3.5,4,260,2,W 
28-04-2023,25.4,29.8,27.4,90,,7.4,2,280,0,C 
29-04-2023,24.7,32.2,27.5,88,1.4,1.5,3,240,2,W 
30-04-2023,24,32.6,28,83,8888,6.7,4,260,1,C 
01-05-2023,25.2,32.4,28.8,82,0,9,5,280,2,W 
01-05-2023,25.2,32.4,28.8,82,0,9,5,280,2,W 
02-05-2023,25.5,32.6,28.6,83,0,9.3,4,250,2,SW
03-05-2023,25.8,33.5,29.1,82,0,8.7,4,270,2,E 
04-05-2023,24.5,32.6,27.9,85,0.4,9.6,3,230,2,W 
05-05-2023,25.6,32.9,29,82,0.5,10,3,210,2,W 
06-05-2023,25.6,32.5,28.8,83,12.3,8,4,270,2,SW
07-05-2023,25.7,32,27.9,87,1,6.7,6,260,3,W 
08-05-2023,25.1,32.2,25.4,94,0,8.2,8,230,1,C 
09-05-2023,24.3,30.2,26.5,91,16.5,3.3,4,310,2,C 
10-05-2023,24.6,33.2,28.3,82,2.8,1,3,260,1,C 
11-05-2023,26.2,33.6,28.8,85,,6.2,3,250,1,C 
12-05-2023,26.4,32.9,30.8,80,0,7.9,3,240,2,SW
13-05-2023,25.8,32.8,28.3,84,18.5,9.4,3,270,2,W 
14-05-2023,24.5,31.8,27.5,84,8.5,4.2,2,220,0,C 
15-05-2023,24.2,33.5,29.2,78,,2.5,3,220,2,SW
16-05-2023,25.1,33.1,28.9,81,,10.7,7,250,2,W 
17-05-2023,,33,28.9,82,,9.6,4,290,2,W 
18-05-2023,25.2,32.6,28.4,82,,9.6,4,250,2,C 
19-05-2023,25.2,31.5,28.2,84,1,10.2,3,180,2,C 
20-05-2023,24.1,33,30.5,71,36.4,4.6,3,90,2,E 
21-05-2023,24.2,33.2,30.9,74,,9.5,2,140,1,C 
22-05-2023,26.4,33.6,30.9,76,8888,6.5,3,210,2,SW
23-05-2023,25.3,32.6,30.7,77,1.4,8.1,5,230,3,SW
24-05-2023,24.5,32.6,29.5,78,2.9,8.9,4,150,2,SE
25-05-2023,24.5,34,29.6,79,8888,4.7,4,200,2,S 
26-05-2023,25.3,33.2,31.1,74,,9.1,4,120,2,SW
27-05-2023,25.7,32.3,29.1,86,0,9,4,240,2,W 
28-05-2023,26,33.2,28.8,84,8888,4.9,4,220,2,S 
29-05-2023,26,33.9,31,76,0,5.7,5,280,3,W 
30-05-2023,25.8,32.2,28.7,83,,8.4,2,130,1,C 
31-05-2023,23.9,32.7,28.2,84,1.8,4,3,240,2,SW
01-06-2023,25.9,33.8,30.8,76,0,8.5,4,220,2,C 
01-06-2023,25.9,33.8,30.8,76,0,8.5,4,220,2,C 
02-06-2023,24.5,32.8,30,78,0,6,3,100,1,C 
03-06-2023,25.9,32.6,28.3,84,10.7,6.2,3,150,1,SE
04-06-2023,24.1,32.2,26.2,89,18.5,2.3,4,240,1,SW
05-06-2023,24,31.9,27.6,88,3.8,5.8,3,250,1,C 
06-06-2023,25.2,31.2,28.3,85,0,0,3,200,1,C 
07-06-2023,24.6,33,30,76,0.9,3.4,2,70,1,E 
08-06-2023,24.9,31.6,25.9,92,,4,4,270,1,NE
09-06-2023,24.2,31.6,28.7,82,107.3,6.5,2,70,1,C 
10-06-2023,24.3,33.4,28.6,82,0,2.6,4,270,1,C 
11-06-2023,25.2,32.2,28.2,84,,4.6,3,250,2,C 
12-06-2023,25,,27.9,85,3,8.7,3,130,2,SE
13-06-2023,25,33.4,28.5,82,0,4.4,4,260,2,SW
14-06-2023,26.8,29.6,27.5,89,3.3,9.3,10,250,1,C 
15-06-2023,23.7,32.3,29.5,78,0.5,0.3,3,250,1,C 
16-06-2023,24.2,32.6,27.9,86,10.9,6.9,3,250,1,C 
17-06-2023,25.3,33,28.2,82,,5.1,3,260,2,E 
18-06-2023,24,33.2,28.2,77,0,5.4,3,180,1,C 
19-06-2023,24.9,32.2,27.8,85,,7.1,3,270,1,C 
20-06-2023,25,31.9,29.5,79,0.2,6.3,4,220,2,SW
21-06-2023,25.6,31.8,28.6,82,0,5.4,5,290,2,W 
22-06-2023,25.2,,31,72,0,10.2,3,200,2,S 
23-06-2023,25.5,32.4,28.4,86,0.8,9.8,3,260,1,C 
24-06-2023,25.2,32.8,30.4,75,0,7,4,260,2,S 
25-06-2023,,32.2,28.2,83,,10.3,3,270,2,SW
26-06-2023,25.2,,28.1,84,0,9.9,5,250,2,SW
27-06-2023,23.5,32.6,27.3,85,0,9.3,4,230,2,SW
28-06-2023,23.8,33.1,28.4,80,0,8.9,4,250,2,S 
29-06-2023,24.9,33,28.4,82,0,7.9,4,260,2,W 
30-06-2023,25,33.2,27.9,87,0,10.3,4,280,2,SW
01-07-2023,24.5,32.7,26.6,90,0.9,5.7,5,210,2,C 
01-07-2023,24.5,32.7,26.6,90,0.9,5.7,5,210,2,C 
02-07-2023,24.1,30.4,26.9,86,25.4,3,2,70,1,C 
03-07-2023,24.1,32.5,28.2,82,8888,0.9,3,60,1,E 
04-07-2023,,32.6,27.3,88,,6.4,4,50,2,C 
05-07-2023,24,32.2,27.4,81,30.9,7.9,3,200,1,W 
06-07-2023,24.9,,26.1,92,55.3,9,6,260,3,W 
