Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2023,25,32.4,28.2,76,0,3.8,4,310,2,NW
02-01-2023,24.2,33.6,28.4,81,0,3.8,5,270,2,SW
03-01-2023,24.6,32,,,5.2,5.6,8,280,3,W 
04-01-2023,,,,,,,,,,
05-01-2023,,,,,,,,,,
06-01-2023,23.2,,,,19,0.8,5,250,2,W 
07-01-2023,,,,,,,,,,
08-01-2023,24.8,,,,,4.9,3,20,3,N 
09-01-2023,,30.8,,,27,1.3,5,290,3,NE
10-01-2023,24,32.7,26.4,86,,0.7,4,30,2,N 
11-01-2023,24.2,31,,,,0.3,3,50,2,NE
12-01-2023,,,,,,,,,,
13-01-2023,,,,,,,,,,
14-01-2023,23.7,,,,0.4,6.1,6,280,3,W 
15-01-2023,,,,,,,,,,
16-01-2023,23.6,,,,18.5,4.5,5,280,4,NW
17-01-2023,23.6,30.6,,,8888,5.2,5,240,2,SW
18-01-2023,24.6,,25.7,90,1.6,0.9,5,330,3,NW
19-01-2023,24.2,32,,,2.3,0.8,3,10,2,N 
20-01-2023,,,,,,,,,,
21-01-2023,23.6,32.4,,,1,0.8,5,270,2,W 
22-01-2023,22.8,32.5,25.9,89,1.7,7.1,5,260,2,C 
23-01-2023,24.2,29.8,26,92,11.5,2.6,4,10,2,E 
24-01-2023,24.4,,,,2.7,0.8,3,250,2,S 
25-01-2023,23.4,,,,42.9,0,5,300,3,SW
26-01-2023,23.4,25.4,,,45.2,0,4,230,2,NE
27-01-2023,22,30,,,38.8,0,5,200,2,NE
28-01-2023,,,,,,,,,,
29-01-2023,23.5,,25.9,87,1.9,0.7,7,250,3,SW
30-01-2023,23.6,31.6,,,1.9,2.2,9,220,2,SW
31-01-2023,24.4,30.6,,,8888,1.7,6,320,2,NW
01-02-2023,,,,,,,,,,
02-02-2023,23.4,27,,,46.5,10,5,310,2,NE
03-02-2023,,,,,,,,,,
04-02-2023,23.5,,27,82,27.5,1.4,4,50,3,N 
05-02-2023,24.2,32.6,,,,2,12,250,2,NE
06-02-2023,22.4,30.4,26.4,87,23.7,3.8,4,20,2,N 
07-02-2023,23.6,,,,0,0.6,5,280,3,N 
08-02-2023,23.4,32.2,,,20.4,5.6,5,310,3,NE
09-02-2023,22.6,,,,3.7,3.3,4,50,3,N 
10-02-2023,22.4,,,,6.2,2,3,70,2,NE
11-02-2023,,,,,,,,,,
12-02-2023,,,,,,,,,,
13-02-2023,23.7,30,,,20.1,0.1,5,240,2,E 
14-02-2023,23,,26.3,87,10.1,0.1,4,310,2,SW
15-02-2023,23,31.4,,,0.2,0.2,8,280,3,NE
16-02-2023,,31.7,,,1,3,7,250,2,S 
17-02-2023,23.8,,,,,5.9,5,250,4,W 
18-02-2023,,,,,,,,,,
19-02-2023,,,,,,,,,,
20-02-2023,26,,,,,7.1,6,250,3,SW
21-02-2023,23.4,32.8,,,12.5,2.5,6,240,3,NE
22-02-2023,24.7,31.8,26.1,92,,7,8,250,2,NE
23-02-2023,23.6,32.8,,,68.2,2.5,5,270,2,S 
24-02-2023,23.6,,,,23.6,7.2,6,220,2,S 
25-02-2023,23.4,28,,,68,1.5,4,70,1,E 
26-02-2023,,,,,,,,,,
27-02-2023,24,30.2,,,0.8,0.2,3,80,2,S 
28-02-2023,24.6,31.2,,,,1.1,8,220,2,C 
01-03-2023,,,,,,,,,,
02-03-2023,,,,,,,,,,
03-03-2023,,,,,,,,,,
04-03-2023,24.8,32.2,27.1,84,0,7.2,5,300,2,E 
05-03-2023,,,,,,,,,,
06-03-2023,,,,,2.2,4.3,4,310,3,SW
07-03-2023,23.6,,,,6.5,6,4,270,2,N 
08-03-2023,,,,,,,,,,
09-03-2023,23.2,,,,0,3.6,5,190,3,S 
10-03-2023,24.2,,,,0,11,5,230,3,SE
11-03-2023,,,,,,,,,,
12-03-2023,24.7,28.6,,,0.7,2.3,3,310,2,NE
13-03-2023,22.4,30,26.1,87,94.5,0.3,5,210,2,S 
14-03-2023,23,,,,13.1,,5,320,3,NE
15-03-2023,23.9,31.4,,,14.9,0.7,4,220,2,SW
16-03-2023,23.8,31.8,,,0,4.5,4,300,2,NE
17-03-2023,23.8,,,,16.8,1.8,5,170,3,NE
18-03-2023,23.4,34,,,70,6.9,5,220,2,SE
19-03-2023,24.6,,28.3,80,,7.9,4,180,3,NE
20-03-2023,,,,,,,,,,
21-03-2023,,,,,,,,,,
22-03-2023,23.5,,,,10,8.6,3,360,2,E 
23-03-2023,,,,,,,,,,
24-03-2023,,,,,,5.8,5,240,3,NE
25-03-2023,,,,,,,,,,
26-03-2023,,,,,,,,,,
27-03-2023,24.3,,,,0,0,5,330,3,N 
28-03-2023,24,31.4,,,0.2,6.5,6,330,3,N 
29-03-2023,24.3,,27.4,84,0,2,5,240,2,SW
30-03-2023,23.8,30.5,,,18.7,2.4,5,350,2,N 
31-03-2023,23.8,29.9,25.8,92,17.2,2.9,9,240,3,NE
01-04-2023,24,27.9,25.6,91,1,3.5,3,220,2,SE
02-04-2023,22.6,32,25.9,89,6,0,6,240,2,E 
03-04-2023,23.4,32,,,0.6,4.5,4,30,2,NE
04-04-2023,,,,,,,,,,
05-04-2023,23.8,,,,6.6,0.8,3,50,2,N 
06-04-2023,24.5,,,,0,6.9,4,210,2,SW
07-04-2023,24.2,30.4,,,3.6,5.6,3,350,2,NE
08-04-2023,24.6,32.2,,,8888,0,4,240,2,NE
09-04-2023,24,32.2,27.1,84,8888,2.4,5,280,2,NE
10-04-2023,24,32.1,27.2,85,0,5,6,230,2,SW
11-04-2023,24.6,32.8,28.1,82,4,4.2,8,260,4,W 
12-04-2023,24.9,33,,,0,10.9,6,220,3,S 
13-04-2023,25.6,32.9,,,,10.8,8,250,3,S 
14-04-2023,25.5,31.2,27.9,84,0,8.5,4,340,2,NE
15-04-2023,25.1,32.8,28.1,84,10.5,2.2,4,330,2,W 
16-04-2023,23,33,,,0,6.2,5,280,2,NE
17-04-2023,25.4,33.2,26.7,91,0,5.4,4,50,2,E 
18-04-2023,24.2,35,28,80,,5.1,4,10,2,NE
19-04-2023,24.1,35,,,0,10,5,190,2,S 
20-04-2023,25,32.8,,,2.5,5.7,5,170,2,NE
21-04-2023,23.4,34.8,27.8,83,49.7,3.6,4,180,2,S 
22-04-2023,24.2,,,,0,8.9,4,150,2,SE
23-04-2023,24.4,35.4,,,0,6.1,4,20,2,C 
24-04-2023,24.6,35,28.8,80,8888,8,5,210,2,SE
25-04-2023,25,32.6,28.2,81,0.2,9,4,40,2,N 
26-04-2023,25.4,34,28.5,78,0,6.4,4,200,2,NE
27-04-2023,24.8,34.8,27.8,86,0.2,8,6,220,3,N 
28-04-2023,24.4,33.7,,,10.2,5.9,4,360,2,N 
29-04-2023,,,,,,,,,,
30-04-2023,25.4,,27.9,85,0,0.8,4,250,2,S 
01-05-2023,,,,,,,,,,
02-05-2023,25,33.2,,,0,8.1,5,50,2,NE
03-05-2023,24.5,34.3,27.5,87,16.3,4.5,6,50,2,E 
04-05-2023,24.9,35,28.4,83,39.2,6.8,4,210,2,S 
05-05-2023,,35,28.2,84,,10.5,8,190,1,C 
06-05-2023,25.3,32.6,26.9,90,3.1,6.3,6,90,2,S 
07-05-2023,24.8,32.4,26.8,92,8888,3.9,3,250,2,S 
08-05-2023,25.1,33.2,27.5,88,9.5,4.3,5,150,2,NE
09-05-2023,,,,,,,,,,
10-05-2023,,32,,,6.3,3.4,4,40,2,NE
11-05-2023,25.8,35.6,29.2,81,0,1.3,5,80,2,N 
12-05-2023,25.3,35,28.7,81,2.6,7.9,6,70,2,C 
13-05-2023,25.5,33,27.4,86,4.7,7.1,4,160,1,C 
14-05-2023,23.6,32.5,27.6,80,5.3,9.9,5,230,2,SW
15-05-2023,24.4,34.4,28.5,74,0,10.8,4,310,2,S 
16-05-2023,24,34.4,,,,,4,270,2,SW
17-05-2023,22.9,33.8,27.6,76,0,11,3,200,1,C 
18-05-2023,24,33.2,27,84,,9.1,5,230,2,E 
19-05-2023,23,33,27.3,80,13,6.1,5,200,2,NE
20-05-2023,24.6,33,27.8,82,0,8.3,4,250,1,C 
21-05-2023,23.4,33.8,27.7,81,0,5.5,3,230,1,S 
22-05-2023,23.5,34.5,28.6,75,0,7.5,3,150,1,C 
23-05-2023,23.6,33.4,26.9,83,,8,8,180,2,W 
24-05-2023,23.9,32.4,27.6,80,18.2,6.4,4,220,2,NE
25-05-2023,23.5,33.2,27.3,81,0,5.4,7,320,2,C 
26-05-2023,24.7,32.8,28,79,1.5,,4,100,1,SE
27-05-2023,23.9,33,27.5,82,0,4.7,5,270,2,S 
28-05-2023,24.2,33.9,28,81,,6.5,5,80,2,E 
29-05-2023,23.8,33.7,27.9,80,0,9.2,5,190,1,C 
30-05-2023,23.2,,28.4,78,0,9.1,4,200,2,S 
31-05-2023,24.4,34.8,28,79,,9.3,3,190,1,S 
01-06-2023,24.2,34.6,28.5,74,0,7.3,4,160,2,C 
02-06-2023,24,34.5,28.4,78,,9.1,3,200,1,S 
03-06-2023,24.3,,30.3,72,8888,6.7,5,130,2,S 
04-06-2023,25.2,29.5,,,,6.3,3,40,1,SE
05-06-2023,23.9,31.1,24.4,96,1.6,3,3,30,2,NW
06-06-2023,23,33.6,27.5,86,6,3.4,6,240,2,E 
07-06-2023,24.3,34.2,28.2,76,0.7,8.2,6,60,2,E 
08-06-2023,23.2,33,27.6,78,,9.2,5,110,2,S 
09-06-2023,22.8,33.6,26.4,82,0,10,4,110,1,C 
10-06-2023,23,33.3,27.2,84,48.5,7.8,6,210,2,SE
11-06-2023,23.6,33.4,27.1,85,8888,8.6,6,220,2,C 
12-06-2023,24.6,,,,8888,7.9,3,70,3,N 
13-06-2023,,,,,,,,,,
14-06-2023,25.5,,28,80,0,9999,6,80,3,E 
15-06-2023,24.6,,26.8,85,1.2,1.5,6,150,3,S 
16-06-2023,,,,,,,,,,
17-06-2023,23,33,28.1,78,0.5,5.2,3,120,2,NE
18-06-2023,24.7,32.4,28,83,0,8.3,3,90,2,E 
19-06-2023,25.2,32.5,27.5,82,0,4,3,50,2,N 
20-06-2023,24.2,33.1,25,91,1.5,5,5,90,2,NE
21-06-2023,23.6,32.2,27.4,81,8,0,5,130,2,C 
22-06-2023,22.2,34.1,27.6,75,,8.5,3,140,2,S 
23-06-2023,22.8,33.6,27.1,80,0,8.8,3,180,1,SW
24-06-2023,22.9,34.2,27.9,75,0,3.6,4,240,1,C 
25-06-2023,23,33.7,27.5,78,0,9.1,7,230,2,S 
26-06-2023,23,33.6,,,0,9.7,5,3,2,C 
27-06-2023,23.9,33.7,28,74,,9.1,5,250,2,C 
28-06-2023,23.2,33.4,26.8,83,8888,6.1,5,260,1,C 
29-06-2023,24,,,,0,4.7,4,60,2,SE
30-06-2023,25,32.6,,,7.3,7.4,5,130,2,C 
01-07-2023,24.5,32,,,25,5.7,3,170,1,C 
02-07-2023,25.3,31.4,,,3.3,,6,140,2,W 
03-07-2023,23.9,28.8,25.3,92,4.4,1.3,4,50,1,C 
04-07-2023,23.2,,,,0.1,0.7,3,240,2,SW
05-07-2023,,,,,,,,,,
06-07-2023,24.3,32.8,27.4,84,30.5,5.9,5,220,2,C 
07-07-2023,24.2,31.2,,,1.5,8.2,2,40,1,C 
08-07-2023,,,,,,,,,,
09-07-2023,22,,26.3,84,24.5,1.4,6,90,3,E 
10-07-2023,22.8,34,,,0,7.4,5,180,2,C 
11-07-2023,22.8,32.8,26.8,78,0,9.1,5,110,2,S 
12-07-2023,24,31.9,27,74,,9.6,4,130,2,S 
13-07-2023,25.1,28.4,26.1,90,,7.7,5,50,2,E 
14-07-2023,24.3,31,26.8,85,4.3,0,4,120,2,SE
15-07-2023,24.2,31.9,,,2.7,3,3,130,1,S 
16-07-2023,22,33.3,26.2,78,0,5.3,4,180,1,S 
17-07-2023,23,32.9,27.6,73,,7.3,7,100,2,SE
18-07-2023,23.2,32.6,27.5,77,0,9.5,6,80,2,C 
19-07-2023,23.8,32.8,,,0,3.3,5,150,2,SE
20-07-2023,23.5,32.5,27.2,80,0,8.2,5,160,2,NE
21-07-2023,23.6,32.3,26.9,82,,6.6,5,70,1,C 
22-07-2023,23.5,32.8,27.3,78,1.3,3.6,6,110,2,E 
23-07-2023,22.4,33.6,27,78,0,10.1,6,90,2,C 
24-07-2023,22.6,33.7,27,78,0,7,4,260,1,S 
25-07-2023,21.9,33.4,26.6,77,0,9.3,9,120,2,C 
26-07-2023,20.8,33.8,26.2,74,0,8.3,6,210,2,S 
27-07-2023,20.2,33.2,25.7,74,0,9.1,5,130,2,SE
28-07-2023,21.6,32.8,26.8,76,,9.2,4,120,2,SE
29-07-2023,,33.4,25.8,74,0,8.4,5,130,2,SE
30-07-2023,21.4,33.2,26.4,76,0,10.5,7,120,2,SE
31-07-2023,21.7,33.6,26.9,78,,10,5,210,2,S 
01-08-2023,23.3,35.4,28.1,75,,10,4,240,2,S 
02-08-2023,23.8,35.5,28.4,74,8888,9.9,5,260,2,E 
03-08-2023,21.7,34.8,,,9.8,10,3,70,2,S 
04-08-2023,23.2,34.2,,,0,9.5,4,100,2,S 
05-08-2023,22.2,32.7,27.5,78,0,11.5,7,110,3,E 
06-08-2023,24.8,33.8,27.6,82,0.4,6.2,8,200,3,S 
07-08-2023,24.2,33.2,,,15,7.8,17,180,4,SE
08-07-2023,,,,,,,,,,
09-07-2023,22,,26.3,84,24.5,1.4,6,90,3,E 
10-07-2023,22.8,34,,,0,7.4,5,180,2,C 
11-07-2023,22.8,32.8,26.8,78,0,9.1,5,110,2,S 
12-07-2023,24,31.9,27,74,,9.6,4,130,2,S 
13-07-2023,25.1,28.4,26.1,90,,7.7,5,50,2,E 
14-07-2023,24.3,31,26.8,85,4.3,0,4,120,2,SE
15-07-2023,24.2,31.9,,,2.7,3,3,130,1,S 
16-07-2023,22,33.3,26.2,78,0,5.3,4,180,1,S 
17-07-2023,23,32.9,27.6,73,,7.3,7,100,2,SE
18-07-2023,23.2,32.6,27.5,77,0,9.5,6,80,2,C 
19-07-2023,23.8,32.8,,,0,3.3,5,150,2,SE
20-07-2023,23.5,32.5,27.2,80,0,8.2,5,160,2,NE
21-07-2023,23.6,32.3,26.9,82,,6.6,5,70,1,C 
22-07-2023,23.5,32.8,27.3,78,1.3,3.6,6,110,2,E 
23-07-2023,22.4,33.6,27,78,0,10.1,6,90,2,C 
24-07-2023,22.6,33.7,27,78,0,7,4,260,1,S 
25-07-2023,21.9,33.4,26.6,77,0,9.3,9,120,2,C 
26-07-2023,20.8,33.8,26.2,74,0,8.3,6,210,2,S 
27-07-2023,20.2,33.2,25.7,74,0,9.1,5,130,2,SE
28-07-2023,21.6,32.8,26.8,76,,9.2,4,120,2,SE
29-07-2023,,33.4,25.8,74,0,8.4,5,130,2,SE
30-07-2023,21.4,33.2,26.4,76,0,10.5,7,120,2,SE
31-07-2023,21.7,33.6,26.9,78,,10,5,210,2,S 
01-08-2023,23.3,35.4,28.1,75,,10,4,240,2,S 
02-08-2023,23.8,35.5,28.4,74,8888,9.9,5,260,2,E 
03-08-2023,21.7,34.8,,,9.8,10,3,70,2,S 
04-08-2023,23.2,34.2,,,0,9.5,4,100,2,S 
05-08-2023,22.2,32.7,27.5,78,0,11.5,7,110,3,E 
06-08-2023,24.8,33.8,27.6,82,0.4,6.2,8,200,3,S 
07-08-2023,24.2,33.2,,,15,7.8,17,180,4,SE
08-08-2023,20.8,33.7,,,0,11.4,6,80,2,E 
09-08-2023,21.2,33.6,,,0,11.2,3,140,1,C 
10-08-2023,20,35,25.7,74,,7.9,3,190,1,S 
11-08-2023,20,33.5,26,73,,8.9,3,10,1,S 
12-08-2023,19.4,34,25.4,72,0,6.7,5,280,2,C 
13-08-2023,20.6,34.8,,,0,9.4,4,280,2,S 
14-08-2023,21.6,34.4,26.8,74,0,9.2,3,100,1,E 
15-08-2023,20.6,35,27.3,73,0,7.7,4,340,2,S 
16-08-2023,20.3,34,26.3,73,,8.1,6,100,2,E 
17-08-2023,21,34,26.3,74,,6.1,4,110,1,S 
18-08-2023,21,,27,74,0,7,5,110,2,E 
19-08-2023,21.8,34.5,,,0,6.8,6,90,2,E 
20-08-2023,20.7,35,,,0,8.9,6,150,2,SE
21-08-2023,21.4,35.2,26.5,75,,9.2,9,110,3,E 
22-08-2023,23,34,27.3,73,0,9.3,4,100,2,E 
23-08-2023,,,,,,,,,,
24-08-2023,24.6,33.4,28.1,76,0,7.4,7,130,2,SE
25-08-2023,21.8,34.7,28,72,0,8.4,6,100,2,E 
26-08-2023,22,33.8,,,,7.4,5,300,2,C 
27-08-2023,22.6,35.1,27.4,73,0,7.3,4,140,2,C 
28-08-2023,21.5,35,27.1,72,0,9.9,5,100,2,E 
29-08-2023,21.4,35.2,,,0,10.5,6,130,2,SE
30-08-2023,20.6,34.8,,,0,10.9,6,100,2,E 
31-08-2023,22,35.4,27.5,74,,7.9,5,100,2,S 
01-09-2023,21.4,34.4,27,69,0,7.5,4,150,2,C 
02-09-2023,20,35.6,,,0,9.4,4,190,2,C 
03-09-2023,21,35.6,26.2,73,0,6.8,4,110,2,E 
04-09-2023,,34.5,26.6,73,0,6.5,4,130,1,C 
05-09-2023,22.8,35,,,,6.2,6,240,2,C 
06-09-2023,23.2,34.9,27.5,77,0.3,7.4,6,170,2,C 
07-09-2023,23,34.7,28,73,1,7.1,6,300,2,C 
08-09-2023,22.5,34.4,27.5,72,0,4.7,5,110,2,S 
09-09-2023,,35.1,,,0,5.8,6,100,2,E 
10-09-2023,23.2,35.2,,,,5.4,7,180,2,S 
11-09-2023,23,34.8,26.9,79,0,6.4,10,90,2,C 
12-09-2023,24,32.2,26.5,84,8888,4.7,6,90,2,SE
13-09-2023,22.6,35.4,27.9,71,0.5,1.3,8,100,4,E 
14-09-2023,21.7,35.2,27.4,74,0,10.6,5,60,2,SE
15-09-2023,24.4,34,28.7,71,,6.9,6,90,3,E 
16-09-2023,22.9,35.2,27.2,78,0,7,5,90,3,E 
17-09-2023,25,33,,,0,5.3,6,210,2,SE
18-09-2023,24.3,34,,,6.5,1,4,280,1,C 
19-09-2023,23.7,33.2,28.3,74,0,4.3,4,140,2,N 
20-09-2023,25.2,35.4,29.3,72,,4.8,4,170,2,S 
21-09-2023,22,35.2,27.7,74,8888,5.4,5,60,2,C 
22-09-2023,20.8,34.6,26.8,72,0,8.9,5,100,2,C 
23-09-2023,21,35.5,,,0,5.6,5,270,2,S 
24-09-2023,,35.7,28.4,71,0,7.5,5,100,2,S 
25-09-2023,22.2,35.4,28,68,,8.1,8,60,3,SE
26-09-2023,20.6,35.2,26.8,68,0,10.5,8,90,3,E 
27-09-2023,21,36,28.1,64,0,10.4,8,90,3,E 
28-09-2023,22.8,36.6,,,0,8.4,7,100,3,E 
29-09-2023,21.6,37.6,28.4,69,0,9.4,7,80,2,C 
30-09-2023,22.2,35.8,28,69,,9.7,6,180,2,S 
01-10-2023,21.9,35.7,27.9,63,0,9.2,7,100,2,C 
02-10-2023,21.7,36.2,28,66,0,10.3,5,40,2,SE
03-10-2023,23.5,34.8,,,0,9.8,5,170,1,S 
04-10-2023,24,34.8,28.4,77,8888,5.3,4,350,2,SE
05-10-2023,24.1,36.4,29.5,72,,0.2,6,230,2,S 
06-10-2023,23.6,37,29.3,70,0,8.6,6,110,4,E 
07-10-2023,25.9,37,,,0,10.8,8,80,3,S 
08-10-2023,25.6,35,28.5,75,0,10,6,160,2,NE
09-10-2023,26.1,33,28.2,80,8888,3.6,5,340,2,N 
10-10-2023,24.9,35,29.4,70,0,0.5,6,270,2,C 
11-10-2023,22,36,28.1,74,0,7.3,5,90,2,SE
12-10-2023,23.4,36,28.9,70,,7.8,6,100,2,S 
13-10-2023,22.3,36.6,26.5,82,0,5.6,7,100,2,W 
14-10-2023,24.5,36.2,29,77,11.6,7.4,5,60,2,NE
15-10-2023,25.4,35.8,28.6,83,3.1,6.3,7,240,2,C 
16-10-2023,24.2,37,28.6,76,4.6,6.6,7,70,2,C 
17-10-2023,23.8,,28.7,79,0,8.5,14,180,3,S 
18-10-2023,24.2,35.4,,,8.5,7.7,8,20,2,NE
19-10-2023,25.1,32.5,26.9,89,5.4,5.7,5,220,2,C 
20-10-2023,24.4,34.8,,,3.9,3.5,4,100,1,C 
21-10-2023,23.4,35,27.8,83,8888,6.2,5,260,2,C 
22-10-2023,25,,27.8,83,27.8,8.4,7,50,2,NE
23-10-2023,,,,,,,,,,
24-10-2023,24.8,31.8,25.8,92,0,7.5,4,10,2,N 
25-10-2023,23.4,34.8,26.6,86,5.6,2.3,7,200,2,E 
26-10-2023,22,35.6,28.1,73,1,4.8,5,290,2,S 
