Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2023,22.8,33,27.7,74,0,6.6,5,320,2,NW
02-01-2023,24,33.6,27.8,77,0,5.9,7,310,3,NW
03-01-2023,24.3,32.3,24.5,94,0,7.4,6,300,2,C 
04-01-2023,22.6,,,,24.3,5.8,6,300,2,C 
05-01-2023,22.6,31,24.7,92,0.7,7.2,3,310,2,S 
06-01-2023,,,,,,,,,,
07-01-2023,,,,,,,,,,
08-01-2023,23.6,30.6,26.5,86,0,7,9,270,2,C 
09-01-2023,23.6,32.2,25.7,88,1.2,3,6,290,2,C 
10-01-2023,22.2,30.6,26.6,84,0.4,3.6,3,330,1,C 
11-01-2023,23.8,33.4,27.6,80,0,0.7,3,310,1,C 
12-01-2023,23.2,33.4,27.4,82,,3.2,4,180,1,C 
13-01-2023,23.6,33.4,27.5,83,0,5.3,3,140,1,C 
14-01-2023,23.2,34.2,27,81,0.2,4,5,310,2,C 
15-01-2023,23.6,34.1,28.2,74,0,7,6,310,2,C 
16-01-2023,23.6,32.9,26.8,83,0,9,6,330,1,C 
17-01-2023,24,33,27.2,82,0,6.1,3,200,1,C 
18-01-2023,23.6,31.6,26,87,4.9,4.2,5,280,2,C 
19-01-2023,22.2,32.6,26.5,84,53,2.3,5,280,2,C 
20-01-2023,23.5,33,27.7,80,8888,8.7,5,230,2,C 
21-01-2023,22.5,32,26.4,84,0.8,6.7,5,330,1,C 
22-01-2023,23.2,33.8,27,83,0,4.4,5,290,1,C 
23-01-2023,23.6,32,,,1.5,6.3,8,350,1,C 
24-01-2023,23,,,,34.2,3.8,3,290,2,NW
25-01-2023,,,,,,,,,,
26-01-2023,,,,,,,,,,
27-01-2023,23.4,31.5,26.2,85,8888,0.3,6,300,1,C 
28-01-2023,23.5,31.1,26.1,86,0.2,1.2,12,270,1,C 
29-01-2023,,,,,,,,,,
30-01-2023,24,32.4,26.7,88,7,1.1,5,240,1,C 
31-01-2023,24,32.6,27.2,85,0,5,4,210,2,NW
01-02-2023,23.9,,,,8888,7.1,4,300,1,C 
02-02-2023,24,31.5,25.9,92,1.6,1,3,10,1,C 
03-02-2023,23.4,31.8,26.1,88,0.2,0,8,200,1,C 
04-02-2023,23.2,32,26.4,86,3.3,1.8,3,280,1,C 
05-02-2023,23.4,33,25.3,91,0.9,1.6,4,300,1,C 
06-02-2023,23,33,27.2,82,23.1,4.2,3,340,2,S 
07-02-2023,,,,,,,,,,
08-02-2023,24.5,34.2,28.4,76,8888,7.5,4,300,1,C 
09-02-2023,23.9,33.2,27.9,80,8888,7.1,5,310,1,C 
10-02-2023,23.8,,,,1.7,6.1,4,290,1,C 
11-02-2023,24.8,33.7,27.9,80,0,8.4,5,320,1,C 
12-02-2023,24.4,27.2,25.2,92,0,3,5,310,2,NW
13-02-2023,22.8,30.2,25.5,88,2,0,6,320,1,C 
14-02-2023,23,31.4,25.5,92,20.4,1.5,16,270,1,C 
15-02-2023,,,,,,,,,,
16-02-2023,22.2,33.6,26.9,79,4.6,3.2,3,290,1,C 
17-02-2023,24,33.6,28.2,78,0,8.4,6,290,2,C 
18-02-2023,23.8,34.3,28,80,8888,8,4,300,2,C 
19-02-2023,23.9,33.7,27.7,83,0,7.8,6,300,2,C 
20-02-2023,24,30.3,24.5,96,4.8,7.4,5,300,1,C 
21-02-2023,22.4,33.6,26.3,86,14,2.4,7,320,2,NW
22-02-2023,22.1,32,26.8,88,15,4.9,4,310,1,C 
23-02-2023,24.4,35,28.3,80,0.7,5.5,4,300,1,C 
24-02-2023,23.8,33.1,27.8,84,0,8,5,290,1,C 
25-02-2023,,,,,,,,,,
26-02-2023,22.7,31,25.9,88,19.8,4,3,310,1,C 
27-02-2023,23.9,32.2,27.1,83,2.4,2.2,3,320,1,C 
28-02-2023,22.6,27.6,24.4,95,36.2,2.6,2,140,0,C 
01-03-2023,23.4,29.7,23.9,97,1.2,0,3,60,1,C 
02-03-2023,22.2,30.3,25.3,90,17.4,2,3,180,0,C 
02-02-2023,24,31.5,25.9,92,1.6,1,3,10,1,C 
03-02-2023,23.4,31.8,26.1,88,0.2,0,8,200,1,C 
04-02-2023,23.2,32,26.4,86,3.3,1.8,3,280,1,C 
05-02-2023,23.4,33,25.3,91,0.9,1.6,4,300,1,C 
06-02-2023,23,33,27.2,82,23.1,4.2,3,340,2,S 
07-02-2023,,,,,,,,,,
08-02-2023,24.5,34.2,28.4,76,8888,7.5,4,300,1,C 
09-02-2023,23.9,33.2,27.9,80,8888,7.1,5,310,1,C 
10-02-2023,23.8,,,,1.7,6.1,4,290,1,C 
11-02-2023,24.8,33.7,27.9,80,0,8.4,5,320,1,C 
12-02-2023,24.4,27.2,25.2,92,0,3,5,310,2,NW
13-02-2023,22.8,30.2,25.5,88,2,0,6,320,1,C 
14-02-2023,23,31.4,25.5,92,20.4,1.5,16,270,1,C 
15-02-2023,,,,,,,,,,
