Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2023,23.8,32.6,27.5,84,0,1.9,3,220,1,C 
02-01-2023,23.6,34.6,28.4,83,0,5,3,320,2,NW
03-01-2023,22.7,32.9,26.2,88,9.6,7,3,180,1,C 
04-01-2023,23.6,30.5,25.7,90,24,2.3,2,80,0,C 
05-01-2023,23.9,33.8,28,87,8888,2.6,2,190,1,C 
06-01-2023,23.6,33.4,27.2,87,0,7.2,5,230,1,C 
07-01-2023,24.4,30,26.6,91,4.3,6,11,230,1,C 
08-01-2023,22,24.8,23.9,93,4.3,0,4,250,1,W 
09-01-2023,21.3,31.9,26.3,88,22.6,0,3,210,1,C 
10-01-2023,23.4,27.2,24.9,94,9.8,1.2,3,210,1,C 
11-01-2023,23,33,27.4,85,10.5,0,5,240,1,C 
12-01-2023,22.2,30.4,25.4,91,1.4,4.7,2,290,0,C 
13-01-2023,24,34.4,28.2,86,0,0.4,5,300,1,C 
14-01-2023,22,31.2,25.7,89,12.5,7.4,3,280,1,W 
15-01-2023,23.8,35.5,27.3,84,0,0,3,310,1,C 
16-01-2023,23.4,33.9,26.7,87,0,8,4,90,1,C 
17-01-2023,23.3,32.8,27.2,86,0,3,2,30,1,C 
18-01-2023,25,31.4,26.4,91,8888,3.1,4,240,1,C 
19-01-2023,23.4,33.4,27.9,81,24.6,1.4,3,290,1,E 
20-01-2023,23.4,34.2,27.3,84,0.5,7,3,350,1,C 
21-01-2023,23.8,32.3,26.8,88,8888,5.7,4,220,1,S 
22-01-2023,23.9,31,26.8,87,8888,3.2,5,3,1,C 
23-01-2023,24,34.2,27.5,84,2.5,0.8,10,70,1,C 
24-01-2023,24.2,31,26.9,88,34.5,4.4,3,240,1,C 
25-01-2023,24.2,28.3,25.7,92,5.6,2,3,200,1,S 
26-01-2023,23.4,25.2,24.1,97,4,0,2,230,0,C 
27-01-2023,22.8,31,26.6,90,34,0,10,300,1,C 
28-01-2023,23.7,32.6,26.6,89,4.2,0.6,5,110,1,C 
29-01-2023,24.2,30.8,26.2,90,10,4.6,6,220,1,C 
30-01-2023,23.9,32.3,27.1,86,3.5,2.4,3,230,1,SW
31-01-2023,24.2,33,27.7,85,13.6,3.8,4,240,1,S 
01-02-2023,23.2,28.6,25.6,93,17,6.3,3,330,1,C 
02-02-2023,24.5,31.2,25.8,91,8888,0.2,8,230,2,N 
03-02-2023,23.4,32,26.4,87,13.6,3.3,2,250,1,C 
04-02-2023,23.3,33.8,25.6,90,8888,1.1,3,170,1,C 
05-02-2023,23.2,33.6,26.8,88,,6,4,30,2,S 
06-02-2023,23.2,30.9,26.7,88,0,3.5,3,250,1,C 
07-02-2023,24.2,33.3,26.2,90,0,1.3,4,210,2,W 
08-02-2023,23.3,31,26.5,86,5.3,3.3,3,10,1,C 
09-02-2023,23.2,33.4,27,84,0,2.7,3,270,1,C 
10-02-2023,23,34,27.2,83,0,9,4,140,1,C 
11-02-2023,22.7,32.6,26.8,84,2,7.6,3,70,1,C 
12-02-2023,22.4,32.5,25.7,92,8888,1.5,3,60,1,C 
13-02-2023,24,27.6,25.3,91,12.5,2.8,4,250,1,W 
14-02-2023,23.5,32.4,27.2,87,0.7,0,3,300,1,C 
15-02-2023,23.4,33.9,27.3,84,0,5.6,4,360,1,C 
16-02-2023,24,32.1,27.5,84,8888,5.5,4,10,1,N 
17-02-2023,23.5,27.6,24.9,94,21.9,2.3,3,240,1,C 
18-02-2023,23.4,32.8,27.4,84,6.4,0,3,40,1,SW
19-02-2023,23.9,31.5,26.7,88,7.3,5.4,3,220,1,C 
20-02-2023,23.4,28.2,25.8,93,0.9,2.6,2,310,0,C 
21-02-2023,24,33.5,27.4,88,8888,0,3,50,1,C 
22-02-2023,24,29.2,25.9,91,13.5,4.9,2,90,1,C 
23-02-2023,24.1,34.5,27.6,88,8888,0,4,210,1,E 
24-02-2023,24.4,31.1,26.6,90,22.8,5.8,2,220,1,C 
25-02-2023,23.8,32.6,27.2,88,4.4,0.8,3,30,1,C 
26-02-2023,24,33.5,27,88,8888,3.5,4,10,1,S 
27-02-2023,23.7,30.4,26.5,88,8.3,5.6,4,30,1,C 
28-02-2023,23.8,32.2,27.3,86,0,4.6,3,30,1,C 
01-03-2023,23.5,33.1,27.4,83,0,2.2,3,340,1,C 
02-03-2023,23.8,33.7,28,82,0,6,4,360,1,C 
03-03-2023,23.8,33.5,27.4,86,0,5.7,3,340,1,C 
04-03-2023,24,29.4,26.2,91,3.3,4.2,4,10,1,C 
05-03-2023,23.3,25,24,96,17.5,0,3,160,1,C 
06-03-2023,22.2,33.8,26.8,85,32,0,3,230,1,C 
07-03-2023,24,30.6,26.8,88,1.5,8.4,3,80,1,E 
08-03-2023,24.9,32.2,27.1,90,1.8,0,4,20,1,C 
09-03-2023,23.1,35.2,27.8,80,0.9,1.5,4,30,1,C 
10-03-2023,22.9,33.8,27.3,86,0,9.4,3,300,1,C 
11-03-2023,23.7,32.8,26.1,91,8888,6.8,3,360,1,E 
12-03-2023,23,33.6,27,83,6.3,5.1,3,50,1,C 
13-03-2023,23.2,31.5,27.1,87,1.7,5.1,3,20,1,SW
14-03-2023,23.5,32,25.9,88,0,2.3,3,130,1,C 
15-03-2023,24.2,33.5,27.4,84,0.6,2.2,4,40,1,C 
16-03-2023,24,32.2,26.9,88,8888,4.2,5,80,1,C 
17-03-2023,23.6,34.4,27.2,86,2.5,3.3,2,360,1,C 
18-03-2023,23.8,33.1,27.9,84,8888,2.9,3,20,1,C 
19-03-2023,23.3,34,28.1,81,0,3,5,210,2,NE
20-03-2023,24.2,33.6,27.4,87,28.5,7.7,2,30,1,C 
21-03-2023,23.9,32.5,27,91,2.2,4.7,4,30,1,C 
22-03-2023,23.8,30,25.6,94,3,0,5,40,1,C 
23-03-2023,24.4,31.8,27.1,90,2.4,2.3,4,350,1,C 
24-03-2023,23.8,33.4,27,87,4.6,3.2,4,30,1,C 
25-03-2023,23.9,28.8,26.3,92,0.5,5.6,3,330,1,C 
26-03-2023,24.7,32.8,27,88,16.5,0,2,230,1,C 
27-03-2023,24,32.4,27,87,2.2,1,4,70,1,C 
28-03-2023,23.4,34.6,27.5,84,1.5,0.5,3,310,1,C 
29-03-2023,23.5,33.5,28,82,0,4.8,4,260,1,SW
30-03-2023,23.6,33.2,26.3,92,0,6,5,340,1,C 
31-03-2023,22.8,31.6,27.3,88,34.8,5.7,4,250,2,W 
01-04-2023,24.3,32.2,27.2,84,2.4,1.6,3,350,1,C 
02-04-2023,24.4,28.6,25.6,94,3.4,3.3,3,90,0,C 
03-04-2023,23.6,34,26.8,88,1.4,0,4,80,1,C 
04-04-2023,23,31.8,26.7,87,14,3,3,250,1,W 
05-04-2023,22.5,33.1,26.1,88,20.2,1.2,4,260,1,C 
06-04-2023,22.5,33.4,27.8,84,8888,2,5,280,2,W 
07-04-2023,22.5,30,26,90,17,7,3,290,1,S 
08-04-2023,22.1,32.4,26.8,88,8888,0,4,90,2,SW
09-04-2023,23,31.8,26.4,88,22.5,3,3,350,1,S 
10-04-2023,23.1,36,27.2,88,6.6,3.9,4,30,2,S 
11-04-2023,23.2,34.6,27.7,84,18,8.6,3,50,1,C 
12-04-2023,24.6,34.2,28.7,82,0,6.3,4,20,1,C 
13-04-2023,22.4,35.1,27.1,87,3.3,6.5,3,90,1,C 
14-04-2023,24.4,31.5,26.6,91,0.3,4,2,320,1,C 
15-04-2023,23.6,35.4,27.9,84,0,1.2,3,100,2,E 
16-04-2023,24.2,33.3,27.2,86,7,8,3,200,1,C 
17-04-2023,24,33.6,27.4,87,6.8,3.7,3,270,2,W 
18-04-2023,24,34.4,28.1,87,4.1,5.7,3,350,1,C 
19-04-2023,23.8,35.6,28.5,82,0,9.2,3,290,1,C 
20-04-2023,24.4,34.2,28.7,82,0,9.8,2,270,1,C 
21-04-2023,24.8,36.4,29.2,81,0,9.1,3,240,1,C 
22-04-2023,24.4,35,,,0,11,6,350,1,C 
23-04-2023,24.4,34.2,28.8,81,0,9,4,360,1,S 
24-04-2023,24,32,26.5,94,8888,9,2,260,1,C 
25-04-2023,24.2,32.3,26.4,94,11.5,5.5,4,350,1,C 
26-04-2023,23.4,35,28.2,83,12.5,4.2,4,60,1,E 
27-04-2023,24.4,33.2,26.9,92,0,10,4,300,1,C 
28-04-2023,23.6,30.8,26.4,93,17.1,4,6,160,1,C 
29-04-2023,24.6,33,28.4,86,6.7,2.5,3,120,1,C 
