Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2023,24.2,33.8,28.2,84,0,2.5,4,330,2,NW
02-01-2023,25.4,32.8,28.3,83,0,10.1,6,30,2,N 
03-01-2023,25.5,30.8,27.8,85,0,6.5,4,10,2,N 
04-01-2023,23.4,,26.4,89,75,0.2,3,50,1,C 
05-01-2023,24,33,,,3.4,2.3,3,80,2,E 
06-01-2023,24.2,29.4,26.7,94,37.8,7.8,4,310,2,N 
07-01-2023,24.2,26.6,24.5,94,13.2,1.5,3,360,2,N 
08-01-2023,23.6,29.2,25.7,93,5.6,0.5,5,300,2,N 
09-01-2023,23.4,30.6,26.3,89,8888,2.3,3,280,1,C 
10-01-2023,24.8,29.4,25.7,95,0,0.3,4,220,1,C 
11-01-2023,24.7,31,27.5,89,0,0.5,3,240,1,C 
12-01-2023,23.7,30.8,27.2,88,5.6,4.5,3,230,1,C 
13-01-2023,,,,,,,,,,
14-01-2023,24.8,33.4,28,86,0,7,3,230,2,SE
15-01-2023,26,33.6,29.3,82,0,8.5,5,60,2,E 
16-01-2023,22.2,32.4,26.7,86,68.4,9,3,260,1,C 
17-01-2023,23.6,31.4,,,26.8,5.5,3,60,1,C 
18-01-2023,25.2,29.9,27.2,92,0.4,4.2,3,290,1,NW
19-01-2023,24.6,32.4,27.9,88,45.8,2.5,4,240,2,N 
20-01-2023,24.2,32.8,27.5,88,0,9.7,3,290,2,E 
21-01-2023,25.5,31,27.4,87,1.4,9.2,3,260,1,N 
22-01-2023,23.8,28.8,26,93,19.8,1.6,3,320,1,C 
23-01-2023,24.1,32.6,27.6,88,1.8,2,4,340,2,NE
24-01-2023,24.8,31.2,27.2,90,3,5.5,4,220,1,C 
25-01-2023,25.2,28.2,26.4,94,3.7,4.2,3,20,1,N 
26-01-2023,24.2,29.4,25.9,92,1.6,0,4,350,2,NW
27-01-2023,23.5,30.8,26.2,89,12.8,0.5,3,230,1,NW
28-01-2023,24.2,32.6,27.5,86,0,3.8,3,290,2,E 
29-01-2023,24.2,30.2,26.9,89,7,6.5,3,200,1,C 
30-01-2023,24.2,31,26.8,91,3.8,3.8,4,170,1,C 
31-01-2023,24.4,31.2,27.4,88,64.4,3,4,220,2,NE
01-02-2023,23.4,29.2,26,88,30.2,2.6,4,340,1,NW
02-02-2023,24.2,31,26.8,90,8888,0.8,3,320,2,E 
03-02-2023,23.8,31,27,88,44.1,5,4,250,2,N 
04-02-2023,25.1,31.8,27.9,84,8888,6,4,280,2,E 
05-02-2023,24.4,31,27.2,88,1.6,3,3,290,2,NW
06-02-2023,24.6,32,27.2,87,7.2,3.4,4,300,2,E 
07-02-2023,24.4,31.6,27,90,2,5.8,7,250,2,NW
