Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2023,22.8,30,26.1,89,15.5,4.8,4,310,1,C 
02-01-2023,23.4,30.7,26.1,86,1.3,1.6,3,310,2,NW
03-01-2023,23.4,28.6,25.7,90,,6.1,3,300,1,C 
04-01-2023,23.4,30.6,26.4,85,8888,0,5,270,2,W 
05-01-2023,23.8,31.6,26,88,8888,4.1,4,180,2,SW
06-01-2023,,31.8,25.8,90,39.5,6.6,3,240,1,SW
07-01-2023,23.6,32.4,26.6,85,27.5,3.6,3,230,1,C 
08-01-2023,23.8,32,26.9,85,21.5,6.9,3,70,1,C 
09-01-2023,23.6,32.6,26.6,85,,6.2,4,200,1,E 
10-01-2023,24.4,31.8,27.2,85,3.5,8.8,3,270,1,SE
11-01-2023,24,31,26.6,87,4,6,2,170,1,S 
12-01-2023,22.8,33.6,27.6,78,5,4.4,3,120,1,S 
13-01-2023,23.2,33.4,27,85,,10.1,2,130,1,SE
14-01-2023,23.4,32,26.5,83,0,3.2,3,200,2,S 
15-01-2023,23.6,33.2,27.3,80,0,5.2,4,250,2,W 
16-01-2023,23.2,33.2,27.4,81,0,7.7,4,180,1,S 
17-01-2023,24,29.6,24.4,96,11.5,4.9,5,70,2,E 
18-01-2023,23,30.7,25.1,89,28.9,1,4,250,1,S 
19-01-2023,22.4,30,25.3,88,10.8,6.4,4,310,1,C 
20-01-2023,22.8,32.6,25.7,88,8888,1.7,4,270,2,W 
21-01-2023,23,32,25.7,86,37,6.1,9,270,2,W 
22-01-2023,23,31.6,25.9,86,21.3,6.9,3,240,1,C 
23-01-2023,23.8,32,25.7,91,0,5.4,2,220,1,C 
24-01-2023,23.2,30.4,25,93,56.8,4.2,2,70,1,C 
25-01-2023,22.9,29.3,25.8,87,45.9,2.5,4,280,2,W 
26-01-2023,23.6,30.7,27.1,82,,0.2,5,220,2,SW
27-01-2023,23.3,29.8,26.2,88,9.6,4.5,5,230,3,W 
28-01-2023,23.4,29.4,25.7,91,16,2.3,3,260,1,C 
29-01-2023,23.4,29.6,26,86,2.3,0,7,260,4,SW
30-01-2023,23.8,29.8,26.5,83,0,0.6,6,260,3,W 
31-01-2023,23.8,30.6,26.7,86,0,1.6,5,240,3,SW
01-02-2023,23.8,30.6,26.9,86,8888,2.3,3,340,2,SE
02-02-2023,25,31.4,26.4,90,1,1.2,4,300,2,SE
03-02-2023,23,30.2,26.2,88,38.5,2.1,2,80,1,S 
04-02-2023,23.8,30.8,27.2,83,8888,1.5,2,270,1,C 
05-02-2023,24,33.6,28.3,76,0,2.5,3,240,1,W 
06-02-2023,21.2,34,26.4,81,0,8.1,3,160,1,C 
07-02-2023,23.8,31.2,26.3,86,0,2,4,115,1,C 
08-02-2023,22.8,32,26.9,83,17.5,0,3,100,2,S 
09-02-2023,24.2,31.2,27.6,81,0,4.3,3,200,2,SW
10-02-2023,23,33,27.4,79,0,2,5,300,2,W 
11-02-2023,23.6,29.9,25.8,91,4.6,8,3,240,2,W 
12-02-2023,23.4,28.8,25.5,90,13.5,0,3,230,1,C 
13-02-2023,22.8,32.2,27.3,79,8888,0,4,210,2,SW
14-02-2023,23.4,32.6,27.4,79,,6.3,3,220,1,SW
15-02-2023,24.4,31.6,26.5,86,0,2.3,2,10,1,E 
16-02-2023,23.6,30.4,26,86,7.5,2.5,4,300,2,N 
17-02-2023,23.4,30.8,25.8,90,0.3,2.2,3,180,1,C 
18-02-2023,22.5,31.4,26.1,88,60,1.9,3,180,1,W 
19-02-2023,23.8,30,25.5,92,2,4.3,2,210,0,C 
20-02-2023,23,31.1,25.8,90,1.5,1.5,2,170,1,W 
21-02-2023,24.6,31,25.8,91,4.2,5.5,3,330,1,W 
22-02-2023,22.4,30,25.1,89,37,4.1,4,80,1,W 
23-02-2023,23.2,30,26,86,13,4.4,3,290,1,W 
24-02-2023,24.2,31,26.6,84,0,1.3,4,280,2,W 
25-02-2023,23.6,30.8,25.8,87,,2.5,3,219,2,W 
26-02-2023,23.2,30.2,26.2,84,5.4,4.5,3,205,2,W 
27-02-2023,23.6,30.2,25.9,85,5.2,4.2,5,280,2,W 
28-02-2023,23,31.2,25.3,90,0.5,1.4,3,320,1,C 
01-03-2023,22.2,30.6,24.9,91,12.5,3,3,290,1,C 
02-03-2023,23.8,26.6,25,95,30.7,4.4,2,270,0,C 
03-03-2023,22,30.4,25.3,90,5.7,0,2,220,1,C 
04-03-2023,23.4,32,25.7,89,5.5,3.8,1,270,0,C 
05-03-2023,22.8,33.6,25.7,89,11,2,2,280,1,C 
06-03-2023,23.6,33,26.5,87,39,5.3,2,290,1,C 
07-03-2023,23.6,33.6,26,90,8888,6.7,2,280,1,W 
08-03-2023,24,31.8,27.2,87,6.2,7.3,4,50,1,S 
09-03-2023,22.1,30,25.6,92,65.2,3.8,2,280,0,C 
10-03-2023,23.4,31.8,25.7,92,5,0.5,2,230,1,W 
11-03-2023,23.6,32,27,83,16.4,6.3,3,260,1,C 
12-03-2023,23.8,33,27,84,0,6.5,3,330,1,SW
13-03-2023,24.4,32,28,82,8888,8.4,3,280,1,NW
14-03-2023,23.4,31,26.5,86,5,7.5,3,310,1,E 
15-03-2023,24,32.4,27.2,83,,2.2,3,15,1,E 
16-03-2023,24.2,31.2,27.4,84,2,8.1,3,80,1,C 
17-03-2023,24.4,32.2,28,80,0,4.4,3,280,1,C 
18-03-2023,24.2,32.7,27.5,83,0.5,7.9,2,130,1,E 
19-03-2023,23.8,32.9,27.1,85,,7.1,3,250,2,S 
20-03-2023,23.4,33.8,26.7,84,0,7.8,2,290,1,C 
21-03-2023,22.4,33.6,26.3,85,3.3,7.1,3,90,1,E 
22-03-2023,23.2,33.2,27.6,80,0,7.9,2,80,1,E 
23-03-2023,25,33.6,28.6,82,,8.1,2,60,1,SE
24-03-2023,23.6,33.6,28.1,79,,5.9,2,120,1,E 
25-03-2023,24.2,33.4,27.8,82,8888,6.6,2,290,1,NW
26-03-2023,22.6,32.6,26.8,85,9.8,3.6,2,150,1,W 
27-03-2023,23,32.8,27.1,82,0,6.4,3,40,1,C 
28-03-2023,,30.5,27.8,86,,7.4,2,240,1,E 
29-03-2023,23,31.6,25,93,12.5,0.1,3,320,1,C 
30-03-2023,23,31.2,25.9,89,8.3,4.4,3,290,1,C 
31-03-2023,23.4,32.2,27.1,84,2,3.6,2,80,1,E 
01-04-2023,22.6,30.4,26.4,80,2.8,4.3,2,230,1,SW
02-04-2023,23.6,31,27.1,82,8888,2,3,122,1,C 
03-04-2023,23.3,33.2,26.1,82,0,1.3,3,50,1,C 
04-04-2023,23.2,32.6,25.6,89,0,6.6,2,270,1,C 
05-04-2023,22.4,32.6,26.2,86,39,5.3,2,250,1,W 
06-04-2023,24,32.8,27.4,82,9.2,6.8,2,300,1,S 
07-04-2023,24.6,33,27.1,86,,5.2,3,140,1,S 
08-04-2023,23.4,32.6,27,84,9.7,6.9,2,80,1,C 
09-04-2023,,32.6,26.6,86,,6.5,1,250,0,W 
10-04-2023,23.8,32,27.7,84,2,8.3,1,160,0,W 
11-04-2023,23,34.6,27.3,78,,5.2,2,150,1,W 
12-04-2023,24.3,34,27.7,77,0,9.3,2,240,1,W 
13-04-2023,24.8,33.6,27.5,80,0,8.9,3,270,1,W 
14-04-2023,25.6,34.2,29,72,0,5,3,260,2,W 
15-04-2023,24.4,33.7,27.3,84,,8.5,3,300,1,C 
16-04-2023,24.4,33.6,28.1,82,8888,6.9,3,240,1,W 
17-04-2023,23.4,33.6,27.9,82,0,10,3,100,1,C 
18-04-2023,23.8,34.8,28.6,79,0,8.9,2,200,1,S 
19-04-2023,24,34.4,28.3,80,0,8.4,2,150,1,SE
20-04-2023,24.2,34.2,27.8,82,0,9,4,220,1,C 
21-04-2023,24.4,34.6,28.6,80,,8.3,2,72,1,SE
22-04-2023,24.8,33.2,27.9,83,0,7.6,3,100,1,E 
23-04-2023,24,32.6,25.9,90,0,6.1,4,70,1,W 
24-04-2023,23.4,34.2,27.5,84,8888,4,3,110,1,SE
25-04-2023,24,33.4,28.2,82,1,8.4,3,90,2,E 
26-04-2023,24.1,34.4,28.6,78,0,8.9,2,103,1,SE
27-04-2023,24.2,33.8,28.1,80,0,6.1,4,98,1,E 
28-04-2023,23.6,34,28.4,78,0,7.4,3,102,1,C 
29-04-2023,24,32.7,27.3,86,11.5,8.4,3,85,1,C 
30-04-2023,23.8,34,28.1,85,72.7,4.7,1,320,0,C 
01-05-2023,23.6,32,27.2,88,52.2,7.3,3,280,1,C 
02-05-2023,24.4,33.5,28.6,83,0,5.4,2,50,1,C 
03-05-2023,25.6,34.9,28.9,83,,7.6,2,170,1,E 
04-05-2023,25,33.8,28,84,3,7.6,2,210,1,C 
05-05-2023,24.8,34,28.9,81,0,5.4,3,185,1,S 
06-05-2023,24.8,33.2,28.5,78,0,8.5,3,180,1,C 
07-05-2023,24.8,33.6,28.6,82,0,5.3,2,220,0,C 
08-05-2023,25,34.6,29.2,74,8888,3.6,2,300,1,S 
09-05-2023,25,32,27.8,87,1,4.1,2,110,0,C 
10-05-2023,24.8,33.2,28.5,82,,2.1,3,100,1,E 
11-05-2023,,34,28.2,86,8888,7.4,4,110,1,SE
12-05-2023,25,32.2,29.8,79,19,6.2,3,140,2,SE
