Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2023,23.6,32.4,28.1,80,31,0.1,3,30,1,C 
02-01-2023,24.4,33.2,28.3,80,0,2.7,5,290,1,C 
03-01-2023,22.2,32.3,27.8,79,0,4.2,5,250,1,C 
04-01-2023,23.2,33.8,27.9,80,0,7.3,3,360,1,C 
05-01-2023,23,31.6,26.2,84,0,9.7,3,90,1,C 
06-01-2023,24.8,32,26.3,88,2.7,2.5,4,360,1,C 
07-01-2023,23.4,32,26.7,81,17.3,2.9,4,270,1,C 
08-01-2023,25,32,27.6,78,0,2.1,5,260,1,C 
09-01-2023,24.4,30.4,26.9,80,8888,2.8,7,280,2,SW
10-01-2023,22.2,30.8,27.1,84,21,0,4,220,1,C 
11-01-2023,23.6,30.8,26.7,82,48.9,0,5,290,1,C 
12-01-2023,23.4,29.4,24.7,92,0,6.4,4,230,2,W 
13-01-2023,23.2,31.1,28.5,74,9.6,0,5,240,2,C 
14-01-2023,23.6,31.6,26.6,83,0,8.9,5,340,1,C 
15-01-2023,22.4,32,26.2,85,0.5,9.8,5,270,1,C 
16-01-2023,23,32.8,27.4,75,3.6,7.3,4,250,1,C 
17-01-2023,22.2,32.6,26.7,79,0,8.5,3,280,1,C 
18-01-2023,22.8,30,25.2,89,0,8.2,2,100,1,C 
19-01-2023,23.4,30.2,26.7,82,2.8,0.7,3,300,0,C 
20-01-2023,23.4,31.6,25.7,89,1.8,0.6,6,350,1,C 
21-01-2023,24,31,24.3,94,5.4,4.8,5,280,1,C 
22-01-2023,22,32.2,26.3,83,32.2,0.6,4,240,1,C 
23-01-2023,23.4,32.6,27.1,81,0,3.2,4,290,1,C 
24-01-2023,22.6,32,27.3,79,0,9.3,5,230,1,C 
25-01-2023,23.4,32.4,25.6,88,0,7.6,3,350,1,C 
26-01-2023,23.2,31.4,26.5,85,2.2,6.2,7,280,1,C 
27-01-2023,22.6,32,26.2,87,2.2,6.6,5,270,1,C 
28-01-2023,23.4,31,25.1,91,11.5,2.6,4,40,1,C 
29-01-2023,24.2,31.2,27.3,81,11,3.6,4,260,1,C 
30-01-2023,23.5,31.6,26.7,86,8888,5.1,5,40,1,C 
31-01-2023,23.6,31.2,25.5,89,2.2,3.4,4,260,1,C 
01-02-2023,24,31.3,26.8,84,20.2,5.3,4,80,1,C 
02-02-2023,22.2,28.4,24.8,94,2,4.7,3,50,1,C 
03-02-2023,22.8,31,25.8,85,30.3,1,3,270,1,C 
04-02-2023,23.2,29.4,25.2,90,19.6,2.1,3,240,1,C 
05-02-2023,23.4,30.4,26.2,86,61.7,2.9,2,80,1,C 
06-02-2023,23.4,31.4,26.5,84,0,0,3,60,1,C 
07-02-2023,23,31.6,25.4,88,8888,0.5,6,240,1,C 
08-02-2023,23.2,30,25.8,89,19.6,3.7,4,230,1,C 
09-02-2023,22.2,31.3,27.1,79,10.3,1,3,280,1,C 
10-02-2023,23.6,32.4,27.5,79,0,2.2,3,260,1,C 
11-02-2023,24.5,32.2,27.5,78,0,9.1,5,250,1,C 
12-02-2023,23.4,32,27.5,80,0,6.4,4,260,1,C 
13-02-2023,23.4,32.6,27.1,81,8888,8.5,5,200,2,SW
14-02-2023,23.4,32.8,28.5,74,0.5,9,6,260,2,SW
15-02-2023,23,32,28,76,0,7.9,4,290,1,C 
16-02-2023,24,32.9,27.5,77,0,2.7,3,270,1,C 
17-02-2023,23.6,34.2,27.8,78,0,6.8,4,270,2,C 
18-02-2023,23.4,32,27.1,78,0,8.9,4,250,1,C 
19-02-2023,23.6,32,26.3,84,0,9.3,4,100,1,E 
20-02-2023,23.2,32.4,26.2,86,6.8,2.3,3,70,1,C 
21-02-2023,23,32,27.7,81,6.8,2.4,3,300,1,C 
