Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2023,24.3,33.6,28.8,74,2.5,0.2,6,340,1,C 
02-01-2023,24.7,34.1,28.7,78,0,8.6,4,230,1,C 
03-01-2023,24.7,31.9,27.9,81,0,9.7,3,30,1,C 
04-01-2023,25.4,32.6,28.4,80,0,3.5,9,310,2,N 
05-01-2023,24.3,32.1,27.8,79,1.4,7.1,3,260,1,NE
06-01-2023,24.1,32.4,27.6,78,0,7.4,8,210,2,N 
07-01-2023,24.2,32.5,27.6,77,0,4.8,5,330,1,C 
08-01-2023,23.6,31.7,26.2,86,8.7,4,5,270,1,C 
09-01-2023,24,28.1,25.4,90,21.8,6,2,330,0,C 
10-01-2023,23.1,30.1,26.4,84,6.3,0,4,240,1,C 
11-01-2023,23.1,30.6,26.4,84,0,2.3,2,160,1,C 
12-01-2023,23.2,30.5,26.7,87,0,4.5,3,160,1,C 
13-01-2023,24.2,30.9,,,8888,1.2,5,160,1,C 
14-01-2023,23.2,31.3,26.9,84,0,10.7,3,210,1,C 
15-01-2023,24.7,31.3,27.3,87,0,11,3,150,1,NE
16-01-2023,24.5,31.9,26.8,85,0,8.2,7,280,1,C 
17-01-2023,23.9,31.5,26.6,82,0.6,6.8,3,150,2,NE
18-01-2023,24.3,31.5,27.4,78,0,6.8,4,310,2,NW
19-01-2023,24.4,32.6,,,0,5.7,4,50,1,C 
20-01-2023,23.2,31.2,25.7,86,0,7.2,3,160,1,C 
21-01-2023,23.5,31.3,27,81,25.8,3.5,2,170,1,C 
22-01-2023,24.9,31.7,27.5,83,8888,5.8,3,260,1,C 
23-01-2023,24,31.5,27.2,84,0,5.6,3,210,1,C 
24-01-2023,24,31.6,26.9,81,0,6,3,200,1,C 
25-01-2023,24.2,31.6,27.3,80,0,7.4,3,140,1,NE
26-01-2023,24.1,31.2,26.8,87,1.4,8.4,11,310,1,C 
27-01-2023,24,30.4,26.5,88,8,5.4,2,160,1,C 
28-01-2023,24.5,30.5,26.4,87,2.9,3.2,3,130,1,C 
29-01-2023,24.1,30.9,27.1,84,6.4,3.5,3,170,1,C 
30-01-2023,23.9,31,26.2,86,0,6.8,3,30,1,C 
31-01-2023,23.8,31.1,26.9,85,1.2,7.2,3,160,1,N 
01-02-2023,24.5,32.3,27.3,84,0.4,5.2,7,360,2,N 
02-02-2023,24.9,32.3,28.1,80,0,6.8,5,350,2,N 
03-02-2023,25.2,31.2,28,72,8888,6.9,7,250,2,C 
04-02-2023,25,31.3,27.2,85,0.5,5.1,7,250,2,N 
05-02-2023,25.5,32.7,27.8,79,,2,7,340,1,NE
06-02-2023,25.1,33.6,28.2,78,0.1,4.1,5,340,2,C 
07-02-2023,24.1,32.8,26.4,84,32.7,6,5,340,1,C 
