Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2023,23,30.1,,,10.5,0,8,330,2,NW
02-01-2023,24.1,32.6,28.1,75,8888,0.5,6,330,2,C 
03-01-2023,24.5,33.4,28.2,79,,4.2,5,350,2,NW
04-01-2023,25.4,32.6,28.3,83,8888,5.5,8,350,3,W 
05-01-2023,25.3,33.8,29.2,76,8888,2.2,7,330,4,W 
06-01-2023,23.7,32.9,28.8,72,5.5,6.1,5,110,2,C 
07-01-2023,25.6,33.7,28.5,84,1,6,5,130,2,C 
08-01-2023,25.2,32.8,27.3,86,69,3.8,5,100,1,C 
09-01-2023,24.7,32.9,27.9,89,23.3,3.5,4,100,2,C 
10-01-2023,25.4,32.2,28.6,80,18.4,2.3,5,330,2,W 
11-01-2023,26,33.7,28.6,80,,4.3,8,240,2,C 
12-01-2023,24.5,32.3,28.1,82,0.8,3.8,4,260,1,C 
13-01-2023,24.7,33.6,28.3,82,8888,4,4,110,1,C 
14-01-2023,24.9,33.8,28.7,79,8888,4.5,5,250,1,C 
15-01-2023,25.7,29.7,27.4,86,0.3,3.4,8,120,2,C 
16-01-2023,26.1,32.5,29.3,78,1.9,0,5,120,2,C 
17-01-2023,25.2,33.6,28.7,81,,8.5,6,350,2,W 
18-01-2023,23.6,28.5,25.7,88,45.4,6.3,7,320,3,NW
19-01-2023,24.9,32.9,28.2,72,0.5,0,7,320,1,C 
20-01-2023,25.6,32.3,28.6,72,,7.2,6,210,1,C 
21-01-2023,24.1,32.1,26.9,84,1.3,0.7,5,130,2,C 
22-01-2023,24.5,32.2,27.2,86,14,1.5,4,250,2,C 
23-01-2023,25.2,28.3,26.7,90,3.8,1.3,4,150,1,C 
24-01-2023,25.2,32.6,28.5,82,3.2,0,5,130,2,C 
25-01-2023,25.4,32.6,28.8,80,0.2,6.8,5,130,2,SE
26-01-2023,25.7,33,29.7,77,2.5,7.8,5,150,2,C 
27-01-2023,24.8,31.7,27.5,84,4.3,6.2,4,120,2,C 
28-01-2023,24.1,32.2,26.6,86,1.5,1.5,5,110,2,W 
29-01-2023,23.5,31.7,26.8,86,145.6,2.5,4,250,2,C 
30-01-2023,24.8,27.1,25.9,90,3.2,3.5,3,210,1,C 
31-01-2023,23.4,31.8,27.1,85,45.2,0,5,350,3,N 
01-02-2023,24,32.1,27.6,82,6,4.3,3,120,1,C 
01-02-2023,24,32.1,27.6,82,6,4.3,3,120,1,C 
02-02-2023,24.1,33.3,28,80,2.8,3.1,6,350,3,W 
03-02-2023,24.4,32.8,28.7,74,8888,8.3,6,350,3,N 
04-02-2023,25.1,31.6,27.1,80,,5.5,7,350,3,N 
05-02-2023,24.5,31.1,26.7,86,3.4,3.5,8,350,2,W 
06-02-2023,23.4,28.6,25.7,88,20.4,0.9,7,300,2,C 
07-02-2023,24.8,30.6,27.1,84,1.4,0,5,340,2,C 
08-02-2023,25.2,30.3,27.2,86,6.9,0.5,8,310,4,NW
09-02-2023,24.9,30.7,27.4,80,0.4,0,5,270,3,NW
10-02-2023,24.1,32.4,27.2,80,3.6,0.6,6,340,4,W 
11-02-2023,25.1,32,28.6,71,0.3,4.2,6,330,2,C 
12-02-2023,23.8,33,27.3,78,,6.3,5,290,2,C 
13-02-2023,24.4,33.1,27.7,82,6.8,5.6,4,120,2,W 
14-02-2023,25,32,27.8,82,8888,6.5,6,320,2,C 
15-02-2023,25.3,33.2,28.5,80,0.5,3.2,6,180,2,C 
16-02-2023,26.3,31,28,86,8888,5.9,7,160,1,C 
17-02-2023,25.7,31.8,28.7,82,6,0,4,250,1,C 
18-02-2023,25.3,32.2,28.3,85,1.3,2.7,5,120,2,C 
19-02-2023,23.5,28.5,25.8,89,83.6,4.9,6,130,2,C 
20-02-2023,23.2,32.2,27.5,82,7.6,0,4,120,2,C 
21-02-2023,25.2,31.7,28.3,80,1,6.2,4,340,2,C 
22-02-2023,24.9,31.6,26.7,86,8888,1.3,3,210,2,C 
23-02-2023,23.1,32.2,27.4,82,7.2,1.5,6,150,3,SE
24-02-2023,24,31.5,27,86,77.4,6.2,5,130,2,C 
25-02-2023,23.5,33.2,,,11.3,3.2,5,250,2,C 
26-02-2023,23.9,32.4,27.3,83,33.4,5.4,7,350,2,C 
