Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2023,22.9,31.6,27.9,82,0,5.9,3,240,1,C 
02-01-2023,24.5,31.8,27.7,85,0,6.3,5,220,2,W 
03-01-2023,23.2,31.2,26.7,86,5,4.3,4,260,2,NE
04-01-2023,22.5,29.9,27,86,3.5,4.4,4,310,2,NW
05-01-2023,23.9,32.2,27.8,86,9.2,4.8,4,310,1,C 
06-01-2023,24.4,32.1,25.4,93,0,7.5,6,250,2,E 
07-01-2023,23,27.2,24.7,92,11.3,1.9,3,350,1,N 
08-01-2023,23.2,31.1,26.7,87,3.7,0,4,250,2,SW
09-01-2023,23.8,30.1,26.5,88,7.3,6.3,5,250,2,C 
10-01-2023,24,30.3,27.2,87,6.6,0.8,4,240,2,W 
11-01-2023,23.2,30,26.7,88,58.8,1.5,5,260,2,W 
12-01-2023,24.1,28.6,27.2,86,20.1,2.5,6,240,3,SW
13-01-2023,24.4,31.2,28.4,80,6.4,0.2,6,210,2,SW
14-01-2023,26,31.8,28.7,78,0,8,5,250,2,W 
15-01-2023,25.3,32.4,27.7,82,0,6.7,4,220,1,C 
16-01-2023,23.5,32,,,0,8.1,3,270,1,C 
17-01-2023,23.5,31.4,27.5,84,0,6.5,4,330,2,E 
18-01-2023,23,30.9,27.3,84,3.3,6.2,5,160,2,E 
19-01-2023,23.6,31.1,27.6,83,2.3,3.8,3,330,1,C 
20-01-2023,23.5,30,26.4,88,0.9,3.8,3,310,2,NW
21-01-2023,22.4,27.7,24.4,92,37,1.6,2,310,1,C 
22-01-2023,22.6,29.6,26,90,2.3,0,4,300,2,SE
23-01-2023,23.6,28.8,25.7,91,64.4,2.6,3,260,2,SW
24-01-2023,23.2,30.8,26.3,90,27.7,0.9,4,330,1,C 
25-01-2023,23.6,29.5,26.3,89,23.2,2.7,3,290,1,C 
26-01-2023,24,28.8,25.9,90,35.6,1.7,3,260,1,C 
27-01-2023,23.6,25.2,23.6,98,237.8,0,7,340,2,E 
28-01-2023,23,29.7,26.1,90,216.7,0,3,220,1,NE
29-01-2023,22.7,31.2,26.4,88,0,1.3,3,260,1,E 
30-01-2023,23.4,32.3,27.3,84,4.2,2.4,4,320,1,C 
31-01-2023,23.4,29.5,25.7,91,19.4,6.8,4,220,1,C 
01-02-2023,23.4,30,,,15.5,1.8,4,50,1,E 
01-02-2023,23.4,30,,,15.5,1.8,4,50,1,E 
02-02-2023,23.6,26.5,24.6,96,65.6,1.9,2,230,1,SW
03-02-2023,22.8,29.5,25.2,90,7.9,0,4,250,1,C 
04-02-2023,22.8,28.5,24.1,94,11.5,1.8,6,360,1,C 
05-02-2023,22.2,28.3,23.9,95,12.1,0,4,10,1,E 
06-02-2023,23,30.6,26.7,84,6.8,0,4,290,2,NW
07-02-2023,23.6,28,25.9,88,0,2.1,3,340,2,N 
08-02-2023,22.6,24.4,23.2,96,48.1,0,4,350,1,C 
