"Tanggal","Tn","Tx","Tavg","RH_avg","RR","ss","ff_x","ddd_x","ff_avg","ddd_car"
"01-01-2023","21.2","33.4","25.8","84","0.2","7.7","5","110","2","C "
"02-01-2023","21.9","31","25.6","86","23.2","6.9","4","120","1","E "
"03-01-2023","22.2","30.2","25.6","86","5.5","3.3","3","110","1","C "
"04-01-2023","21","32.2","25.8","84","0","3.8","2","20","1","C "
"05-01-2023","21.8","31.8","25.1","88","","3.6","2","140","0","C "
"06-01-2023","23.6","29.2","25.4","90","13.4","4.1","3","260","1","C "
"07-01-2023","22.3","29","24.5","92","2.7","1","6","180","1","SE"
"08-01-2023","22.4","30.1","25.5","87","20.6","3.1","3","190","1","C "
"09-01-2023","21.2","31.6","25.5","84","4.4","3.5","2","100","1","E "
"10-01-2023","22","29.8","24.8","88","6.5","7.2","3","70","1","C "
"11-01-2023","22.6","31.9","26","84","10.2","3.2","5","120","1","C "
"12-01-2023","21.4","32.3","25.7","82","8888","5","5","130","2","SE"
"13-01-2023","21.2","31.8","25.3","84","0","6.8","3","70","1","C "
"14-01-2023","21","32","25.4","82","0.4","2.7","6","110","2","SE"
"15-01-2023","22.6","29.2","25.3","90","16.5","6.1","2","300","0","C "
"16-01-2023","22.2","30.6","25.3","89","1.2","0.4","2","90","1","C "
"17-01-2023","21.8","28.8","24.2","93","3.4","5.6","3","60","1","C "
"18-01-2023","22.6","32.2","26","84","17.5","1.8","3","40","1","C "
"19-01-2023","22.2","32.4","25.9","86","23.2","6.5","2","210","0","C "
"20-01-2023","22.2","31.2","25.1","89","0.3","6.6","3","130","1","C "
"21-01-2023","21.8","30.8","24.5","91","10.9","4.1","2","120","1","C "
"22-01-2023","22.8","31.4","25.4","90","35.1","3","3","250","1","E "
"23-01-2023","22.4","28","23.3","96","38.5","2.6","3","160","1","SE"
"24-01-2023","20.8","29","24.4","88","251.6","0.1","2","100","1","C "
"25-01-2023","21.8","31.8","26.2","82","0","0.3","2","80","1","C "
"26-01-2023","22.4","32.2","26.7","78","","2.9","3","120","1","C "
"27-01-2023","22.4","29.2","23.9","94","34.7","7.3","4","150","1","C "
"28-01-2023","20.8","29.6","24.5","86","24.6","1.3","4","130","1","SE"
"29-01-2023","20.8","32.8","24.9","87","6.7","2.9","3","10","1","N "
"30-01-2023","24","33","27.7","73","0.4","4.1","5","10","1","C "
"31-01-2023","22","33.6","26.1","85","0","8.3","3","360","1","N "
"01-02-2023","22","31.8","26.4","84","21.6","4.9","3","130","1","SE"
"01-02-2023","22","31.8","26.4","84","21.6","4.9","3","130","1","SE"
"02-02-2023","21.6","32.8","26.2","81","","9.1","3","130","1","SE"
"03-02-2023","23","31.8","26.6","83","8888","7.3","4","130","1","C "
"04-02-2023","22","31.7","25.4","88","6","8.4","10","120","2","C "
"05-02-2023","22.8","28.8","24.1","91","2.3","3.5","5","70","2","S "
"06-02-2023","20.6","31","25.2","81","9.5","0.4","3","120","1","E "
"07-02-2023","20.4","32","25.4","79","0","1.6","5","120","1","SE"
"08-02-2023","19.4","33","25.3","81","0","6.8","3","160","1","E "
"09-02-2023","21.6","31.4","26.2","85","59.5","7.9","7","120","2","E "
"10-02-2023","23","31.4","26.5","80","36.4","3","7","150","2","C "
"11-02-2023","21.4","29","22.7","95","0","5.8","3","140","1","SE"
