Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2023,24.8,32.4,27.8,81,0,6.6,4,264,2,W 
02-01-2023,24.8,32.2,27.4,80,0.9,5.3,3,208,2,W 
03-01-2023,22.6,29.2,25.4,89,15,3.4,3,309,1,W 
04-01-2023,22.8,28.6,25.4,87,0,0,4,299,2,NW
05-01-2023,24.6,31.8,27,83,8888,0,3,317,2,NW
06-01-2023,25,32,27.1,86,8888,1.6,2,215,0,C 
07-01-2023,24.4,30.8,27.4,85,34.5,2.1,3,292,2,NW
08-01-2023,23.7,32.7,27.5,86,30.7,2.7,2,299,1,W 
09-01-2023,24,31.1,27.1,86,18.7,4.4,2,224,1,C 
10-01-2023,24.6,33.4,28.8,81,0,0,2,68,1,C 
11-01-2023,22.6,32.2,26.7,86,31.5,5.4,1,163,0,C 
12-01-2023,23.7,32.8,28.1,84,1.5,1.8,2,99,0,C 
13-01-2023,23.7,33.6,27.9,81,1.8,2.5,2,213,1,C 
14-01-2023,24.5,33,28.3,81,3,5.9,2,196,1,C 
15-01-2023,24.9,31.4,27.2,86,7.1,4.2,3,291,1,C 
16-01-2023,24.8,33.4,28.3,80,1,3.4,4,241,1,W 
17-01-2023,24.8,30.1,26.1,90,1.4,6.6,3,303,1,C 
18-01-2023,23.8,30.2,26.5,84,15.4,0,3,312,2,NW
19-01-2023,23.6,29.4,25.7,90,58,2,3,265,1,NW
20-01-2023,23.8,31.6,26.1,87,13.3,0.1,3,276,1,W 
21-01-2023,23.6,31.8,26.7,85,6.3,3.5,4,312,2,NW
22-01-2023,23.8,31.2,27.5,88,1,2.5,2,284,1,C 
23-01-2023,23.6,30.3,26,88,50.9,3.3,3,271,1,C 
24-01-2023,23.5,31.7,27,83,14.7,3.7,3,298,2,NW
25-01-2023,24.4,29.6,26.5,83,0,5.1,3,278,2,W 
26-01-2023,24,29,26.2,84,8888,0,3,302,2,NW
27-01-2023,24.5,31,27,86,,0.5,4,256,2,W 
28-01-2023,24,32.4,26.7,86,1,1.9,5,298,2,W 
29-01-2023,24.4,30.1,26.7,84,5.2,6,5,300,3,NW
30-01-2023,24.4,31,26.8,88,8888,2,4,261,2,W 
31-01-2023,24.2,28.4,26.1,90,6.7,3.1,3,288,2,NW
01-02-2023,24.1,30.9,26.7,88,7.5,0.7,3,304,1,W 
01-02-2023,24.1,30.9,26.7,88,7.5,0.7,3,304,1,W 
02-02-2023,25.1,31.9,28,84,0.7,0.4,4,268,2,W 
03-02-2023,25.9,30.4,28,85,8888,1.2,3,350,1,N 
04-02-2023,24.8,32.4,28.3,84,8888,0.5,3,298,1,NW
05-02-2023,24.8,33.2,28.3,79,5.1,3.4,3,300,2,W 
06-02-2023,24.2,33.5,28.3,81,0.5,6.8,3,290,2,W 
07-02-2023,25.4,33.4,27.9,84,,6.4,4,295,2,NW
08-02-2023,24.9,34.8,28.8,78,0.8,3.1,3,298,1,C 
09-02-2023,25.6,33.4,29,78,0,7.1,2,287,1,C 
10-02-2023,25.6,34.1,29.3,80,,2.9,4,304,3,W 
11-02-2023,26.2,33,28.8,80,,7.7,6,243,2,W 
12-02-2023,23.4,32,27.6,80,50.5,3.1,2,238,1,C 
13-02-2023,23.9,33.8,28.8,78,,2.8,3,294,1,W 
14-02-2023,24.4,34.3,28.6,80,,5.3,3,267,1,C 
15-02-2023,22.8,32.6,27.4,85,11.5,5,4,305,2,NW
16-02-2023,24.6,32.4,27.7,80,0,6,3,303,2,NW
17-02-2023,24.5,32.2,27.8,79,0.1,4.5,3,307,2,NW
18-02-2023,24.6,33.8,28.2,81,,5.5,5,272,2,W 
19-02-2023,25.4,33,27.5,85,8888,6.1,7,350,2,C 
20-02-2023,23.8,29.4,25.6,88,65.8,4.3,3,205,1,C 
21-02-2023,24,30.4,26.7,86,2,1.5,4,266,2,W 
22-02-2023,23.1,31.8,26.9,83,9,4.7,5,174,2,W 
23-02-2023,23.5,30,26.1,86,17,5.8,4,306,2,W 
24-02-2023,24.2,31.2,27,88,0.8,0.1,3,282,1,W 
25-02-2023,23.6,31.4,26.2,86,16.7,1.9,3,304,2,NW
26-02-2023,24.3,32.8,26.8,86,14.2,4.2,5,239,2,NW
27-02-2023,24,30.9,25.3,91,8.8,6.6,6,289,3,NW
28-02-2023,23.8,30.2,25.9,88,15.4,5.4,4,283,2,W 
01-03-2023,23.9,30.2,26.6,84,1.7,4.1,4,298,3,NW
01-03-2023,23.9,30.2,26.6,84,1.7,4.1,4,298,3,NW
02-03-2023,23.2,31.6,26.9,80,,2.5,3,283,1,W 
03-03-2023,24.6,31.8,27.5,80,,2.3,4,289,2,W 
04-03-2023,23.8,30.8,26.7,82,8888,6,4,300,2,NW
05-03-2023,23.6,33,27.2,81,8888,1.5,5,179,2,W 
06-03-2023,24,31.5,27.3,82,,8.9,3,295,2,NW
07-03-2023,24.6,32.4,27.5,82,2.3,2.5,4,235,2,W 
08-03-2023,24.5,33.8,28,84,0.9,1.9,4,231,2,NW
09-03-2023,25.1,33.2,28.1,84,3,4.8,4,294,2,C 
10-03-2023,25,32.4,27.5,86,2.1,4.6,3,350,2,C 
11-03-2023,24.4,32.6,26.7,89,30.7,3.8,4,298,1,C 
12-03-2023,23.5,31.6,26.6,86,36,3.7,3,272,1,C 
13-03-2023,23.8,32.6,26.8,87,8888,3.5,3,330,2,NW
14-03-2023,24.8,30.8,27.4,84,,4,4,276,2,W 
15-03-2023,24.6,31.4,27.1,85,1.2,4.3,3,197,1,C 
16-03-2023,23.6,31.2,27,85,3.8,4.2,4,176,1,C 
17-03-2023,24.2,32.6,27.8,82,0.4,1.1,4,245,2,SE
18-03-2023,25.2,34,28.9,81,,6.3,3,262,2,N 
19-03-2023,25.4,32.3,28.1,84,,7.6,3,255,1,C 
20-03-2023,26,32.1,28.4,86,14.9,4.5,3,78,1,C 
21-03-2023,24.2,35,28.1,82,22.4,4.4,2,10,1,C 
22-03-2023,25.2,34.4,28.2,82,,9.2,3,50,0,C 
23-03-2023,25.4,33.4,28.6,84,1.4,4.7,3,51,0,C 
24-03-2023,25.4,33.6,28.3,83,8888,2.9,3,229,1,C 
25-03-2023,23.9,30.8,26.5,87,47.6,6.2,3,250,1,C 
26-03-2023,23.4,33.8,27.9,81,80,2.1,2,303,1,C 
27-03-2023,23.8,33.2,27.6,82,40.8,5,2,245,0,C 
28-03-2023,23.8,34.4,29.6,80,0,4.6,5,3,1,C 
29-03-2023,24.9,33.2,27.4,84,,5.6,4,265,1,C 
30-03-2023,23.7,31.6,26.5,86,7.7,4.6,4,260,2,W 
31-03-2023,23.6,33.2,27.7,85,30,2.5,3,163,1,C 
01-04-2023,24.5,31.5,28,86,,1.6,3,116,0,C 
01-04-2023,24.5,31.5,28,86,,1.6,3,116,0,C 
02-04-2023,23.6,33.2,27.9,81,13,0.6,2,300,1,C 
03-04-2023,24,32.3,26.7,87,,4.4,4,263,1,C 
04-04-2023,24.6,33.9,28.4,83,0,0.3,2,209,1,C 
05-04-2023,24.6,34.7,28.2,82,3.6,6.3,2,292,1,W 
06-04-2023,22.8,31.4,26.7,82,39.3,6.8,2,224,0,C 
07-04-2023,22.8,33,28.5,84,,0.5,2,89,1,C 
08-04-2023,25.4,33.6,28.8,83,8888,4.1,2,271,1,C 
09-04-2023,23.6,32.6,27.4,81,9.9,2.4,3,239,1,C 
10-04-2023,24.2,34.4,28.7,80,0.2,7.7,5,227,2,W 
11-04-2023,25.4,34.6,29.8,76,8888,6.6,2,278,1,C 
12-04-2023,25.5,33.5,28,82,8888,8.7,2,270,1,C 
13-04-2023,25.5,35.2,29.5,80,0,2.8,3,225,1,C 
14-04-2023,25.4,34.2,29.1,84,3,8.7,3,239,0,C 
15-04-2023,24.8,34.3,28.3,84,4,5.8,3,200,0,C 
16-04-2023,24,33.8,26.4,86,19,5.4,2,179,0,C 
17-04-2023,24,34.4,28.6,81,83.2,4.6,2,100,1,C 
18-04-2023,25.4,33.6,28.5,81,,8.7,3,259,1,C 
19-04-2023,26,34.4,29.3,81,3.3,6.4,2,90,1,E 
20-04-2023,26.8,32,27.6,89,8888,8.3,3,296,0,C 
21-04-2023,25.4,34,29.1,82,4.8,2,3,134,1,C 
22-04-2023,26.6,33,28.4,85,8888,7.2,2,100,0,C 
23-04-2023,25.2,33.8,28.5,81,4,2.4,3,20,1,C 
24-04-2023,26,34.4,28.1,88,0,6.9,4,232,1,C 
25-04-2023,25.3,32.8,28.9,83,10.8,5,3,316,1,C 
26-04-2023,25.8,33.8,28.6,84,8888,7.9,4,55,1,C 
27-04-2023,25.4,34.8,28.8,80,,4.1,3,34,1,C 
28-04-2023,25.6,33.7,29.2,82,0,5.7,2,358,0,C 
29-04-2023,25,33.4,28.9,80,8888,4.9,2,346,1,C 
30-04-2023,26.4,33.2,29,83,,4.5,1,98,0,C 
01-05-2023,23.4,32,26.1,88,51.6,0.2,2,225,0,C 
01-05-2023,23.4,32,26.1,88,51.6,0.2,2,225,0,C 
02-05-2023,24.2,35,28.8,82,7.3,0,2,171,0,C 
03-05-2023,26.5,33,28.8,82,,7.7,3,86,1,C 
04-05-2023,25.8,33.6,29.1,84,19.3,5,2,247,0,C 
05-05-2023,26.2,34,29.5,83,2.2,1.7,1,190,0,C 
06-05-2023,24.7,31.9,27.6,88,23.9,5.3,2,125,0,C 
07-05-2023,25,33.8,28.7,79,0,1.9,1,180,0,C 
08-05-2023,25.3,34.6,29.4,79,0,2.1,3,52,0,C 
09-05-2023,25.2,32.2,27.8,86,11,2.4,1,67,0,C 
10-05-2023,25.3,35,29.4,80,,4,2,80,1,E 
11-05-2023,25.2,35,29.5,82,0,6.3,3,82,1,E 
12-05-2023,26.4,35.8,32.8,72,0,7.9,3,62,1,C 
13-05-2023,26.2,35.3,29.9,80,9.9,8.6,1,236,0,C 
14-05-2023,27.4,34.3,29.9,80,0,7.8,2,156,1,SE
15-05-2023,26.2,34.2,30.1,79,,5.9,2,121,1,C 
16-05-2023,24.6,33.6,28.6,85,40.1,7,2,145,1,C 
17-05-2023,26,34.2,29,84,,6.1,2,79,1,C 
18-05-2023,24,31.4,27.3,84,57.2,6,1,170,0,C 
19-05-2023,25.2,32,30,74,0,1.8,2,136,0,C 
20-05-2023,25,33.6,31,71,8888,2.2,2,115,1,SE
21-05-2023,26.6,34.1,31,74,0,6.6,3,302,1,E 
22-05-2023,25.2,33.8,31.1,72,26.7,6.7,2,100,1,SE
23-05-2023,24.8,33.9,31.2,71,0,8.7,2,138,0,C 
24-05-2023,26.8,33.4,31,73,12,4.4,2,160,1,C 
25-05-2023,26.7,34.4,29.8,78,,5.1,2,135,1,SE
26-05-2023,25.8,35,31.6,72,0,7.1,3,95,2,E 
27-05-2023,27.2,33.2,29,86,0,7.3,2,173,0,C 
28-05-2023,26.4,32.8,29.4,82,21.9,2.1,3,55,0,C 
29-05-2023,26,34.1,30.9,73,0,2.4,2,73,0,C 
30-05-2023,27,33.2,29.7,79,,5.3,2,156,1,C 
31-05-2023,25.8,34.3,29.2,80,1,2.6,2,127,1,SE
01-06-2023,26.4,34.6,31.5,69,0,6.2,3,87,1,SE
01-06-2023,26.4,34.6,31.5,69,0,6.2,3,87,1,SE
02-06-2023,26,34,31.3,73,,7.5,3,100,1,E 
03-06-2023,26.8,34.8,31.4,73,0,5.7,2,98,0,C 
04-06-2023,26.4,34,29.6,79,2.7,,3,59,1,C 
05-06-2023,25.6,33.8,28.8,80,,5,2,130,1,C 
06-06-2023,27,32.2,30.2,72,,4.3,3,136,1,SE
07-06-2023,26,33.2,29.7,78,0,2.6,3,114,1,C 
08-06-2023,25.4,30.6,27.1,86,8888,4.7,2,106,1,C 
09-06-2023,25.4,32.8,30.1,76,1,0.1,3,106,2,E 
10-06-2023,25.2,35.1,29.7,75,0,2.1,3,50,1,E 
11-06-2023,26,34.8,29.4,78,,8.2,3,113,2,SE
12-06-2023,26.3,33.4,28.4,84,0,7.8,4,150,1,C 
13-06-2023,25.8,32.4,28.2,84,31.7,4.1,4,124,1,C 
14-06-2023,25.8,33,29,83,8888,3.5,3,75,1,C 
15-06-2023,25.9,34.4,29.8,77,0.6,3.2,3,100,1,C 
16-06-2023,25.2,32,28.9,74,5.5,6.1,3,136,1,SW
17-06-2023,23.8,34,28.4,81,,3.9,2,130,0,C 
18-06-2023,25.2,33.5,28.8,85,,6,2,105,0,C 
19-06-2023,24.4,30.8,27,82,1.6,4.7,2,138,1,C 
20-06-2023,24.6,33.2,30.1,75,8888,1.8,3,134,1,SE
21-06-2023,25,34.4,28.9,82,,3.4,4,94,2,E 
22-06-2023,26.2,33.6,30.8,74,0,8.3,2,99,1,C 
23-06-2023,25.2,34.6,29.1,77,0.6,4.3,3,116,2,E 
24-06-2023,25.2,34.2,31.5,70,0,8.8,2,119,1,C 
25-06-2023,26,33.4,28.7,81,0,7.8,3,84,1,C 
26-06-2023,25.8,32.4,28.3,83,0.5,3.1,2,108,0,C 
27-06-2023,25.8,33.4,29.5,76,0.5,2.9,2,310,1,C 
28-06-2023,25.2,33.4,27.7,87,8.5,5.3,3,82,0,C 
29-06-2023,26,33.8,28.7,80,0,5.5,3,102,1,C 
30-06-2023,26.4,33.3,28.8,82,0,6.6,2,124,1,C 
01-07-2023,26.4,32.4,27.9,87,8888,2.4,2,272,0,C 
01-07-2023,26.4,32.4,27.9,87,8888,2.4,2,272,0,C 
02-07-2023,25,31.2,27.7,87,10.7,1.4,2,97,1,C 
03-07-2023,25.4,33.6,28.7,83,,0.3,2,133,1,C 
04-07-2023,26,34.9,28.8,82,1,5.9,2,116,1,C 
05-07-2023,25.6,33.2,27.5,85,3.6,8.4,4,291,1,C 
06-07-2023,24.8,33.4,27.6,85,15.3,5.2,1,180,0,C 
07-07-2023,25.4,32,27.8,84,6.5,3.9,2,102,0,C 
08-07-2023,24.8,33,28,83,8888,2.4,3,79,1,SE
09-07-2023,24.5,33.3,27.4,85,1.5,4.8,3,98,1,C 
10-07-2023,25,31.4,27.4,86,9.7,4.8,3,125,1,C 
11-07-2023,24.4,31.4,27.2,87,4.8,3.6,3,70,1,C 
12-07-2023,24.9,33.3,28.6,82,8888,2.4,2,79,0,C 
13-07-2023,26,33.9,29.3,78,0,6.5,2,130,1,SE
14-07-2023,25.8,33.4,29.3,76,0,8.2,3,184,1,C 
15-07-2023,24.6,33.2,28.1,84,26.2,7.2,0,0,0,C 
16-07-2023,25.4,33.6,29.1,82,0.1,3,2,125,1,C 
17-07-2023,25.8,33.6,28.8,83,,6.5,3,131,2,SE
18-07-2023,25.8,33.8,28.9,79,0,6.5,3,104,2,E 
19-07-2023,25.8,32.6,28.5,82,0,8.2,3,139,2,SE
20-07-2023,26,30.4,27.9,84,8888,3.1,1,143,0,C 
21-07-2023,25.4,32.4,28.1,84,0,0.5,3,120,2,SE
22-07-2023,25.5,33.4,28.1,86,0,1.6,2,128,1,SE
23-07-2023,25.8,33.5,28.9,84,6.4,5.2,2,115,1,E 
24-07-2023,22.4,31.6,25.1,91,52,6.1,2,291,0,C 
25-07-2023,22.6,34.1,28.5,83,12.3,0,2,117,1,E 
26-07-2023,25.2,34.4,29.1,82,,7.2,3,126,1,SE
27-07-2023,26.2,34.2,29.6,80,0,8.2,3,132,1,C 
28-07-2023,24.8,33.2,28.8,83,0,8.3,3,120,2,E 
29-07-2023,25.3,33.2,28.7,82,1.3,5.5,3,112,2,SE
30-07-2023,24.4,33.6,28.6,78,,5.6,3,117,2,E 
31-07-2023,25.2,34.2,28.9,78,0,8.9,4,105,2,E 
01-08-2023,24.8,33.8,28.6,81,0,9.3,3,134,1,C 
01-08-2023,24.8,33.8,28.6,81,0,9.3,3,134,1,C 
02-08-2023,26.2,33.7,28.9,83,0,7.8,3,109,1,C 
03-08-2023,26.2,34.4,29.1,84,0,4,2,129,1,SE
04-08-2023,26.3,34.5,29.4,82,0.5,6,2,119,1,C 
05-08-2023,24.6,34.6,28.8,79,1.7,7.9,3,114,2,E 
06-08-2023,25.2,33.9,28.7,84,,9.4,2,147,1,SE
07-08-2023,25.2,34.5,28.9,85,4,7.7,3,82,1,C 
08-08-2023,26.1,34.2,29,85,,6.8,3,100,1,C 
09-08-2023,25.5,34.4,29.2,82,5.5,7.3,4,120,2,E 
10-08-2023,24.8,35.3,28.6,82,0,8.8,3,116,1,C 
11-08-2023,25.2,34.3,29,81,0,7.6,3,126,2,E 
12-08-2023,25.2,34.3,28.7,81,,9.3,2,122,2,E 
13-08-2023,25.2,33.8,28.6,80,,7.9,3,109,2,E 
14-08-2023,24.8,33,28,81,,6.7,2,137,1,SE
15-08-2023,25.4,33.6,28.7,82,0,5.2,3,124,2,E 
16-08-2023,25.8,32.8,28.7,82,0,5.6,2,107,1,E 
17-08-2023,25.4,34.4,29,80,0,2.7,3,118,1,E 
18-08-2023,25.4,33.5,28.9,80,0,5.9,3,119,2,SE
19-08-2023,25,33.6,28.4,79,8888,5.3,3,129,2,E 
20-08-2023,25,34.6,29.4,78,,5.2,3,91,2,E 
21-08-2023,25.4,34,28.4,80,8888,4.5,4,124,1,SE
22-08-2023,24.6,34.6,28.6,80,4.1,6.9,3,117,2,E 
23-08-2023,24.8,34.4,28.8,80,,9.3,3,118,2,E 
24-08-2023,25.7,32.2,27.7,86,0,4.6,4,150,1,E 
25-08-2023,25.6,34.4,28.8,83,3.1,2.2,4,82,2,C 
26-08-2023,25.8,34.7,29.3,82,8888,7.1,2,113,1,C 
27-08-2023,25.6,33.8,28.6,86,0,7,2,127,1,E 
28-08-2023,25.4,34,29.1,81,,4.2,3,116,2,SE
29-08-2023,24.8,33.8,28.6,77,0,5.4,3,137,2,E 
30-08-2023,25.2,34.4,29,76,,6.2,3,109,2,E 
31-08-2023,24.6,34.1,28.3,76,,8.5,4,129,2,SE
01-09-2023,23.8,34.6,28.3,75,,7.5,3,118,2,SE
01-09-2023,23.8,34.6,28.3,75,,7.5,3,118,2,SE
02-09-2023,23.8,34.9,28.6,73,0,8.7,4,,2,E 
03-09-2023,24,34.8,28.6,74,0,8.5,3,133,2,SE
04-09-2023,24,35,28.4,70,,8.4,4,126,2,SE
05-09-2023,24,34.5,28.3,76,,9.4,3,116,2,E 
06-09-2023,24.6,34.9,28.7,77,,6.6,3,111,2,E 
07-09-2023,25.6,35.4,29.6,76,0,6.4,3,102,1,E 
08-09-2023,26.2,35.6,29.3,78,2,5.3,3,54,1,C 
09-09-2023,26,35.2,29.5,78,,5.5,3,83,2,E 
10-09-2023,25.8,34.6,29.1,75,,5.4,3,127,2,SE
11-09-2023,24.3,35.2,29,68,,3.8,3,128,2,E 
12-09-2023,24.5,34.6,29,74,,6.3,3,102,2,E 
13-09-2023,25.2,35.4,29.1,74,,6.1,3,75,2,E 
14-09-2023,24.8,35.4,29.1,74,,8.9,3,90,2,E 
15-09-2023,24.9,35.6,29.3,72,,7.6,4,106,2,E 
16-09-2023,24.8,36.2,29.3,73,,7.2,4,86,2,E 
17-09-2023,25.4,33.9,28.6,80,,7.4,3,118,1,SE
18-09-2023,22.8,35,29.8,75,8888,2.2,4,83,2,E 
19-09-2023,25.7,35.4,30.2,78,0,4.4,3,75,1,E 
20-09-2023,26.2,34.7,29.8,76,0.5,8,4,113,1,C 
21-09-2023,26.3,36.6,30.1,75,,5.1,3,102,1,SE
22-09-2023,25.4,35.9,30.2,67,,6.8,3,87,1,S 
23-09-2023,24.3,35.5,28.9,68,0,8.1,3,136,2,SE
24-09-2023,25.2,35.3,29.7,67,,5.7,6,91,2,SE
25-09-2023,25.4,35.8,29.6,70,0,6.5,3,114,2,E 
26-09-2023,24.8,36,29.2,72,,7.2,3,100,2,E 
27-09-2023,24.6,36,29.2,70,,7.1,6,146,3,E 
28-09-2023,24.2,36.4,29.4,72,,7.7,4,79,2,E 
29-09-2023,25.4,36.3,29.9,71,0,9.2,3,82,2,E 
30-09-2023,24.8,35.8,29.4,72,,6.1,3,149,2,E 
01-10-2023,25.2,36.4,29.9,73,,6.5,3,136,2,E 
01-10-2023,25.2,36.4,29.9,73,,6.5,3,136,2,E 
02-10-2023,26.1,35.8,30,68,,5.7,3,146,2,SE
03-10-2023,24.8,35.9,29.4,68,,6.7,4,150,2,E 
04-10-2023,25.8,35.6,29.9,71,,6.7,3,125,2,E 
05-10-2023,26,37.2,30.7,71,,4.7,3,133,2,E 
06-10-2023,26.1,36.2,30.1,74,0,6.4,3,133,2,SE
07-10-2023,25.8,36.8,30.1,74,,3.6,4,87,2,E 
08-10-2023,25.8,36.5,30,74,0,8.9,4,90,2,E 
09-10-2023,26.6,36.8,29.8,76,,4.8,3,124,1,E 
10-10-2023,25.8,36.4,29.5,78,,3.6,3,64,1,E 
11-10-2023,27.2,37,31.1,73,8888,5.9,3,88,1,E 
12-10-2023,25.4,36.5,30.1,72,,6.1,4,90,2,E 
13-10-2023,25.6,37,30,72,0,5.5,3,74,2,E 
14-10-2023,26.6,36.5,30.2,73,,4.9,3,91,2,E 
15-10-2023,27.2,36.8,30.6,71,,4.6,4,79,2,E 
16-10-2023,25.8,37.2,30.5,69,,5.4,4,100,2,SE
17-10-2023,25.6,36.9,30.2,70,,5.7,4,119,2,E 
18-10-2023,26,36.8,29.4,74,,6.8,3,86,1,E 
19-10-2023,26,36.3,29.4,79,1,3,4,61,1,E 
20-10-2023,25.6,35,28.5,79,1.2,4.3,3,100,1,C 
21-10-2023,24.6,36.2,29.4,77,7.3,2,2,124,1,C 
22-10-2023,26,35.8,30.1,75,,6.7,2,80,1,C 
23-10-2023,,,,,,,,,,
24-10-2023,25.6,36.6,30.2,74,,5.6,4,67,2,SE
25-10-2023,25.2,35.8,29.8,77,4,8.3,1,151,0,C 
26-10-2023,25.2,36.5,29.6,76,,6.4,2,96,1,C 
27-10-2023,25.6,36.5,30.2,72,,5.9,3,86,2,E 
28-10-2023,24.2,36.5,29,78,0,8.4,3,105,1,C 
29-10-2023,25.4,36.4,29.8,72,1.2,5.8,3,109,1,SE
30-10-2023,25.4,36.2,32.2,63,0,4.9,2,156,1,E 
31-10-2023,26,35.6,30.4,72,0,4.5,3,117,1,C 
01-11-2023,25.9,36.2,32.3,66,1,2.2,3,54,1,C 
01-11-2023,25.9,36.2,32.3,66,1,2.2,3,54,1,C 
02-11-2023,26,36.6,32.4,68,8888,6.7,3,68,1,C 
03-11-2023,25.8,36,32.5,66,3.5,4.7,3,123,1,C 
04-11-2023,26.2,35.4,29.7,74,,6,3,97,1,E 
05-11-2023,24.6,37,31.7,70,3.9,4.3,2,66,1,C 
06-11-2023,25.8,36.2,31.1,70,12,8.4,5,211,1,C 
07-11-2023,25.6,35,30.8,72,0.8,6.9,2,144,1,C 
08-11-2023,25.4,36.6,33,65,0,5.3,5,125,1,C 
09-11-2023,27,37.4,33.5,59,,8.7,3,106,1,E 
10-11-2023,25.6,35.6,32.4,69,0,7,2,64,1,C 
11-11-2023,27,35.8,30.6,75,,3.5,5,159,0,C 
12-11-2023,25.5,34.8,30.4,74,38.2,3.3,2,269,0,C 
13-11-2023,26.8,35.6,32.4,70,1.9,1.6,2,112,1,C 
14-11-2023,26.1,35,28.5,84,44,6.1,4,310,1,C 
15-11-2023,24.8,35.9,31.9,70,30,5.1,2,56,0,C 
16-11-2023,25.8,34.2,30.8,76,0,7.4,4,268,1,C 
17-11-2023,26.8,35.8,31,72,,1,3,117,1,C 
18-11-2023,24.8,32.8,30.6,77,83.1,6.5,2,307,1,C 
19-11-2023,25.8,34,30.7,75,0,4.5,4,269,1,C 
20-11-2023,26.8,31.2,28.6,85,2.3,4.3,3,308,1,C 
21-11-2023,25.4,33.9,31.1,71,68.5,0.8,1,283,0,C 
22-11-2023,26,31.3,27.1,88,8888,4.8,2,82,0,C 
23-11-2023,25.4,32.4,29.5,78,4,0,2,25,1,C 
24-11-2023,26.2,34.4,30,74,8888,1.1,3,295,1,C 
25-11-2023,24.9,28.6,27.4,87,15.7,5.6,2,253,0,C 
26-11-2023,25,32.6,29.6,77,0.1,0,2,69,0,C 
27-11-2023,25.6,30.4,28.1,82,,0.4,2,283,0,C 
28-11-2023,25.4,33.2,30.1,76,16.5,0.8,2,74,0,C 
29-11-2023,26.2,32.6,30,76,8888,3.5,3,156,1,C 
30-11-2023,25.4,32.4,29.1,81,0,1.4,3,360,1,C 
