Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2023,22,31.4,25.6,85,1.6,1.9,5,230,2,SW
02-01-2023,22.2,29.9,26.2,88,8888,5.2,3,30,1,C 
03-01-2023,23.5,31.2,,,0,2,3,220,0,C 
04-01-2023,21,30.2,26.2,88,1.3,0.9,3,40,1,S 
05-01-2023,22.9,31.3,27.3,86,0,2,4,30,1,C 
06-01-2023,24.4,29.4,,,0,5.2,2,110,1,C 
07-01-2023,23.4,28.2,25.3,95,8888,,5,310,1,C 
08-01-2023,22.9,30.1,24.8,95,12.8,1.9,4,360,1,C 
09-01-2023,22.8,30.2,25.1,92,6.2,2.4,3,50,1,C 
10-01-2023,23.4,28.8,24.8,96,29.6,3.5,2,330,0,C 
11-01-2023,23.2,29.2,25.8,91,10.7,0,4,80,1,C 
12-01-2023,22.9,31.4,25.9,90,0.1,0.5,6,90,2,C 
13-01-2023,22.9,30.6,25.9,90,3,5.8,4,70,1,C 
14-01-2023,22.4,30.3,25.6,90,8888,,3,100,1,C 
15-01-2023,23,28,24.6,93,0,2.5,3,20,1,C 
16-01-2023,22.6,29.2,24.9,97,5.3,1,3,280,1,C 
17-01-2023,22.6,30.2,25.5,91,24.1,3.8,5,250,2,C 
18-01-2023,23.2,29.6,26.4,85,7.2,1.1,3,270,1,C 
19-01-2023,23,32.4,26.3,85,0,5.5,4,90,1,C 
20-01-2023,23,30.6,26.7,86,10.1,8.3,4,80,2,N 
21-01-2023,23.8,29,25.3,90,2.5,3.8,5,230,1,C 
22-01-2023,23,29.6,25.6,88,7.7,0.4,4,260,2,C 
23-01-2023,23,27.4,25.2,89,17.2,4.6,5,310,2,C 
24-01-2023,20,28.6,24.5,90,39.9,0,4,100,1,C 
25-01-2023,21.3,30.6,27,80,8888,0,4,80,2,S 
26-01-2023,22,30.6,25.4,87,0,1.8,4,80,2,C 
27-01-2023,22,28.4,24.5,92,2.6,5.7,5,270,1,C 
28-01-2023,22.8,29.7,25.6,88,20.3,3,3,170,1,S 
29-01-2023,23.2,32.4,27.6,83,1.5,0.7,4,90,2,E 
30-01-2023,23.2,30.5,26.5,88,0,5.5,5,100,1,C 
31-01-2023,23.4,31.2,,,0,1.5,6,260,1,C 
01-02-2023,23.7,30.4,26.7,88,1.1,4,4,30,1,C 
01-02-2023,23.7,30.4,26.7,88,1.1,4,4,30,1,C 
02-02-2023,23.2,31,26.2,90,0,8.4,4,360,1,S 
03-02-2023,23.3,30.8,26.6,89,0,7.4,4,20,2,N 
04-02-2023,24,29.6,26.5,87,8888,7.7,4,340,2,N 
05-02-2023,24,30.1,26.6,86,7.5,4.2,6,290,2,W 
06-02-2023,22.2,30,26,84,14.2,,4,350,1,S 
07-02-2023,22,32,25.9,85,0,3.6,4,10,1,C 
08-02-2023,22.8,31.5,26.8,86,8888,5.3,4,90,1,S 
09-02-2023,23.6,32.1,26.1,88,10.2,7.9,5,240,2,C 
10-02-2023,23.7,27.6,24.8,92,22.9,3.8,5,280,2,C 
11-02-2023,22.5,30.2,25,94,16.3,0,4,270,1,S 
12-02-2023,23.4,29.6,24.9,94,8.5,0.5,3,210,2,S 
13-02-2023,22.6,30,,,5.2,1.9,4,70,1,C 
14-02-2023,21.8,30.8,,,22.6,3.5,4,30,1,S 
15-02-2023,22.3,31.8,26.3,88,1,7.5,5,80,2,S 
16-02-2023,23,32,27,80,8888,3.7,5,160,2,S 
17-02-2023,23,33,27.1,82,0,7.8,6,80,2,C 
18-02-2023,22.2,31,25.8,87,0.5,9,5,350,2,N 
19-02-2023,22.2,31,26.3,88,0,9.7,4,340,2,C 
20-02-2023,21.8,31.8,26.8,83,0.7,8.9,4,50,1,C 
21-02-2023,23.1,30.8,25.8,90,0,7.7,5,80,1,S 
22-02-2023,23.4,30.9,26.6,89,14.4,4.5,3,50,1,C 
23-02-2023,24,30.5,26.4,88,1.5,1.8,4,30,1,C 
24-02-2023,24,31.2,27,88,1,5.4,3,230,1,C 
25-02-2023,23.4,31.5,26.5,85,0,0.5,4,60,1,C 
26-02-2023,23.2,32.8,27.6,79,0,8.6,6,100,2,S 
27-02-2023,23,32.4,27,82,0,9.2,4,100,2,S 
28-02-2023,23.8,30.2,26.8,87,0.5,7.3,2,180,1,C 
01-03-2023,23.4,30.5,27,86,15.5,0.9,7,170,1,C 
01-03-2023,23.4,30.5,27,86,15.5,0.9,7,170,1,C 
02-03-2023,23,32,26.7,88,0,1.1,5,60,2,C 
03-03-2023,23,27.2,24.5,93,46,4.4,5,310,2,S 
04-03-2023,23,30.7,26,89,2.3,0,5,50,2,C 
05-03-2023,23.1,30.8,26.9,87,3.1,7.4,3,350,1,C 
06-03-2023,24.4,32.4,27.5,82,0,6.2,5,80,2,C 
07-03-2023,23.6,30,26,90,1,7.5,4,200,1,S 
08-03-2023,23.4,32.8,27.7,82,8888,1.5,5,60,2,C 
09-03-2023,23.8,31.2,27.1,87,2,9.2,4,50,1,C 
10-03-2023,24,30.4,26.5,88,1.4,4.7,5,120,1,C 
11-03-2023,23.7,28.2,25.5,93,2.6,2.2,5,80,1,C 
12-03-2023,24,31.6,27.2,87,6.7,0,6,70,1,C 
13-03-2023,24.2,30.8,26.9,88,0.5,7.4,4,90,1,C 
14-03-2023,23,30.8,,,0,6.4,4,50,2,C 
15-03-2023,23.7,32.2,27.4,87,0,6.1,5,80,1,C 
16-03-2023,23.9,31.3,26.9,87,0,5.4,4,70,1,C 
17-03-2023,24.2,32.8,27.5,85,1.2,3.7,4,50,1,C 
18-03-2023,24.3,33.6,28.2,84,0,10,4,60,1,C 
19-03-2023,24.4,32.2,27.7,83,0.4,7.1,4,7,2,C 
20-03-2023,25,30.8,27.1,89,2.6,5.5,5,10,1,C 
21-03-2023,23.7,31,27.1,90,18.9,6.3,4,20,1,C 
22-03-2023,24.2,31.6,27.8,84,1,3.6,3,350,1,C 
23-03-2023,24.2,32.7,26.6,90,0,6.8,4,360,1,C 
24-03-2023,24.4,30.7,,,1,5.8,6,270,1,C 
25-03-2023,22.4,30.6,25.6,91,25,4.5,4,10,1,C 
26-03-2023,22.8,31.4,26.7,88,2,4.7,4,270,1,C 
27-03-2023,24,32.3,27.3,88,1,6.7,6,80,2,E 
28-03-2023,24,31.4,26.4,88,8,6.3,4,10,2,N 
29-03-2023,23.6,31.4,27.1,89,1.2,6.2,8,320,2,SW
30-03-2023,22.8,,,,65.5,8.2,4,240,1,C 
31-03-2023,23,30.4,26.5,89,11,0,3,90,1,C 
01-04-2023,23.6,30.4,,,8888,2.2,2,180,1,S 
01-04-2023,23.6,30.4,,,8888,2.2,2,180,1,S 
02-04-2023,23.6,30.4,26.1,90,3.8,0.8,4,30,2,S 
03-04-2023,24,30.4,25.5,92,11,2.2,3,360,1,C 
04-04-2023,23,30.3,26,89,20.6,4.3,3,300,1,C 
05-04-2023,23.4,27.4,25.3,96,7.3,5.9,3,290,1,C 
06-04-2023,23,31,,,3,0,4,70,1,C 
07-04-2023,23,30.7,,,0,7.8,2,180,0,C 
08-04-2023,,,,,,,,,,
09-04-2023,23.8,30.8,26.6,92,8888,4.6,6,30,1,C 
10-04-2023,23,31.6,26.8,88,1.5,3.5,5,50,2,S 
11-04-2023,23.7,31.9,26.9,88,0,6.8,6,90,2,C 
12-04-2023,24,30,26.1,94,13,6.2,3,360,1,C 
13-04-2023,23.6,31,26.5,90,10.1,1.8,3,20,1,C 
14-04-2023,23.4,31.8,,,0.8,7.5,2,150,1,C 
15-04-2023,23.4,32.6,,,0.5,8.1,2,330,0,C 
16-04-2023,23.8,30.8,25.5,96,5.6,2.8,3,50,1,C 
17-04-2023,23.6,32.8,27,88,7,,4,80,1,C 
18-04-2023,23.8,31.8,27.6,86,0,6.2,3,180,1,C 
19-04-2023,23.8,31.6,26.2,91,26.8,7.4,5,50,1,S 
20-04-2023,23.8,31,27.2,90,17.7,4.3,4,70,1,C 
21-04-2023,24.1,31.2,27.4,90,1,9.1,3,10,1,C 
22-04-2023,24.5,31.7,27.1,89,0.5,2,4,50,1,C 
23-04-2023,24.8,31.4,27.4,88,8888,7.2,3,170,1,S 
24-04-2023,24,34.2,27.9,85,8888,2,5,110,2,C 
25-04-2023,23.2,32.2,27.3,92,61.2,,3,350,1,C 
26-04-2023,24,32.2,27.8,90,0.4,4.6,3,50,1,C 
27-04-2023,25.2,30.5,27.1,91,3.6,8.7,3,190,1,S 
28-04-2023,24,29.8,26,90,3.8,0.1,2,100,0,C 
29-04-2023,24.3,31.4,27.1,90,7.6,1.4,3,10,1,C 
30-04-2023,24.2,31.5,27.2,89,0.8,5.8,3,20,1,C 
01-05-2023,24.3,33,27.6,88,0,6.2,5,60,1,C 
01-05-2023,24.3,33,27.6,88,0,6.2,5,60,1,C 
02-05-2023,24.4,32,27.5,89,0,7.1,4,270,2,S 
03-05-2023,24.8,31,27.9,92,9.2,3.6,4,90,1,C 
04-05-2023,25.2,,27.9,88,8888,5.1,4,30,2,C 
05-05-2023,24.4,28.4,26.4,94,2.8,7.3,4,230,1,C 
06-05-2023,24.1,30.4,24.7,98,13.6,0,5,280,2,C 
07-05-2023,23.8,28,25.1,96,93.8,2.1,3,250,1,C 
08-05-2023,23.8,26.6,24.6,97,17.7,0.1,4,280,1,C 
09-05-2023,23.2,29.9,26.7,96,23.1,0.6,4,350,1,C 
10-05-2023,23,31.4,27.2,90,1.9,4,7,280,3,W 
11-05-2023,25,32,28,90,3.7,2.2,5,360,2,C 
12-05-2023,25.2,32.2,28.7,89,1.1,10.6,4,340,1,C 
13-05-2023,23.4,32.6,27.6,90,24.9,9.2,3,10,1,C 
