Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2023,16.2,25.3,,,,2.5,6,140,2,E 
02-01-2023,15.5,26.6,19.3,76,0.1,0.3,12,170,3,NE
03-01-2023,15.5,27.4,19.2,80,8888,3.7,17,150,4,C 
04-01-2023,15.6,26.4,19.6,78,3.8,6.3,7,320,2,SE
05-01-2023,15.8,26.5,19.9,79,2.2,4.6,13,150,3,SE
06-01-2023,15.9,25.6,18,88,14.4,7.5,6,140,2,S 
07-01-2023,15.7,24.8,,,4,4.4,9,150,4,S 
08-01-2023,15,27.4,,,,5,4,150,1,N 
09-01-2023,17,20.5,18.5,85,12.9,3.1,3,150,1,C 
10-01-2023,15,25.4,19.2,81,0.7,0,9,160,4,S 
11-01-2023,16,25,18.9,83,5.2,5.5,6,150,2,SE
12-01-2023,16.2,26.1,19.7,76,,2.2,8,150,3,S 
13-01-2023,15.7,25.2,19.1,84,,5.8,9,150,3,S 
14-01-2023,16,27.4,19.1,82,1,3.5,6,360,2,N 
15-01-2023,16,25.5,19,85,14.3,5.1,5,150,2,NE
16-01-2023,15.4,25.2,,,16.1,5,4,90,2,S 
17-01-2023,15.8,26,20.3,72,,1.5,10,150,3,SE
18-01-2023,16.4,24.8,18.9,85,9.7,5.2,5,140,2,C 
19-01-2023,,,,,,,,,,
20-01-2023,15.3,26,19,82,5,2.2,5,150,2,S 
21-01-2023,15.6,23.7,18.7,80,6.2,4.5,8,170,3,S 
22-01-2023,15.4,25.4,,,0.1,3.3,4,320,2,N 
23-01-2023,16.4,24.6,19.1,88,16.7,3.6,3,70,2,NW
24-01-2023,16,25.2,19,83,8888,2.6,5,130,1,N 
25-01-2023,16.5,26.7,20,78,7.8,1.8,7,140,2,SE
26-01-2023,16.3,26.9,20,80,12.6,7,12,160,4,SE
27-01-2023,17.1,27,20.1,79,7.8,5.5,10,170,3,S 
28-01-2023,16.4,25.8,19.6,84,19.9,5.6,6,140,2,N 
29-01-2023,16,27.2,20.2,80,4.3,4,7,150,2,SE
30-01-2023,16.8,27.3,20.7,76,0.6,7,6,150,2,S 
31-01-2023,17.5,26,20.5,78,2.5,7.5,7,240,2,E 
01-02-2023,17,26.5,20.2,80,2.7,4.5,5,160,2,NE
01-02-2023,17,26.5,20.2,80,2.7,4.5,5,160,2,NE
02-02-2023,15.6,28,20.2,79,8888,3.9,8,140,2,SE
03-02-2023,14.6,28.9,20,72,,6,8,150,2,S 
04-02-2023,16.1,26.8,20.4,72,,6.8,13,170,4,SE
05-02-2023,16.4,26.4,19.4,85,6.6,6.3,10,140,3,N 
06-02-2023,16.6,23,,,10.9,4.5,4,150,2,S 
07-02-2023,16.5,24.8,19.2,84,11.1,0.6,7,150,2,S 
08-02-2023,16,24.4,19.2,86,4.7,2.8,7,150,2,SE
09-02-2023,17,24.2,19,88,12.9,3,4,160,1,N 
10-02-2023,16,26.2,19.8,78,23.8,3.3,11,160,3,S 
11-02-2023,16.1,23.5,18.1,86,2.8,6.5,9,150,3,SE
12-02-2023,16.2,24.7,19.5,80,5.8,2.2,8,140,2,SE
13-02-2023,16.5,26.8,20.4,80,7.7,3.4,7,130,2,S 
14-02-2023,16,26.8,20.2,79,10,5.7,9,140,3,SE
15-02-2023,16.4,25.3,18.9,85,5.9,6.4,11,160,2,E 
16-02-2023,17,23,19,86,13.8,4.5,4,140,2,S 
17-02-2023,16.5,23.9,19,85,1.8,0.8,4,80,1,N 
18-02-2023,16.4,25.4,19.9,79,1.1,1.4,4,170,2,N 
19-02-2023,16.4,24.5,19,85,21.1,4.4,8,150,2,SE
20-02-2023,16.5,25.4,,,21.9,3.9,9,140,3,SE
21-02-2023,16.4,24.7,18.9,81,2.2,5.6,16,150,4,C 
22-02-2023,16.5,24,19.2,81,0.7,6,8,170,3,S 
23-02-2023,15.7,26.5,19.4,86,3.1,1.1,9,130,2,S 
24-02-2023,15.6,25.1,19.3,78,5.9,6.5,10,140,3,SE
25-02-2023,16.3,26.6,20,78,8888,5.6,5,320,2,S 
26-02-2023,16.6,27.8,20.5,74,,5.5,7,140,2,S 
27-02-2023,16.4,27.1,19.9,81,0.4,4.4,9,180,3,S 
28-02-2023,16.2,25.1,18.4,86,3.3,5.5,8,140,2,SE
01-03-2023,16.2,25.9,19.6,80,8.7,3.1,13,160,4,S 
01-03-2023,16.2,25.9,19.6,80,8.7,3.1,13,160,4,S 
02-03-2023,16.5,27.2,19.8,81,5.2,6,7,140,3,S 
03-03-2023,15.5,20,17.3,91,25.9,5.5,4,180,2,S 
04-03-2023,15.8,26.1,18.8,82,3.8,0,5,150,2,S 
05-03-2023,14.5,26,18.2,84,10.5,5.5,13,150,4,S 
06-03-2023,15.5,23.4,18.5,84,2.8,5,8,150,2,SE
07-03-2023,15.3,26,,,15.8,3.3,9,140,2,S 
08-03-2023,16,26.4,20,75,11.3,5.8,16,150,5,SE
09-03-2023,12.5,26.1,18.5,76,,6.9,12,140,4,SE
10-03-2023,15.7,27.4,20.2,73,,0,11,170,3,SE
11-03-2023,15.7,25,19.4,80,4.3,8.4,9,160,4,S 
12-03-2023,15.7,27.5,20.5,73,8888,5.5,6,150,2,SE
13-03-2023,15.6,28.1,20.5,71,4.8,7.5,11,140,4,SE
14-03-2023,15.6,26.8,19.6,74,,6.8,7,150,3,S 
15-03-2023,15.9,25.1,19,85,8888,4.5,4,340,2,N 
16-03-2023,16.5,25,19.5,78,2.2,4.2,14,130,4,S 
17-03-2023,15.2,25.5,,,8.4,5,14,140,4,S 
18-03-2023,15.9,25.5,19,85,1.3,5.7,9,140,2,SE
19-03-2023,16.1,26.3,19.6,82,17.5,5,10,280,2,N 
20-03-2023,15,26.6,19.1,83,18.7,5.2,7,200,2,N 
21-03-2023,16,28.1,20.5,76,3.4,4.8,8,150,2,SE
22-03-2023,17.4,25.6,19.6,76,0.1,6.5,7,140,2,NW
23-03-2023,14.8,27.4,19.9,72,,4.7,11,160,4,SE
24-03-2023,15.6,27,19.8,78,,8.5,10,140,3,SE
25-03-2023,17,26.7,19.7,82,10.2,8.5,6,150,2,S 
26-03-2023,15.6,26.3,19.8,82,6.2,5.2,5,170,2,S 
27-03-2023,16.8,24.4,19.4,83,11.5,5.6,6,340,1,NW
28-03-2023,16.2,26,19.9,80,1.6,1.3,6,340,2,N 
29-03-2023,16,25.6,20,80,4.7,4,11,160,3,W 
30-03-2023,16.5,27.5,20.5,77,9.8,6.5,4,150,2,NW
31-03-2023,15.8,26.8,19.4,79,18,7.7,8,130,2,S 
01-04-2023,14.9,25.7,19.6,78,0.1,5.8,8,160,3,S 
01-04-2023,14.9,25.7,19.6,78,0.1,5.8,8,160,3,S 
02-04-2023,16.6,26.5,19.9,81,21.6,6.3,6,160,3,S 
03-04-2023,15.5,26,19.2,78,9.6,4.1,8,150,3,SE
04-04-2023,16,23.7,18.9,85,13.3,5.3,6,180,2,N 
05-04-2023,16.5,26,20.1,80,9.3,2,5,200,2,N 
06-04-2023,16.5,23,18.6,88,9,7.2,5,310,2,N 
07-04-2023,16.1,26.1,19.1,81,4.5,1.9,12,140,4,SE
08-04-2023,15.5,23.3,18.5,84,17.6,5.1,8,130,3,SE
09-04-2023,15.9,23.5,18.7,79,2.5,1.8,6,130,2,SE
10-04-2023,15.7,23.8,19,82,0.3,0.7,6,180,2,C 
11-04-2023,15.6,24.5,17.9,90,3.1,8.4,6,140,2,SE
12-04-2023,15.3,27.5,18.3,84,30,5,4,150,2,SE
13-04-2023,16.2,27.3,20.1,77,0.6,2.1,9,150,3,S 
14-04-2023,16,27.3,19.9,80,0.6,8.6,10,150,3,SE
15-04-2023,16.2,24.7,19,83,3.3,5.5,9,150,3,SE
16-04-2023,16,25.3,20.1,77,11.6,2,10,150,4,SE
17-04-2023,15.4,26.5,20.1,76,8.4,5,10,170,2,E 
18-04-2023,15.4,23,18.1,84,8,6.5,6,150,2,S 
19-04-2023,15.8,26.7,20.2,75,1.1,2.3,11,140,4,SE
20-04-2023,14.5,26.1,19.2,80,8888,9.5,4,160,2,S 
21-04-2023,16.6,27.5,20.7,74,0.8,6.7,6,170,2,S 
22-04-2023,16.5,26.5,,,25,5.8,3,330,1,N 
23-04-2023,16.6,27.3,19.7,80,14.8,4.7,5,350,2,NE
24-04-2023,16.9,28.4,21.2,73,6.1,6.7,12,150,3,N 
25-04-2023,17.1,27.4,20.5,78,,8.5,7,130,2,N 
26-04-2023,17.3,26.8,21,80,6.4,5.2,4,80,2,S 
27-04-2023,17.5,26.5,20.6,78,2.3,6.2,3,140,2,S 
28-04-2023,16,26.6,,,1.4,4.3,13,140,3,SE
29-04-2023,17.9,24.6,19.6,82,2,8.5,3,150,1,SE
30-04-2023,17,26.7,20.7,78,2.2,2,5,140,2,NE
01-05-2023,18.3,25.7,20.9,82,0.6,5.8,4,130,1,E 
01-05-2023,18.3,25.7,20.9,82,0.6,5.8,4,130,1,E 
02-05-2023,16.5,25,20.1,78,1.6,3.3,4,150,1,N 
03-05-2023,17,25,20.4,78,5.5,4.5,4,150,1,N 
04-05-2023,16.2,27.8,21.7,70,8888,1.8,5,160,2,N 
05-05-2023,17.6,26.9,21.1,78,12.2,8.9,6,80,2,S 
06-05-2023,17.7,27.5,,,1.8,5.6,6,160,2,C 
07-05-2023,16.1,28,19.9,78,8888,4.8,7,150,2,SE
08-05-2023,18.1,27.5,20.8,77,6.4,7.2,4,200,2,NW
09-05-2023,17.5,26,20.1,79,,1.8,5,80,2,E 
10-05-2023,16.4,27,21,78,3.8,5.3,6,150,2,SE
11-05-2023,15.9,24,19.7,83,8,8.5,3,350,1,N 
12-05-2023,17.6,27.4,20.9,77,4,4.6,7,160,2,S 
13-05-2023,17.6,28.8,21.4,79,0.3,2.1,6,330,2,SE
14-05-2023,17,28.1,21.4,73,8888,6.5,7,140,2,SE
15-05-2023,17.4,27.5,20.5,75,0.2,8,14,140,4,SE
16-05-2023,16.5,24.8,20,80,17.6,7.2,8,140,3,SE
17-05-2023,16,24.2,19.5,74,0.3,3.2,3,140,1,SE
18-05-2023,17,26.7,20.4,78,8888,0.1,7,140,2,E 
19-05-2023,17.5,26.7,19.3,85,16.7,4.7,3,180,1,C 
20-05-2023,16.2,24.6,19.5,81,27.3,0,3,300,2,N 
21-05-2023,16.7,27,20.5,80,6.8,3.2,4,150,2,SE
22-05-2023,17,26.5,20.7,76,8888,4.9,9,140,3,SE
23-05-2023,15.7,26.4,19.9,69,,8.4,13,130,5,SE
24-05-2023,15.5,26.4,19.7,73,,7.7,8,150,3,SE
25-05-2023,14.2,25.4,19.1,71,,4.3,15,140,5,SE
26-05-2023,15.5,26,19.6,70,8888,5.2,9,170,4,S 
27-05-2023,15.4,26,19.6,74,,4,11,140,4,S 
28-05-2023,16.7,25.1,19.2,83,4.2,5.7,4,160,2,NW
29-05-2023,17.4,25.7,20.1,81,1.4,4.4,6,320,2,NW
30-05-2023,15.6,26.2,19.4,82,8888,2,11,150,4,S 
31-05-2023,16.5,26.5,20.5,74,0,8,13,160,4,S 
01-06-2023,15.5,26.8,19.3,80,,6.9,7,150,2,SE
01-06-2023,15.5,26.8,19.3,80,,6.9,7,150,2,SE
02-06-2023,16.6,24.6,19,84,12.9,6.9,10,150,3,SE
03-06-2023,13.6,26.5,19.3,72,2.1,4.2,11,190,4,S 
04-06-2023,14,26.8,19.3,70,,8.5,4,140,2,SE
