Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2023,24.8,33,28.6,84,8888,1.2,3,70,1,E 
02-01-2023,25.2,34.6,29.7,75,0,5.9,2,160,1,SW
03-01-2023,25.1,33,28.9,74,0,8.3,2,240,1,SW
04-01-2023,25.2,31,28,77,0.2,3.1,2,260,1,W 
05-01-2023,24.8,34.5,29.3,70,0,0,3,240,1,SW
06-01-2023,25,34.4,29.1,78,0,5.9,3,220,1,S 
07-01-2023,24.8,32.2,28.4,79,8888,6,2,90,0,C 
08-01-2023,25.3,30.6,28,85,0.2,0.7,2,80,1,C 
09-01-2023,25,30.5,27.3,82,8888,0,2,220,1,SW
10-01-2023,23.4,32.7,26.6,81,0,0,3,230,1,NE
11-01-2023,22.6,32.2,26.8,82,1,4.5,2,260,1,SW
12-01-2023,23.4,32.2,27.2,82,0,2.3,3,90,1,C 
13-01-2023,24.3,33.2,28,83,8888,6,2,120,1,C 
14-01-2023,25.8,34.7,29.2,78,8888,7.5,2,90,1,NE
15-01-2023,25,34,28.2,82,0,7.2,2,60,1,E 
16-01-2023,25,32,27.9,88,15.3,2.2,2,70,1,C 
17-01-2023,25,32.2,27.5,89,1,1.2,4,140,1,C 
18-01-2023,24.4,31.4,27.5,88,7.5,5.3,3,100,1,E 
19-01-2023,24.2,31.7,27.7,82,1,5.9,3,130,1,E 
20-01-2023,24.8,33.2,27.5,86,0,3,2,250,1,E 
21-01-2023,24.6,30.8,27.2,86,3.9,5.4,3,60,1,C 
22-01-2023,24.5,33.2,27.8,82,1.6,2.3,2,240,1,NE
23-01-2023,24.2,33.3,28.2,83,8888,4.8,3,70,1,E 
24-01-2023,24,33.2,27.2,85,8888,4.3,3,300,1,E 
25-01-2023,25,31,27.5,88,4.1,5.8,3,100,1,C 
26-01-2023,24.9,31.4,27.7,83,0.6,4.3,3,110,1,C 
27-01-2023,25.4,30.4,26.8,90,8.9,5.1,1,60,0,C 
28-01-2023,24.3,30.8,26.7,88,4.8,1.2,2,120,0,C 
29-01-2023,24.6,31,27.2,90,8888,1.5,2,70,1,C 
30-01-2023,24.4,32,27,89,10,1,3,60,1,NE
31-01-2023,24.2,29.3,26.2,92,7,5.5,2,60,1,C 
01-02-2023,24.2,29.4,26.1,91,2.9,0.5,3,80,1,NE
01-02-2023,24.2,29.4,26.1,91,2.9,0.5,3,80,1,NE
02-02-2023,24.8,32.4,27.5,87,7.9,0.8,2,130,1,SW
03-02-2023,24.2,32.4,27.3,84,4.5,3.9,1,230,0,SW
04-02-2023,24.4,31.2,27.2,84,0.1,1.8,3,60,1,E 
05-02-2023,24.1,31.4,27.2,84,0,1,3,60,1,C 
06-02-2023,24.4,31.2,27.9,86,1.1,1.5,3,50,1,C 
07-02-2023,25.4,31.4,27.6,88,0.4,5.2,2,110,1,C 
08-02-2023,25.4,33.4,28.3,82,0,2.6,2,250,1,C 
09-02-2023,25.4,31,27.7,82,8888,3,2,220,1,C 
10-02-2023,25.1,32.4,28,81,8888,0,2,130,0,C 
11-02-2023,25.4,33.2,28.6,82,0,2,3,60,1,C 
12-02-2023,25.6,31.3,27.7,86,1.1,5.8,3,120,1,C 
13-02-2023,24.2,31.3,26.8,84,8.2,0.5,3,220,1,SW
14-02-2023,25,33.6,29.3,70,0,1.2,2,250,1,C 
15-02-2023,24.6,34,28.4,80,3.2,3.9,2,120,0,C 
16-02-2023,26.2,32,28.6,80,8888,4.4,2,30,1,SW
17-02-2023,24.6,32.4,28,83,0,0,3,120,1,E 
18-02-2023,25.4,34.2,28.8,79,8888,8,2,220,1,SW
19-02-2023,25,34.7,29.2,73,0,4.2,3,220,1,SW
20-02-2023,26.2,31.8,28.5,84,8888,6.5,4,70,1,C 
21-02-2023,24.4,31.8,27.3,89,39.5,1.8,5,250,1,C 
22-02-2023,25.1,31.2,27.4,88,14.8,4.4,3,120,1,E 
23-02-2023,24.4,32.5,27.3,88,0.2,3,2,130,1,C 
24-02-2023,25,31,27,89,0.3,2.2,3,80,1,NE
25-02-2023,25.1,30.1,27.3,87,8888,0.8,2,190,1,E 
26-02-2023,25,31.8,27,88,0,0,2,90,0,C 
27-02-2023,23.9,30.6,27,89,42.6,3.9,3,120,1,C 
28-02-2023,24.1,31.5,27,87,1,1.4,3,60,1,C 
01-03-2023,24.6,31.7,27.3,85,17.3,3.8,3,130,1,SE
01-03-2023,24.6,31.7,27.3,85,17.3,3.8,3,130,1,SE
02-03-2023,24.6,32.9,27.9,81,12,3.2,2,60,1,S 
03-03-2023,23.8,34,27.3,84,24.3,6.5,2,230,1,C 
04-03-2023,23.8,30.4,26.4,92,100.9,7.5,2,50,1,NE
05-03-2023,23.6,33.6,26.9,85,0.4,2.1,3,90,1,C 
06-03-2023,24,33.5,27.5,84,14.2,5.6,2,60,1,SW
07-03-2023,25.2,32.8,28.3,81,0.3,1.4,4,80,1,C 
08-03-2023,24.8,30.6,26.6,90,3.8,6.8,2,50,0,C 
09-03-2023,24.9,32,27.3,87,1,0.9,2,260,0,C 
10-03-2023,24.6,32.2,27,87,1.8,3.4,3,120,0,C 
11-03-2023,24.6,31.1,27.6,88,0.8,5.2,2,60,1,C 
12-03-2023,26,31.4,27.7,88,8888,0.7,3,120,1,C 
13-03-2023,24.8,32.6,27.7,83,3.3,5.8,2,100,1,C 
14-03-2023,25,32.5,27.2,86,0.1,5.8,2,140,1,C 
15-03-2023,25,33.3,28.2,83,8888,6.7,3,140,1,E 
16-03-2023,25,33.2,28.5,81,2.7,8.9,3,110,1,C 
17-03-2023,24.6,31.8,28,84,18.2,8.2,3,110,1,C 
18-03-2023,25.6,32.2,27.7,86,0,7.4,3,60,1,C 
19-03-2023,25,31.8,27.5,86,26.3,3.4,3,60,1,NE
20-03-2023,24.6,29.6,26.7,88,0,4.9,3,120,1,E 
21-03-2023,24.4,31.8,27.6,85,0,2.6,3,110,1,E 
22-03-2023,24.2,32,27.7,81,6.1,6.2,3,70,1,C 
23-03-2023,24.5,32.6,28.5,82,0,7.8,3,130,1,C 
24-03-2023,25.4,31.8,28.1,85,0.5,7.5,3,70,1,E 
25-03-2023,25.2,33,28.5,83,8888,4.8,3,70,1,E 
26-03-2023,24,33,28.1,86,16,7.9,2,100,1,E 
27-03-2023,24,31.8,26.8,89,1,6.1,2,120,1,C 
28-03-2023,24.6,32.4,27.2,87,11.7,1.5,2,260,1,C 
29-03-2023,24.7,33.8,28.5,82,9,1.2,2,220,1,C 
30-03-2023,25.3,33.8,27.9,84,8888,5.4,3,130,1,C 
31-03-2023,25,32.3,27.2,87,0.9,5.8,3,70,1,C 
01-04-2023,24.6,32.4,27,87,29,5.2,3,70,1,C 
01-04-2023,24.6,32.4,27,87,29,5.2,3,70,1,C 
02-04-2023,25,31.2,27.1,87,30.4,6.3,4,70,1,C 
03-04-2023,24.6,32.4,27.1,82,8888,4.8,3,140,1,C 
04-04-2023,24.2,32.5,27.5,82,15.5,7.7,3,120,1,C 
05-04-2023,24.4,28.8,26.5,88,0.3,3.1,2,100,0,C 
06-04-2023,24.4,31.8,26.5,90,8888,0,3,100,1,C 
07-04-2023,23.9,34,27.9,80,1.3,3.9,2,230,1,C 
08-04-2023,24.5,32,27.8,82,0,8.4,2,70,1,E 
09-04-2023,23.6,34.9,28.9,77,0,2,2,250,1,C 
10-04-2023,24.4,34.1,28.8,76,0,9.7,2,220,1,SW
11-04-2023,24.4,33,28.2,82,0,7.6,3,60,1,C 
12-04-2023,26.2,31.6,28.5,86,0.4,7.8,3,130,1,C 
13-04-2023,25.2,32.2,28.3,84,8888,3.9,3,130,1,C 
14-04-2023,25.6,28.6,26.8,90,8888,8.4,1,60,0,C 
15-04-2023,25.4,32.6,28,84,4.2,0,3,80,1,C 
16-04-2023,25.4,30.4,26.8,88,8888,6.5,2,80,0,C 
17-04-2023,24.2,32.2,28.2,82,24.2,0.7,3,120,1,C 
18-04-2023,25.1,32.4,27.9,86,0,7.9,3,70,1,E 
19-04-2023,24.8,32.6,28.2,84,8888,3.2,3,60,1,C 
20-04-2023,25.2,31.5,28.2,86,0,7.4,3,100,1,E 
21-04-2023,25.8,30.8,28,86,0,7.4,2,100,1,C 
22-04-2023,26.4,29.4,27.5,87,0.1,4.2,3,70,1,C 
23-04-2023,24.9,31.6,27.7,85,3.4,0.6,3,110,1,E 
24-04-2023,24.4,32.4,27.9,85,2.8,5.4,2,110,1,C 
25-04-2023,25.4,33,28.6,84,8888,9.5,2,160,1,NE
26-04-2023,26,32.8,28.3,84,2.8,7.5,3,120,1,W 
27-04-2023,25.4,30,27.2,90,0.4,4.6,2,130,0,C 
28-04-2023,25.2,32.6,27.8,86,2.4,4,2,60,1,C 
29-04-2023,25.6,32,28.1,85,4.5,3.8,3,130,1,C 
30-04-2023,25,32.7,28.3,81,8888,6,2,130,1,E 
01-05-2023,25.6,32,28.7,84,0,8.9,2,80,1,E 
01-05-2023,25.6,32,28.7,84,0,8.9,2,80,1,E 
02-05-2023,25.4,31.8,28.4,86,3.5,4.1,2,200,1,C 
03-05-2023,25.7,31.2,27.3,90,12.9,3.8,2,50,1,C 
04-05-2023,25.6,29.7,27.5,90,6.9,3.5,2,120,0,C 
05-05-2023,24.4,30.4,27,91,24.3,0,2,260,0,C 
06-05-2023,24,32,27.6,88,7,1.2,2,260,1,C 
07-05-2023,24.8,32,27.9,85,0.9,1.9,2,160,0,C 
08-05-2023,25.8,31.2,27.4,91,4.4,4.6,3,110,0,C 
09-05-2023,25.6,32.1,28.5,82,6.4,3,3,130,1,C 
10-05-2023,26,32.6,28.1,87,0.4,7.4,2,80,0,W 
11-05-2023,25.4,32.2,28.1,85,0.5,5.7,2,100,1,C 
12-05-2023,26.3,32.5,28.3,83,0.2,6.5,2,80,1,E 
13-05-2023,25.6,32.2,28.5,82,0,8.5,3,110,1,E 
14-05-2023,23.4,32.5,27.9,81,0,8.4,3,100,1,C 
15-05-2023,24,32.4,28.6,80,0,6.1,2,260,1,C 
16-05-2023,26.2,32,28,85,8888,5,2,130,0,C 
17-05-2023,26,30.9,28,86,8888,2.5,2,80,1,C 
18-05-2023,26.2,31.6,28.1,84,0.5,2.7,2,110,1,E 
19-05-2023,24.8,31.1,27.3,85,0,1.7,2,90,1,E 
20-05-2023,25,31.9,27.7,84,8888,4.6,2,120,1,E 
21-05-2023,24.8,31.6,27.5,82,0,6.7,3,120,1,SE
22-05-2023,25.8,31.4,27.3,89,5.4,7.2,3,90,1,C 
23-05-2023,25.2,31.8,27.7,85,31,2,4,140,1,C 
24-05-2023,24,31.2,27.5,84,8888,4.8,3,110,1,C 
25-05-2023,23.8,30.2,26.5,86,2.8,4.9,2,100,1,C 
26-05-2023,23.8,31.3,27.2,84,0.4,0.9,2,100,1,E 
27-05-2023,24.4,31.4,27.7,81,0,5,2,90,1,SE
28-05-2023,25.2,31.7,27.8,80,0,7.5,3,100,1,SE
29-05-2023,26.2,30.6,28.4,77,8888,4.5,3,110,1,SE
30-05-2023,26.4,31.8,28.3,81,0.1,2.1,3,120,1,E 
31-05-2023,25.2,28.4,25.6,93,8888,5.8,1,80,0,C 
01-06-2023,24.8,30.9,26.9,88,13.2,0,3,110,1,C 
